name,min,default,max,scale,mode
ta_u,0.05,0.1584,10,linear,variable
ta_l,0.05,0.1565,10,linear,variable
tb_u,0.05,1.5,10,linear,variable
tb_l,0.05,1.8255,10,linear,variable
alpha_b,1,11.6983,30,linear,variable
alpha_c,-15,3.827,15,linear,variable
