i(v_s_1_4),v(d_1_4)
0,0
3.04904E-05,0.2
4.03497E-05,0.3
4.67745E-05,0.4
5.02323E-05,0.5
5.20087E-05,0.6
5.33719E-05,0.7
5.46841E-05,0.8
5.59916E-05,0.9
5.72993E-05,1
5.86074E-05,1.1
5.99156E-05,1.2
6.12238E-05,1.3
6.25319E-05,1.4
6.38399E-05,1.5
6.51478E-05,1.6
