i(v_s_1_4),v(d_1_4)
0,0
4.26134E-15,0.2
4.27064E-15,0.3
4.27407E-15,0.4
4.27585E-15,0.5
4.27697E-15,0.6
4.27778E-15,0.7
4.27841E-15,0.8
4.27894E-15,0.9
4.2794E-15,1
4.27982E-15,1.1
4.28021E-15,1.2
4.28057E-15,1.3
4.28092E-15,1.4
4.28125E-15,1.5
4.28158E-15,1.6
