vds,ciss_24_0
0,0.188543
0.05,0.180764
0.1,0.172161
0.15,0.163365
0.2,0.154911
0.25,0.147119
0.3,0.140113
0.35,0.133891
0.4,0.128388
0.45,0.123517
0.5,0.119191
0.55,0.115331
0.6,0.111869
0.65,0.108746
0.7,0.105916
0.75,0.103336
0.8,0.100975
0.85,0.0988043
0.9,0.0968004
0.95,0.0949437
1,0.0932173
1.05,0.0916071
1.1,0.0901008
1.15,0.0886879
1.2,0.0873592
1.25,0.0861067
1.3,0.0849236
1.35,0.0838036
1.4,0.0827415
1.45,0.0817323
1.5,0.080772
1.55,0.0798566
1.6,0.0789828
1.65,0.0781476
1.7,0.0773482
1.75,0.0765821
1.8,0.0758471
1.85,0.0751411
1.9,0.0744623
1.95,0.0738089
2,0.0731795
