vds,crss_25_0
0,0.177098
0.05,0.16932
0.1,0.160717
0.15,0.15192
0.2,0.143466
0.25,0.135674
0.3,0.128669
0.35,0.122447
0.4,0.116943
0.45,0.112073
0.5,0.107747
0.55,0.103887
0.6,0.100424
0.65,0.0973017
0.7,0.0944708
0.75,0.0918915
0.8,0.0895304
0.85,0.0873596
0.9,0.0853557
0.95,0.083499
1,0.0817726
1.05,0.0801624
1.1,0.0786561
1.15,0.0772432
1.2,0.0759145
1.25,0.074662
1.3,0.0734789
1.35,0.0723589
1.4,0.0712968
1.45,0.0702876
1.5,0.0693273
1.55,0.0684119
1.6,0.0675381
1.65,0.0667029
1.7,0.0659035
1.75,0.0651374
1.8,0.0644024
1.85,0.0636964
1.9,0.0630176
1.95,0.0623642
2,0.0617348
