vgs,cgs_21_2,cgs_21_0
-2,1.00083E-06,1.00083E-06
-1.95,1.00311E-06,1.00311E-06
-1.9,1.00543E-06,1.00543E-06
-1.85,1.0078E-06,1.0078E-06
-1.8,1.01021E-06,1.01021E-06
-1.75,1.01268E-06,1.01268E-06
-1.7,1.01521E-06,1.01521E-06
-1.65,1.01778E-06,1.01778E-06
-1.6,1.02042E-06,1.02042E-06
-1.55,1.02311E-06,1.02311E-06
-1.5,1.02586E-06,1.02586E-06
-1.45,1.02868E-06,1.02868E-06
-1.4,1.03156E-06,1.03156E-06
-1.35,1.03451E-06,1.03451E-06
-1.3,1.03753E-06,1.03753E-06
-1.25,1.04062E-06,1.04062E-06
-1.2,1.04379E-06,1.04379E-06
-1.15,1.04704E-06,1.04704E-06
-1.1,1.05038E-06,1.05038E-06
-1.05,1.0538E-06,1.0538E-06
-1,1.05731E-06,1.05731E-06
-0.95,1.06092E-06,1.06092E-06
-0.9,1.06462E-06,1.06462E-06
-0.85,1.06843E-06,1.06843E-06
-0.8,1.07234E-06,1.07234E-06
-0.75,1.07637E-06,1.07637E-06
-0.7,1.08051E-06,1.08051E-06
-0.65,1.08477E-06,1.08477E-06
-0.6,1.08915E-06,1.08915E-06
-0.55,1.09366E-06,1.09366E-06
-0.5,1.09829E-06,1.09829E-06
-0.45,1.10306E-06,1.10306E-06
-0.4,1.10793E-06,1.10793E-06
-0.35,1.11292E-06,1.11292E-06
-0.3,1.11798E-06,1.11798E-06
-0.25,1.12306E-06,1.12306E-06
-0.2,1.12808E-06,1.12808E-06
-0.15,1.13291E-06,1.13291E-06
-0.1,1.13738E-06,1.13738E-06
-0.05,1.14128E-06,1.14128E-06
1.20737E-15,1.14447E-06,1.14447E-06
0.05,1.14689E-06,1.14689E-06
0.1,1.14862E-06,1.14862E-06
0.15,1.14979E-06,1.14979E-06
0.2,1.15058E-06,1.15058E-06
0.25,1.1511E-06,1.1511E-06
0.3,1.15145E-06,1.15145E-06
0.35,1.15168E-06,1.15169E-06
0.4,1.15185E-06,1.15186E-06
0.45,1.15196E-06,1.15201E-06
0.5,1.15204E-06,1.15221E-06
0.55,1.1521E-06,1.15267E-06
0.6,1.15215E-06,1.15405E-06
0.65,1.15219E-06,1.15856E-06
0.7,1.15222E-06,1.17353E-06
0.75,1.15226E-06,1.22305E-06
0.8,1.15234E-06,1.38359E-06
0.85,1.15259E-06,1.88711E-06
0.9,1.15344E-06,3.43935E-06
0.95,1.15638E-06,8.0063E-06
1,1.16669E-06,1.88046E-05
1.05,1.2026E-06,3.47126E-05
1.1,1.3256E-06,4.73228E-05
1.15,1.73266E-06,5.35124E-05
1.2,3.04606E-06,5.60466E-05
1.25,7.13408E-06,5.71569E-05
1.3,1.75354E-05,5.77555E-05
1.35,3.38957E-05,5.81559E-05
1.4,4.71722E-05,5.84644E-05
1.45,5.35528E-05,5.87203E-05
1.5,5.60757E-05,5.89403E-05
1.55,5.71584E-05,5.9133E-05
1.6,5.77435E-05,5.93041E-05
1.65,5.81398E-05,5.94574E-05
1.7,5.84483E-05,5.95957E-05
1.75,5.87055E-05,5.97214E-05
1.8,5.89269E-05,5.98363E-05
1.85,5.91211E-05,5.99417E-05
1.9,5.92934E-05,6.0039E-05
1.95,5.94477E-05,6.01291E-05
2,5.95869E-05,6.02129E-05
