freq,magnitude,phase
1.0,14.938919725963636,179.8243680326117
1.02329299,14.938917807093885,179.82027706514168
1.04712855,14.938915792199817,179.81609080851905
1.07151931,14.938913685552283,179.81180704416747
1.0964782,14.938911491624765,179.80742349912614
1.12201845,14.938909183989434,179.802937851501
1.14815362,14.938906767551114,179.79834772156659
1.17489755,14.938904231889264,179.79365067689463
1.20226443,14.93890158238174,179.78884422588553
1.23026877,14.938898809102934,179.78392582216722
1.25892541,14.938895902393776,179.77889285776425
1.28824955,14.938892868428413,179.77374266350137
1.31825674,14.938889682560646,179.7684725098577
1.34896288,14.938886336005003,179.76307960198724
1.38038426,14.938882851403847,179.75756108225085
1.41253754,14.938879189514811,179.75191402354605
1.44543977,14.938875358108943,179.7461354333116
1.47910839,14.938871349768661,179.74022224874113
1.51356125,14.938867157461601,179.73417133310178
1.54881662,14.938862758999905,179.7279794793498
1.58489319,14.938858148171121,179.7216434059392
1.6218101,14.938853334759832,179.71515975277126
1.65958691,14.938848282343823,179.70852508429533
1.69824365,14.938842986096418,179.70173588173776
1.73780083,14.938837457249093,179.69478854780294
1.77827941,14.93883166089907,179.6876793983425
1.81970086,14.938825593806218,179.68040466604901
1.86208714,14.938819237757109,179.67296049369492
1.90546072,14.938812575144684,179.66534293568878
1.9498446,14.938805604553423,179.65754795457994
1.99526231,14.938798309679559,179.64957141781863
2.04173794,14.938790674915323,179.6414090983242
2.08929613,14.93878266983055,179.6330566676674
2.13796209,14.938774295866612,179.6245097010854
2.18776162,14.938765508603737,179.6157636659818
2.23872114,14.938756326677405,179.60681392969283
2.29086765,14.938746707384748,179.5976557458314
2.34422882,14.938736640048266,179.58828426248309
2.39883292,14.938726083844378,179.5786945121662
2.45470892,14.938715045624926,179.56888141140837
2.51188643,14.938703471071808,179.55883976060446
2.57039578,14.938691369195123,179.54856423883038
2.63026799,14.938678687943305,179.53804939758527
2.6915348,14.93866540758075,179.52728966753898
2.7542287,14.938651494090315,179.51627934482747
2.81838293,14.9386369458903,179.50501259668215
2.8840315,14.938621685015361,179.49348345014468
2.95120923,14.938605728285445,179.48168579866902
3.01995172,14.938589016269201,179.46961339024335
3.09029543,14.938571506687413,179.4572598275418
3.16227766,14.938553174487843,179.44461856493822
3.23593657,14.938533980809117,179.43168290656993
3.31131121,14.938513888627815,179.41844599698908
3.38844156,14.938492831721945,179.4049008241453
3.4673685,14.938470808103448,179.39104021335226
3.54813389,14.938447724553512,179.37685681968674
3.63078055,14.93842356783013,179.36234313258427
3.71535229,14.938398264778293,179.34749146184362
3.80189396,14.938371775764278,179.33229394219617
3.89045145,14.938344032571354,179.31674252352616
3.98107171,14.938314969630028,179.30082896793942
4.07380278,14.938284555244273,179.2845448522927
4.16869383,14.938252713962045,179.2678815495904
4.26579519,14.938219357803334,179.25083023632146
4.36515832,14.938184433084118,179.23338188304334
