C11,1.3054432760837452e-09
C12,3.9150320141042484e-09
C21,1.6100971423651165e-09
C22,1.536761967087721e-09
C31,3.80528862250658e-09
C32,2.2706182521167606e-09
C41,9.947664002054265e-09
R11,37264.417953171396
R12,46125.46386273861
R13,11869.003272284013
R14,120744.65415519226
R15,6207.717644059814
R16,9570.256796664666
R21,63565.6801877765
R22,28190.31295353098
R23,10701.554642190817
R24,21755.845800824194
R25,4419.046228680442
R26,63330.36713755461
R31,127147.89268400302
R32,96854.08606391051
R33,70813.59528278651
R34,28920.348694523378
R35,15580.452131554794
R36,20075.279659986576
R41,98880.20862821605
R42,94849.92893612805
gain,9.792055089902487
