 v-sweep         i(v_meas_0_2)   v(p_0_2)       
-2.00000000e-01 -2.00193849e-13 -2.00000000e-01 
-1.00000000e-01 -1.00193311e-13 -1.00000000e-01 
 0.00000000e+00 -1.20916709e-31  0.00000000e+00 
 1.00000000e-01  1.36536045e-13  1.00000000e-01 
 2.00000000e-01  1.79716240e-12  2.00000000e-01 
 3.00000000e-01  4.97271185e-11  3.00000000e-01 
 4.00000000e-01  6.54402860e-10  4.00000000e-01 
 5.00000000e-01  6.45666006e-09  5.00000000e-01 
 6.00000000e-01  6.13079287e-08  6.00000000e-01 
 7.00000000e-01  5.79881911e-07  7.00000000e-01 
 8.00000000e-01  5.48133946e-06  8.00000000e-01 
 9.00000000e-01  5.16660167e-05  9.00000000e-01 
 1.00000000e+00  4.74663100e-04  1.00000000e+00 
 1.10000000e+00  3.62206703e-03  1.10000000e+00 
 1.20000000e+00  1.53884925e-02  1.20000000e+00 
 1.30000000e+00  3.59447560e-02  1.30000000e+00 
 1.40000000e+00  6.11507687e-02  1.40000000e+00 
 1.50000000e+00  8.87185696e-02  1.50000000e+00 
 1.60000000e+00  1.17552855e-01  1.60000000e+00 
 1.70000000e+00  1.47294340e-01  1.70000000e+00 
 1.80000000e+00  1.77591446e-01  1.80000000e+00 
 1.90000000e+00  2.08281975e-01  1.90000000e+00 
 2.00000000e+00  2.39273541e-01  2.00000000e+00 
 2.10000000e+00  2.70500057e-01  2.10000000e+00 
 2.20000000e+00  3.01914138e-01  2.20000000e+00 
 2.30000000e+00  3.33481219e-01  2.30000000e+00 
 2.40000000e+00  3.65175355e-01  2.40000000e+00 
 2.50000000e+00  3.96976598e-01  2.50000000e+00 
 2.60000000e+00  4.28869302e-01  2.60000000e+00 
 2.70000000e+00  4.60840980e-01  2.70000000e+00 
 2.80000000e+00  4.92881515e-01  2.80000000e+00 
 2.90000000e+00  5.24982598e-01  2.90000000e+00 
 3.00000000e+00  5.57137327e-01  3.00000000e+00 
 3.10000000e+00  5.89339908e-01  3.10000000e+00 
 3.20000000e+00  6.21585429e-01  3.20000000e+00 
 3.30000000e+00  6.53869693e-01  3.30000000e+00 
 3.40000000e+00  6.86189085e-01  3.40000000e+00 
 3.50000000e+00  7.18540471e-01  3.50000000e+00 
