 v-sweep         i(v_meas_0_0)   v(p_0_0)       
-2.00000000e-01 -2.00000000e-13 -2.00000000e-01 
-1.00000000e-01 -1.00000000e-13 -1.00000000e-01 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.00000920e-13  1.00000000e-01 
 2.00000000e-01  2.00045031e-13  2.00000000e-01 
 3.00000000e-01  3.02525618e-13  3.00000000e-01 
 4.00000000e-01  6.57292765e-13  4.00000000e-01 
 5.00000000e-01  3.04350643e-11  5.00000000e-01 
 6.00000000e-01  9.19369781e-10  6.00000000e-01 
 7.00000000e-01  1.80123261e-08  7.00000000e-01 
 8.00000000e-01  3.42142287e-07  8.00000000e-01 
 9.00000000e-01  6.48904911e-06  9.00000000e-01 
 1.00000000e+00  1.22865048e-04  1.00000000e+00 
 1.10000000e+00  2.25804762e-03  1.10000000e+00 
 1.20000000e+00  2.89032239e-02  1.20000000e+00 
 1.30000000e+00  1.27649581e-01  1.30000000e+00 
 1.40000000e+00  2.75019777e-01  1.40000000e+00 
 1.50000000e+00  4.42199704e-01  1.50000000e+00 
 1.60000000e+00  6.18278047e-01  1.60000000e+00 
 1.70000000e+00  8.00508332e-01  1.70000000e+00 
 1.80000000e+00  9.85993131e-01  1.80000000e+00 
 1.90000000e+00  1.17362456e+00  1.90000000e+00 
 2.00000000e+00  1.36289723e+00  2.00000000e+00 
 2.10000000e+00  1.55342837e+00  2.10000000e+00 
 2.20000000e+00  1.74494454e+00  2.20000000e+00 
 2.30000000e+00  1.93725216e+00  2.30000000e+00 
 2.40000000e+00  2.13020909e+00  2.40000000e+00 
 2.50000000e+00  2.32370788e+00  2.50000000e+00 
 2.60000000e+00  2.51766547e+00  2.60000000e+00 
 2.70000000e+00  2.71201635e+00  2.70000000e+00 
 2.80000000e+00  2.90670804e+00  2.80000000e+00 
 2.90000000e+00  3.10169779e+00  2.90000000e+00 
 3.00000000e+00  3.29695040e+00  3.00000000e+00 
 3.10000000e+00  3.49243650e+00  3.10000000e+00 
 3.20000000e+00  3.68813137e+00  3.20000000e+00 
 3.30000000e+00  3.88401397e+00  3.30000000e+00 
 3.40000000e+00  4.08006631e+00  3.40000000e+00 
 3.50000000e+00  4.27627281e+00  3.50000000e+00 
