 v-sweep         i(v_meas_0_1)   v(p_0_1)       
-2.00000000e-01 -2.00000000e-13 -2.00000000e-01 
-1.00000000e-01 -1.00000000e-13 -1.00000000e-01 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.00005298e-13  1.00000000e-01 
 2.00000000e-01  2.00228892e-13  2.00000000e-01 
 3.00000000e-01  3.12743521e-13  3.00000000e-01 
 4.00000000e-01  1.73296463e-12  4.00000000e-01 
 5.00000000e-01  9.03813588e-11  5.00000000e-01 
 6.00000000e-01  1.92222211e-09  6.00000000e-01 
 7.00000000e-01  3.27688643e-08  7.00000000e-01 
 8.00000000e-01  5.50464143e-07  8.00000000e-01 
 9.00000000e-01  9.23883512e-06  9.00000000e-01 
 1.00000000e+00  1.54712886e-04  1.00000000e+00 
 1.10000000e+00  2.49953063e-03  1.10000000e+00 
 1.20000000e+00  2.77858127e-02  1.20000000e+00 
 1.30000000e+00  1.14147163e-01  1.30000000e+00 
 1.40000000e+00  2.41277448e-01  1.40000000e+00 
 1.50000000e+00  3.85545814e-01  1.50000000e+00 
 1.60000000e+00  5.37674080e-01  1.60000000e+00 
 1.70000000e+00  6.95252615e-01  1.70000000e+00 
 1.80000000e+00  8.55749378e-01  1.80000000e+00 
 1.90000000e+00  1.01818125e+00  1.90000000e+00 
 2.00000000e+00  1.18209068e+00  2.00000000e+00 
 2.10000000e+00  1.34713399e+00  2.10000000e+00 
 2.20000000e+00  1.51306581e+00  2.20000000e+00 
 2.30000000e+00  1.67971209e+00  2.30000000e+00 
 2.40000000e+00  1.84694486e+00  2.40000000e+00 
 2.50000000e+00  2.01466729e+00  2.50000000e+00 
 2.60000000e+00  2.18280448e+00  2.60000000e+00 
 2.70000000e+00  2.35129733e+00  2.70000000e+00 
 2.80000000e+00  2.52009844e+00  2.80000000e+00 
 2.90000000e+00  2.68916921e+00  2.90000000e+00 
 3.00000000e+00  2.85847784e+00  3.00000000e+00 
 3.10000000e+00  3.02799777e+00  3.10000000e+00 
 3.20000000e+00  3.19770666e+00  3.20000000e+00 
 3.30000000e+00  3.36758549e+00  3.30000000e+00 
 3.40000000e+00  3.53761798e+00  3.40000000e+00 
 3.50000000e+00  3.70779005e+00  3.50000000e+00 
