vgs,cgb_22_2,cgb_22_0,cgb_22_1
-2,6.01412E-09,6.09168E-09,6.12812E-09
-1.95,6.01412E-09,6.09168E-09,6.12812E-09
-1.9,6.01412E-09,6.09168E-09,6.12812E-09
-1.85,6.01412E-09,6.09168E-09,6.12812E-09
-1.8,6.01412E-09,6.09168E-09,6.12812E-09
-1.75,6.01412E-09,6.09168E-09,6.12812E-09
-1.7,6.01412E-09,6.09168E-09,6.12812E-09
-1.65,6.01412E-09,6.09168E-09,6.12812E-09
-1.6,6.01412E-09,6.09168E-09,6.12812E-09
-1.55,6.01412E-09,6.09168E-09,6.12812E-09
-1.5,6.01412E-09,6.09168E-09,6.12812E-09
-1.45,6.01412E-09,6.09168E-09,6.12812E-09
-1.4,6.01412E-09,6.09168E-09,6.12812E-09
-1.35,6.01412E-09,6.09168E-09,6.12811E-09
-1.3,6.01412E-09,6.09168E-09,6.12811E-09
-1.25,6.01412E-09,6.09168E-09,6.12811E-09
-1.2,6.01412E-09,6.09168E-09,6.12811E-09
-1.15,6.01412E-09,6.09168E-09,6.12811E-09
-1.1,6.01412E-09,6.09168E-09,6.12811E-09
-1.05,6.01412E-09,6.09168E-09,6.12811E-09
-1,6.01412E-09,6.09168E-09,6.12811E-09
-0.95,6.01412E-09,6.09168E-09,6.12811E-09
-0.9,6.01412E-09,6.09168E-09,6.12811E-09
-0.85,6.01412E-09,6.09168E-09,6.12811E-09
-0.8,6.01412E-09,6.09168E-09,6.12811E-09
-0.75,6.01412E-09,6.09168E-09,6.12811E-09
-0.7,6.01412E-09,6.09168E-09,6.12811E-09
-0.65,6.01412E-09,6.09168E-09,6.12811E-09
-0.6,6.01412E-09,6.09168E-09,6.12811E-09
-0.55,6.01412E-09,6.09168E-09,6.12811E-09
-0.5,6.01412E-09,6.09168E-09,6.12811E-09
-0.45,6.01412E-09,6.09168E-09,6.12811E-09
-0.4,6.01412E-09,6.09168E-09,6.12811E-09
-0.35,6.01412E-09,6.09168E-09,6.12811E-09
-0.3,6.01412E-09,6.09168E-09,6.12811E-09
-0.25,6.01412E-09,6.09168E-09,6.12811E-09
-0.2,6.01412E-09,6.09168E-09,6.12811E-09
-0.15,6.01412E-09,6.09167E-09,6.12811E-09
-0.1,6.01412E-09,6.09167E-09,6.1281E-09
-0.05,6.01412E-09,6.09167E-09,6.1281E-09
1.20737E-15,6.01412E-09,6.09167E-09,6.1281E-09
0.05,6.01412E-09,6.09167E-09,6.1281E-09
0.1,6.01412E-09,6.09167E-09,6.1281E-09
0.15,6.01412E-09,6.09167E-09,6.1281E-09
0.2,6.01412E-09,6.09167E-09,6.12809E-09
0.25,6.01412E-09,6.09167E-09,6.12809E-09
0.3,6.01412E-09,6.09166E-09,6.12809E-09
0.35,6.01412E-09,6.09166E-09,6.12809E-09
0.4,6.01412E-09,6.09166E-09,6.12809E-09
0.45,6.01412E-09,6.09166E-09,6.12809E-09
0.5,6.01412E-09,6.09166E-09,6.12809E-09
0.55,6.01412E-09,6.09166E-09,6.12808E-09
0.6,6.01412E-09,6.09166E-09,6.12808E-09
0.65,6.01412E-09,6.09166E-09,6.12808E-09
0.7,6.01412E-09,6.09166E-09,6.12808E-09
0.75,6.01412E-09,6.09166E-09,6.12808E-09
0.8,6.01412E-09,6.09165E-09,6.12808E-09
0.85,6.01412E-09,6.09165E-09,6.12807E-09
0.9,6.01412E-09,6.09165E-09,6.12807E-09
0.95,6.01412E-09,6.09165E-09,6.12807E-09
1,6.01412E-09,6.09165E-09,6.12807E-09
1.05,6.01412E-09,6.09165E-09,6.12807E-09
1.1,6.01412E-09,6.09165E-09,6.12807E-09
1.15,6.01412E-09,6.09165E-09,6.12806E-09
1.2,6.01412E-09,6.09165E-09,6.12806E-09
1.25,6.01412E-09,6.09164E-09,6.12806E-09
1.3,6.01412E-09,6.09164E-09,6.12806E-09
1.35,6.01412E-09,6.09164E-09,6.12806E-09
1.4,6.01412E-09,6.09164E-09,6.12806E-09
1.45,6.01412E-09,6.09164E-09,6.12806E-09
1.5,6.01412E-09,6.09164E-09,6.12805E-09
1.55,6.01412E-09,6.09164E-09,6.12805E-09
1.6,6.01412E-09,6.09164E-09,6.12805E-09
1.65,6.01412E-09,6.09164E-09,6.12805E-09
1.7,6.01412E-09,6.09164E-09,6.12805E-09
1.75,6.01412E-09,6.09163E-09,6.12805E-09
1.8,6.01412E-09,6.09163E-09,6.12804E-09
1.85,6.01412E-09,6.09163E-09,6.12804E-09
1.9,6.01412E-09,6.09163E-09,6.12804E-09
1.95,6.01412E-09,6.09163E-09,6.12804E-09
2,6.01412E-09,6.09163E-09,6.12804E-09
