vds,ciss_24_0
0,4.03991
0.05,4.03971
0.1,4.03949
0.15,4.03927
0.2,4.03905
0.25,4.03885
0.3,4.03867
0.35,4.03852
0.4,4.03838
0.45,4.03825
0.5,4.03814
0.55,4.03804
0.6,4.03795
0.65,4.03787
0.7,4.0378
0.75,4.03774
0.8,4.03768
0.85,4.03762
0.9,4.03757
0.95,4.03752
1,4.03748
1.05,4.03744
1.1,4.0374
1.15,4.03736
1.2,4.03733
1.25,4.0373
1.3,4.03727
1.35,4.03724
1.4,4.03721
1.45,4.03719
1.5,4.03716
1.55,4.03714
1.6,4.03712
1.65,4.03709
1.7,4.03707
1.75,4.03705
1.8,4.03704
1.85,4.03702
1.9,4.037
1.95,4.03698
2,4.03697
