vgs,cgg_23_1,cgg_23_2
-2,0.000403479,0.000403507
-1.9,0.000403488,0.000403515
-1.85,0.000403492,0.00040352
-1.8,0.000403496,0.000403524
-1.75,0.000403501,0.000403529
-1.7,0.000403506,0.000403533
-1.65,0.000403511,0.000403538
-1.6,0.000403516,0.000403544
-1.55,0.000403521,0.000403549
-1.5,0.000403527,0.000403554
-1.45,0.000403532,0.00040356
-1.4,0.000403538,0.000403566
-1.35,0.000403545,0.000403572
-1.3,0.000403551,0.000403579
-1.25,0.000403558,0.000403586
-1.2,0.000403565,0.000403593
-1.15,0.000403573,0.0004036
-1.1,0.00040358,0.000403608
-1.05,0.000403589,0.000403617
-1,0.000403598,0.000403625
-0.95,0.000403607,0.000403635
-0.9,0.000403617,0.000403645
-0.85,0.000403627,0.000403655
-0.8,0.000403638,0.000403666
-0.75,0.00040365,0.000403678
-0.7,0.000403663,0.000403691
-0.65,0.000403677,0.000403705
-0.6,0.000403692,0.000403719
-0.55,0.000403708,0.000403736
-0.5,0.000403725,0.000403753
-0.45,0.000403744,0.000403772
-0.4,0.000403765,0.000403793
-0.35,0.000403788,0.000403816
-0.3,0.000403814,0.000403841
-0.25,0.000403841,0.000403869
-0.2,0.000403869,0.000403897
-0.15,0.000403896,0.000403924
-0.1,0.000403924,0.000403952
-0.05,0.00040395,0.000403978
1.20737E-15,0.000403973,0.000404
0.05,0.00040399,0.000404018
0.1,0.000404003,0.00040403
0.15,0.00040401,0.000404038
0.2,0.000404014,0.000404042
0.25,0.000404015,0.000404043
0.3,0.000404015,0.000404043
0.35,0.000404013,0.000404041
0.4,0.000404011,0.000404039
0.45,0.000404008,0.000404036
0.5,0.000404005,0.000404032
0.55,0.000404001,0.000404029
0.6,0.000403997,0.000404025
0.65,0.000403993,0.000404021
0.7,0.000403989,0.000404017
0.75,0.000403985,0.000404013
0.8,0.000403981,0.000404009
0.85,0.000403977,0.000404005
0.9,0.000403973,0.000404001
0.95,0.000403969,0.000403996
1,0.000403964,0.000403992
1.05,0.00040396,0.000403988
1.1,0.000403956,0.000403984
1.15,0.000403951,0.000403979
1.2,0.000403947,0.000403975
1.25,0.000403943,0.000403971
1.3,0.000403939,0.000403966
1.35,0.000403934,0.000403962
1.4,0.00040393,0.000403958
1.45,0.000403926,0.000403953
1.5,0.000403921,0.000403949
1.55,0.000403917,0.000403945
1.6,0.000403913,0.00040394
1.65,0.000403908,0.000403936
1.7,0.000403904,0.000403932
1.75,0.0004039,0.000403927
1.8,0.000403895,0.000403923
1.85,0.000403891,0.000403919
1.9,0.000403887,0.000403914
1.95,0.000403882,0.00040391
2,0.000403878,0.000403906
