vds,crss_25_0
0,2.02282
0.05,2.02262
0.1,2.0224
0.15,2.02218
0.2,2.02196
0.25,2.02176
0.3,2.02158
0.35,2.02143
0.4,2.02128
0.45,2.02116
0.5,2.02105
0.55,2.02095
0.6,2.02086
0.65,2.02078
0.7,2.02071
0.75,2.02065
0.8,2.02059
0.85,2.02053
0.9,2.02048
0.95,2.02043
1,2.02039
1.05,2.02035
1.1,2.02031
1.15,2.02027
1.2,2.02024
1.25,2.02021
1.3,2.02018
1.35,2.02015
1.4,2.02012
1.45,2.0201
1.5,2.02007
1.55,2.02005
1.6,2.02003
1.65,2.02
1.7,2.01998
1.75,2.01996
1.8,2.01995
1.85,2.01993
1.9,2.01991
1.95,2.01989
2,2.01988
