name,value
a0,1.528313853148496
a1,0.03433204289042893
a2,0.5614978386398551
acde,1.0581581969035336
ags,1.4774066496558862
bin_lketa,0.6884623279051759
bin_pketa,0.38929758638336276
bin_ppclm,0.25080032930675805
bin_prdsw,0.7995306255036461
bin_pvsat,0.4271244225409896
bin_wk3,0.6488091735406543
bin_wk3b,0.8194005517586803
bin_wketa,0.823649386028005
cf,2.5417363387655914e-11
cgdl,6.387997526131014e-11
cgdo,1.3287554789442254e-10
ckappas,8.689125671607465
clc,3.519028606078058e-08
cle,0.7288176416893235
dlc,-7.726447738925746e-08
drout,1.2099576153497582
dsub,0.48599617836179176
dvt0,5.8212451521784665
dvt0w,-0.7517299746375705
dvt1,1.3945757106395147
dvt1w,740128.2065034086
dvt2,0.07439793766379132
dvt2w,-0.027510269491350305
dwg,6.77509860254165e-08
eta0,0.5940311351039964
etab,-0.18907838341376226
k1,0.44684442981468586
k2,-0.015155864565301116
k3,-73.15470975526664
k3b,-6.67479064844504
keta,-0.05124432668660447
lint,-8.788014471927716e-08
ll,6.897992548531844e-14
lwl,-6.099474402348202e-20
moin,20.377818531439484
ndep,5.102243106973695e+16
nfactor,1.2186438644664246
ngate,2.358616131230572e+24
noff,1.463618874529952
pclm,8.453473880600797e-07
pdiblc1,0.0017473495900506223
pdiblc2,0.027580239656821576
pdiblcb,-0.6908544122567609
pvag,1.8462078136944284
rdsw,2767.46435612658
toxp,5.294538368172891e-09
u0,616.1370888255976
ua,-2.477199648403852e-09
ub,1.998848337159432e-18
uc,9.513321496772307e-09
voff,-0.1307601967555242
voffcv,0.28348159197520795
voffl,-9.514369804168778e-08
vsat,41247.99212048741
vth0,0.5077085022448902
w0,1.8162145619509397e-09
wint,-3.774539726007908e-08
ww,-1.0194148676647161e-14
wwl,1.999241902006913e-21
xpart,0.5623170229821948
