name,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,member_11,member_12,member_13,member_14,member_15,member_16,member_17,member_18,member_19,member_20
a0,2.8095809204369955,2.687022603747333,0.13870298151805227,1.3773725998227617,2.075829589871435,1.874253325947831,1.4996441120416086,1.528313853148496,0.26065071210441393,0.5241619640905717,2.820504279946356,1.5259151025427493,2.813413924154114,2.3449098876164065,1.236098231817726,2.8892724532804515,2.9155597276584233,1.0749484361041988,0.5469437119430093,0.6590869708812634
a1,0.05092896314383272,0.08010630705849735,0.02180244246935537,0.07711088424984486,0.05685145850895591,0.06127086169605172,0.058161924273748826,0.03433204289042893,0.08301073816225957,0.013962122941992157,0.034732048562140794,0.0644804525594093,0.022899318055376507,0.044159061228286584,0.0016797805377013033,0.05860167451044134,0.04131754311116123,0.05290579690200199,0.07230601967260294,0.06322532433017206
a2,0.1958968588153246,0.9827674425745612,0.5402917188122163,0.5045930693253026,0.017734043038376557,0.9729038453593488,0.43951188263802365,0.5614978386398551,0.10604015942347755,0.6182722206133515,0.2852646324541025,0.8293999824021434,0.4990199074500003,0.9394020980474114,0.520402080185581,0.8845418873495927,0.45493457396941583,0.07630617062265632,0.7398704930380363,0.6370182824595315
acde,1.4537491197091312,1.5388541093150532,0.8631983884467874,0.5432008526431502,0.7593185760814494,0.11126718289856427,0.18451257422342512,1.0581581969035336,0.9976358508541273,1.2318332835306138,0.6167409336544101,1.5873029230668645,1.3308188443481281,0.3086551276620533,1.17593632535322,0.18256360826398058,0.17235284445190313,0.7419797993766896,0.7132509371776813,0.6975182984298519
ags,0.3965222859099108,0.8856180476927713,0.32626320314171275,1.3425533375641867,0.5101667608531661,1.3124779695978952,0.27522290475440897,1.4774066496558862,1.1039910888333275,1.02861093365556,0.26097022717831436,1.2413007380784733,0.03510963520230881,0.27436134605558055,0.3714656565756382,0.289700437137154,1.2340397456265486,0.8168659124393616,0.22475824848567597,0.9027708874648169
bin_lketa,0.8669243773059738,0.6211415002174678,0.9413662385707899,0.8170390594524607,0.1512470490240042,0.6441169065352729,0.6546920888202902,0.6884623279051759,0.2083049006575768,0.4774809397430259,0.4207910479581979,0.21043789708389726,0.45844723004567656,0.6035044830856261,0.49825697644506345,0.6090236310139286,0.6514661984552162,0.49042116865049157,0.6356334621237907,0.44140821711388223
bin_pketa,0.13998257988756405,0.8738624459769143,0.04099576804490607,0.011205684484152337,0.18268096999825,0.8968155725207019,0.9791925555207206,0.38929758638336276,0.8725381975265952,0.3924846016885273,0.30685040318470985,0.5031917526567382,0.15512029346587525,0.9199229110253239,0.5778984288909828,0.5589283279722773,0.3291853211272849,0.8484176868817045,0.05075290035573077,0.005978978746476349
bin_ppclm,0.550853931630619,0.9496061699477528,0.5261522065568296,0.28906823382607977,0.05442503530961601,0.21367341531032208,0.4896715953581159,0.25080032930675805,0.5006605360331667,0.28622023823619835,0.7393542259766726,0.3325916530551278,0.5331884591943312,0.5832362924650019,0.04566343221822712,0.4950208781937806,0.48875079102002483,0.45475884810888295,0.16717135568971112,0.6076190609427217
bin_prdsw,0.7629528933640497,0.6984890886444064,0.7062255742404477,0.06763969908523493,0.7550989892264862,0.7663760851796904,0.19041420509089507,0.7995306255036461,0.2662664230973286,0.810908124087223,0.8123059995708182,0.5298032110206118,0.6015111302748629,0.9307305843347125,0.5512794124237644,0.8098242949799347,0.7338845942934586,0.34532238753501315,0.4063593684768086,0.5301602798079414
bin_pvsat,0.43148324581272957,0.835508094707566,0.7517920582041978,0.7842887570157329,0.029966652724113363,0.46728580491746907,0.5658296080406053,0.4271244225409896,0.7524275446773626,0.6351412323820596,0.3773924792761697,0.4663227416332193,0.6769838011362678,0.7469043564659326,0.8037326381362057,0.8004882642631389,0.6822724570338985,0.7659378469733659,0.7145778750545622,0.7319720938614511
