vgs,cgg_23_0
-2,0.000352197
-1.95,0.000352207
-1.9,0.000352217
-1.85,0.000352228
-1.8,0.000352239
-1.75,0.00035225
-1.7,0.000352262
-1.65,0.000352275
-1.6,0.000352288
-1.55,0.000352301
-1.5,0.000352316
-1.45,0.00035233
-1.4,0.000352346
-1.35,0.000352362
-1.3,0.00035238
-1.25,0.000352398
-1.2,0.000352417
-1.15,0.000352437
-1.1,0.000352459
-1.05,0.000352481
-1,0.000352506
-0.95,0.000352532
-0.9,0.00035256
-0.85,0.00035259
-0.8,0.000352622
-0.75,0.000352657
-0.7,0.000352695
-0.65,0.000352737
-0.6,0.000352782
-0.55,0.000352833
-0.5,0.000352888
-0.45,0.00035295
-0.4,0.00035302
-0.35,0.000353097
-0.3,0.000353185
-0.25,0.000353282
-0.2,0.00035339
-0.15,0.000353505
-0.1,0.000353475
-0.05,0.000353434
1.20737E-15,0.000353381
0.05,0.000353311
0.1,0.00035322
0.15,0.000353112
0.2,0.000352989
0.25,0.000352857
0.3,0.000352717
0.35,0.000352573
0.4,0.000352425
0.45,0.000352276
0.5,0.000352126
0.55,0.000351974
0.6,0.000351822
0.65,0.00035167
0.7,0.000351518
0.75,0.000351365
0.8,0.000351213
0.85,0.00035106
0.9,0.000350908
0.95,0.000350756
1,0.000350604
1.05,0.000350452
1.1,0.0003503
1.15,0.000350149
1.2,0.000349997
1.25,0.000349846
1.3,0.000349695
1.35,0.000349545
1.4,0.000349394
1.45,0.000349244
1.5,0.000349094
1.55,0.000348944
1.6,0.000348794
1.65,0.000348645
1.7,0.000348496
1.75,0.000348347
1.8,0.000348198
1.85,0.00034805
1.9,0.000347901
1.95,0.000347753
2,0.000347606
