vgs,cgs_21_1
-2,5.62334E-07
-1.95,5.64602E-07
-1.8,5.7186E-07
-1.75,5.74445E-07
-1.7,5.77122E-07
-1.65,5.79895E-07
-1.6,5.82771E-07
-1.55,5.85755E-07
-1.5,5.88856E-07
-1.45,5.92081E-07
-1.4,5.95437E-07
-1.35,5.98935E-07
-1.3,6.02585E-07
-1.25,6.06397E-07
-1.2,6.10384E-07
-1.15,6.1456E-07
-1.1,6.1894E-07
-1.05,6.2354E-07
-1,6.2838E-07
-0.95,6.3348E-07
-0.9,6.38865E-07
-0.85,6.44561E-07
-0.8,6.50597E-07
-0.75,6.57008E-07
-0.7,6.63831E-07
-0.65,6.71108E-07
-0.6,6.78887E-07
-0.55,6.87221E-07
-0.5,6.96164E-07
-0.45,7.05776E-07
-0.4,7.16109E-07
-0.35,7.27206E-07
-0.3,7.39075E-07
-0.25,7.51661E-07
-0.2,7.64792E-07
-0.15,7.78123E-07
-0.1,7.9109E-07
-0.05,8.0297E-07
1.20737E-15,8.13075E-07
0.05,8.21021E-07
0.1,8.26849E-07
0.15,8.30916E-07
0.2,8.33676E-07
0.25,8.35534E-07
0.3,8.3679E-07
0.35,8.3765E-07
0.4,8.3825E-07
0.45,8.38676E-07
0.5,8.38984E-07
0.55,8.39211E-07
0.6,8.39382E-07
0.65,8.39511E-07
0.7,8.39612E-07
0.75,8.39691E-07
0.8,8.39753E-07
0.85,8.39803E-07
0.9,8.39844E-07
0.95,8.39877E-07
1,8.39905E-07
1.05,8.39928E-07
1.1,8.39947E-07
1.15,8.39963E-07
1.2,8.39977E-07
1.25,8.39989E-07
1.3,8.39999E-07
1.35,8.40008E-07
1.4,8.40016E-07
1.45,8.40022E-07
1.5,8.40028E-07
1.55,8.40034E-07
1.6,8.40038E-07
1.65,8.40042E-07
1.7,8.40046E-07
1.75,8.40049E-07
1.8,8.40052E-07
1.85,8.40055E-07
1.9,8.40057E-07
1.95,8.40059E-07
2,8.40061E-07
