vds,ciss_24_0
0,0.0379361
0.05,0.0369937
0.1,0.0359514
0.15,0.0348857
0.2,0.0338614
0.25,0.0329174
0.3,0.0320687
0.35,0.0313149
0.4,0.0306481
0.45,0.030058
0.5,0.0295339
0.55,0.0290663
0.6,0.0286468
0.65,0.0282685
0.7,0.0279255
0.75,0.027613
0.8,0.027327
0.85,0.027064
0.9,0.0268212
0.95,0.0265962
1,0.0263871
1.05,0.026192
1.1,0.0260095
1.15,0.0258383
1.2,0.0256773
1.25,0.0255256
1.3,0.0253823
1.35,0.0252466
1.4,0.0251179
1.45,0.0249956
1.5,0.0248793
1.55,0.0247684
1.6,0.0246625
1.65,0.0245613
1.7,0.0244645
1.75,0.0243717
1.8,0.0242826
1.85,0.0241971
1.9,0.0241148
1.95,0.0240357
2,0.0239594
