vds,crss_25_0
0,0.0298054
0.05,0.028863
0.1,0.0278207
0.15,0.026755
0.2,0.0257307
0.25,0.0247867
0.3,0.0239379
0.35,0.0231841
0.4,0.0225174
0.45,0.0219273
0.5,0.0214032
0.55,0.0209355
0.6,0.020516
0.65,0.0201377
0.7,0.0197948
0.75,0.0194823
0.8,0.0191962
0.85,0.0189332
0.9,0.0186904
0.95,0.0184655
1,0.0182563
1.05,0.0180612
1.1,0.0178788
1.15,0.0177076
1.2,0.0175466
1.25,0.0173949
1.3,0.0172515
1.35,0.0171158
1.4,0.0169871
1.45,0.0168649
1.5,0.0167485
1.55,0.0166376
1.6,0.0165318
1.65,0.0164306
1.7,0.0163337
1.75,0.0162409
1.8,0.0161519
1.85,0.0160663
1.9,0.0159841
1.95,0.0159049
2,0.0158287
