v(d_1_4),i(v_s_1_4)
0,0
0.2,3.97007E-40
0.3,3.9821E-40
0.4,3.98959E-40
0.5,3.99585E-40
0.6,4.00165E-40
0.7,4.00723E-40
0.8,4.01269E-40
0.9,4.01809E-40
1,4.02345E-40
1.1,4.02879E-40
1.2,4.03411E-40
1.3,4.03942E-40
1.4,4.04472E-40
1.5,4.05001E-40
1.6,4.0553E-40
