v(d_1_4),i(v_s_1_4)
0,0
0.2,1.83047E-05
0.3,2.2988E-05
0.4,2.50199E-05
0.5,2.55295E-05
0.6,2.56459E-05
0.7,2.56857E-05
0.8,2.57046E-05
0.9,2.57159E-05
1,2.57236E-05
1.1,2.57294E-05
1.2,2.57341E-05
1.3,2.57381E-05
1.4,2.57417E-05
1.5,2.5745E-05
1.6,2.5748E-05
