vgs,cgg_23_1,cgg_23_2
-2,0.00031837,0.000296895
-1.9,0.000318822,0.00028602
-1.85,0.00031905,0.000278391
-1.8,0.000319279,0.000268422
-1.75,0.000319507,0.0002551
-1.7,0.000319732,0.000237305
-1.65,0.000319952,0.000214498
-1.6,0.000320166,0.000188071
-1.55,0.000320372,0.000162788
-1.5,0.000320566,0.000140965
-1.45,0.000320746,0.000122835
-1.4,0.000320908,0.00010834
-1.35,0.000321049,9.69156E-05
-1.3,0.000321164,8.78815E-05
-1.25,0.000321249,8.06518E-05
-1.2,0.000321299,7.47766E-05
-1.15,0.000321308,6.99259E-05
-1.1,0.000321269,6.58601E-05
-1.05,0.000321176,6.24049E-05
-1,0.00032102,5.94323E-05
-0.95,0.000320794,5.68466E-05
-0.9,0.000320489,5.45757E-05
-0.85,0.000320093,5.25644E-05
-0.8,0.000319597,5.07695E-05
-0.75,0.000318988,4.91575E-05
-0.7,0.000318253,4.77014E-05
-0.65,0.00031738,4.63797E-05
-0.6,0.000316353,4.51749E-05
-0.55,0.000315157,4.40729E-05
-0.5,0.000313775,4.30621E-05
-0.45,0.000312189,4.2133E-05
-0.4,0.000310383,4.12779E-05
-0.35,0.00030806,4.04903E-05
-0.3,0.00030527,3.97649E-05
-0.25,0.000301982,3.90971E-05
-0.2,0.000298065,3.8482E-05
-0.15,0.000293322,3.79139E-05
-0.1,0.000287359,3.73746E-05
-0.05,0.000279803,3.68664E-05
1.20737E-15,0.000269941,3.63792E-05
0.05,0.000256779,3.59049E-05
0.1,0.000239211,3.54392E-05
0.15,0.000216697,3.49818E-05
0.2,0.000190587,3.45342E-05
0.25,0.000165663,3.40982E-05
0.3,0.000144633,3.36753E-05
0.35,0.000128199,3.32666E-05
0.4,0.000118006,3.28734E-05
0.45,0.000118974,3.25001E-05
0.5,0.000140423,3.21608E-05
0.55,0.000181105,3.19037E-05
0.6,0.000220371,3.18772E-05
0.65,0.000245697,3.24589E-05
0.7,0.000259654,3.44746E-05
0.75,0.000267417,4.03096E-05
0.8,0.000272142,5.81684E-05
0.85,0.000275343,0.000103953
0.9,0.000277713,0.000169345
0.95,0.000279584,0.000217798
1,0.000281124,0.000242961
1.05,0.000282428,0.000255618
1.1,0.000283554,0.000262843
1.15,0.000284541,0.00026761
1.2,0.000285415,0.000271105
1.25,0.000286198,0.000273839
1.3,0.000286902,0.000276065
1.35,0.000287541,0.000277925
1.4,0.000288124,0.000279509
1.45,0.000288657,0.000280878
1.5,0.000289147,0.000282074
1.55,0.0002896,0.000283131
1.6,0.000290018,0.000284071
1.65,0.000290407,0.000284913
1.7,0.000290768,0.000285673
1.75,0.000291105,0.000286362
1.8,0.000291419,0.00028699
1.85,0.000291713,0.000287564
1.9,0.000291989,0.000288091
1.95,0.000292247,0.000288577
2,0.00029249,0.000289025
