vgs,cgb_22_2,cgb_22_0,cgb_22_1
-2,0.000295179,0.000319388,0.000316654
-1.95,0.000290305,0.000319377,0.00031687
-1.9,0.000284286,0.000319318,0.000317087
-1.85,0.000276647,0.000319202,0.000317306
-1.8,0.000266668,0.000319023,0.000317525
-1.75,0.000253336,0.000318771,0.000317742
-1.7,0.00023553,0.000318438,0.000317957
-1.65,0.000212711,0.000318012,0.000318166
-1.6,0.000186273,0.000317483,0.000318369
-1.55,0.000160978,0.000316839,0.000318562
-1.5,0.000139142,0.000316067,0.000318744
-1.45,0.000121,0.000315151,0.00031891
-1.4,0.000106491,0.000314078,0.000319059
-1.35,9.5052E-05,0.000312831,0.000319185
-1.3,8.60029E-05,0.000311393,0.000319285
-1.25,7.87574E-05,0.000309745,0.000319355
-1.2,7.28656E-05,0.000307869,0.000319388
-1.15,6.79973E-05,0.00030545,0.000319379
-1.1,6.39129E-05,0.000302565,0.000319322
-1.05,6.04382E-05,0.000299168,0.000319209
-1,5.74446E-05,0.000295127,0.000319033
-0.95,5.48367E-05,0.000290241,0.000318784
-0.9,5.25421E-05,0.000284206,0.000318455
-0.85,5.05053E-05,0.000276545,0.000318034
-0.8,4.8683E-05,0.000266533,0.00031751
-0.75,4.70413E-05,0.000253155,0.000316872
-0.7,4.55531E-05,0.000235291,0.000316105
-0.65,4.41962E-05,0.000212416,0.000315197
-0.6,4.2953E-05,0.000185958,0.000314131
-0.55,4.18086E-05,0.000160701,0.000312892
-0.5,4.07509E-05,0.000138907,0.000311463
-0.45,3.97695E-05,0.000120809,0.000309826
-0.4,3.88558E-05,0.00010634,0.000307961
-0.35,3.80024E-05,9.4933E-05,0.000305572
-0.3,3.72031E-05,8.59082E-05,0.000302708
-0.25,3.64524E-05,7.8681E-05,0.000299337
-0.2,3.57455E-05,7.28029E-05,0.000295329
-0.15,3.50782E-05,6.79445E-05,0.000290486
-0.1,3.44362E-05,6.38479E-05,0.000284419
-0.05,3.38277E-05,6.03622E-05,0.000276761
1.20737E-15,3.32501E-05,5.73588E-05,0.000266804
0.05,3.27008E-05,5.47419E-05,0.000253552
0.1,3.21776E-05,5.24388E-05,0.000235886
0.15,3.16783E-05,5.0394E-05,0.000213222
0.2,3.12014E-05,4.85641E-05,0.000186802
0.25,3.07451E-05,4.6915E-05,0.000161178
0.3,3.03079E-05,4.5419E-05,0.000138609
0.35,2.98886E-05,4.40527E-05,0.000118755
0.4,2.94857E-05,4.27936E-05,0.000100328
0.45,2.90979E-05,4.16117E-05,8.0722E-05
0.5,2.87224E-05,4.04453E-05,5.83085E-05
0.55,2.83534E-05,3.91242E-05,3.66627E-05
0.6,2.79722E-05,3.71488E-05,2.15067E-05
0.65,2.7519E-05,3.3223E-05,1.32759E-05
0.7,2.67988E-05,2.53779E-05,9.17018E-06
0.75,2.5222E-05,1.46714E-05,7.00524E-06
0.8,2.14279E-05,6.65433E-06,5.71206E-06
0.85,1.43624E-05,3.00375E-06,4.83507E-06
0.9,6.92144E-06,1.69434E-06,4.18202E-06
0.95,2.71531E-06,1.23866E-06,3.66662E-06
1,1.12049E-06,1.0579E-06,3.24571E-06
1.05,6.04703E-07,9.64432E-07,2.89476E-06
1.1,4.4068E-07,9.00466E-07,2.59807E-06
1.15,3.83262E-07,8.48258E-07,2.34466E-06
1.2,3.57753E-07,8.02187E-07,2.12643E-06
1.25,3.42037E-07,7.60302E-07,1.93714E-06
1.3,3.296E-07,7.21787E-07,1.77191E-06
1.35,3.18511E-07,6.86188E-07,1.62686E-06
1.4,3.08179E-07,6.53189E-07,1.49885E-06
1.45,2.98409E-07,6.22535E-07,1.38533E-06
1.5,2.89121E-07,5.94004E-07,1.2842E-06
1.55,2.80273E-07,5.67407E-07,1.19374E-06
1.6,2.71834E-07,5.4257E-07,1.1125E-06
1.65,2.63779E-07,5.19344E-07,1.03928E-06
1.7,2.56083E-07,4.97591E-07,9.73067E-07
1.75,2.48727E-07,4.7719E-07,9.1299E-07
1.8,2.4169E-07,4.58031E-07,8.5832E-07
1.85,2.34954E-07,4.40015E-07,8.0843E-07
1.9,2.28503E-07,4.23054E-07,7.62781E-07
1.95,2.22319E-07,4.07066E-07,7.20906E-07
2,2.1639E-07,3.91979E-07,6.82402E-07
