vds,crss_25_0
0,0.022539
0.05,0.0216531
0.1,0.0206734
0.15,0.0196717
0.2,0.0187089
0.25,0.0178216
0.3,0.0170238
0.35,0.0163152
0.4,0.0156885
0.45,0.0151339
0.5,0.0146412
0.55,0.0142017
0.6,0.0138074
0.65,0.0134518
0.7,0.0131294
0.75,0.0128357
0.8,0.0125668
0.85,0.0123196
0.9,0.0120914
0.95,0.0118799
1,0.0116833
1.05,0.0115
1.1,0.0113284
1.15,0.0111675
1.2,0.0110162
1.25,0.0108736
1.3,0.0107388
1.35,0.0106113
1.4,0.0104903
1.45,0.0103754
1.5,0.0102661
1.55,0.0101618
1.6,0.0100623
1.65,0.0099672
1.7,0.00987616
1.75,0.00978892
1.8,0.00970522
1.85,0.00962482
1.9,0.00954752
1.95,0.00947311
2,0.00940143
