vds,ciss_24_0
0,0.031291
0.05,0.0304052
0.1,0.0294255
0.15,0.0284238
0.2,0.027461
0.25,0.0265737
0.3,0.0257759
0.35,0.0250673
0.4,0.0244406
0.45,0.0238859
0.5,0.0233933
0.55,0.0229537
0.6,0.0225594
0.65,0.0222039
0.7,0.0218815
0.75,0.0215877
0.8,0.0213189
0.85,0.0210717
0.9,0.0208435
0.95,0.020632
1,0.0204354
1.05,0.020252
1.1,0.0200805
1.15,0.0199196
1.2,0.0197683
1.25,0.0196257
1.3,0.0194909
1.35,0.0193634
1.4,0.0192424
1.45,0.0191275
1.5,0.0190181
1.55,0.0189139
1.6,0.0188144
1.65,0.0187193
1.7,0.0186283
1.75,0.018541
1.8,0.0184573
1.85,0.0183769
1.9,0.0182996
1.95,0.0182252
2,0.0181535
