name,value
a0,2.243016031725125
a1,0.060415906758347085
a2,0.7831521393277031
acde,0.3168795011302399
ags,0.33526739976367215
bin_lketa,0.540760243566089
bin_pketa,0.0803100638039692
bin_ppclm,0.7071178044295012
bin_prdsw,0.7987045170435275
bin_pvsat,0.1747455890656192
bin_wk3,0.6068967482468304
bin_wk3b,0.3010646917889466
bin_wketa,0.5763765552043733
cf,7.214259516792223e-11
cgdl,1.6678042007341946e-09
cgdo,3.37316175664907e-10
ckappas,3.4149059099354
clc,7.95414409354417e-08
cle,0.4361337084334682
dlc,-8.962969557708837e-08
drout,0.2726182884778751
dsub,0.3725319557273563
dvt0,2.1983360148738202
dvt0w,8.461629554735701
dvt1,0.7445802626246951
dvt1w,2514719.325822907
dvt2,-0.020907516764655604
dvt2w,-0.018873696440159883
dwg,7.716160863562246e-08
eta0,0.13938322180938326
etab,-0.20341887697493882
k1,0.5120024371786194
k2,-0.019115672075079183
k3,42.44855999335141
k3b,21.906149413990995
keta,-0.0757134784932011
lint,5.452704153393221e-08
ll,9.34845626645486e-14
lwl,7.393136726083323e-20
moin,14.848581242497039
ndep,2.2419290676161405e+18
nfactor,1.498160650530792
ngate,2.1579779112662443e+22
noff,2.405118741454919
pclm,1.682972808788362e-05
pdiblc1,2.1161424594264306e-07
pdiblc2,0.0005414368875327496
pdiblcb,-0.5976749603171863
pvag,0.14137846021811407
rdsw,1772.6239494652216
toxp,5.306817881514337e-09
u0,525.6170034267113
ua,2.07707297588778e-10
ub,1.8623670351517515e-19
uc,-1.577229759759791e-09
voff,-0.054203008889595894
voffcv,0.1871231334099801
voffl,-6.489767276093266e-08
vsat,121572.86094527329
vth0,0.3802435011271137
w0,1.107244951596358e-08
wint,1.0123318195235756e-07
ww,-7.288576693930786e-14
wwl,7.230456597840961e-20
xpart,0.6685063797361851
