name,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,member_11,member_12,member_13,member_14,member_15,member_16,member_17,member_18,member_19,member_20
a0,2.243016031725125,1.6927186906867449,2.6940465193397722,1.7648974332467493,2.3012962995612734,2.184882456800445,2.593193794978052,2.30814532241357,2.6938587206148252,1.9796025328659226,2.6754214537628855,2.2577840078840117,2.166923609374572,2.389952830263101,2.824990544988261,2.1396245510874947,1.9866931390664149,2.625892923541098,2.174412526161045,2.745436522874695
a1,0.060415906758347085,0.030732491168715428,0.09012760742403075,0.028269903414150935,0.05884143647102821,0.07782502527289471,0.0638168925882415,0.06304736100596771,0.04984664533786252,0.05365014338147241,0.05660169045911095,0.05863025266345926,0.059320766431467824,0.0448082459757034,0.07187700612649364,0.027761100393903428,0.04681888024945882,0.06231510292684803,0.06090476065589088,0.05687999452606443
a2,0.7831521393277031,0.9433588847058885,0.526708656538432,0.8581225972762728,0.8004737945516595,0.9420611848106872,0.8425184729492168,0.46229290283107255,0.7166489700373477,0.8084988636583808,0.8689151544865816,0.7325612732056012,0.9013264238127909,0.7300840282353325,0.5882283666814185,0.8874763512414807,0.7812847839704664,0.8197427011202982,0.8510222266098219,0.6552983512708755
acde,0.3168795011302399,0.29230479412401555,0.6720201143937468,0.3871999067197779,0.27429984581325884,0.49158983835085457,0.40952078466198416,0.2724035727694084,0.20087351698536876,0.4108595811076555,0.4441551376914131,0.40515473877825214,0.41914272538009956,0.1881176867627113,0.4669879054449776,0.3695235195069465,0.3651279967400225,0.3861989017833417,0.2064009570669391,0.41195789140446004
ags,0.33526739976367215,0.17475480514721992,0.38846165890104495,0.22132992703686244,0.27327897874763385,0.28945674379594194,0.39295735870886844,0.47347849800077735,0.45039351992428234,0.2434788153086799,0.36275244486093167,0.29108286726313715,0.2309855635717829,0.3142773438410836,0.49003132046190556,0.2510897047624776,0.2498101231992369,0.5379589773514016,0.2665078283661608,0.48511284510459685
bin_lketa,0.540760243566089,0.6107344906597298,0.9276202610137085,0.7443837504111341,0.5391546210617176,0.742357829731154,0.7327438586143581,0.5594241981193285,0.8697539033534528,0.7200758087813482,0.7459605243659173,0.6409182899551247,0.7540920074144339,0.5113729090452388,0.8936832846902926,0.5053823944337167,0.608309600713924,0.8105382696380709,0.4963133968798518,0.6393831271940507
bin_pketa,0.0803100638039692,0.06239090442860712,0.0530368720128618,0.00785356380060408,0.04945908400661579,0.009750958351406892,0.03019258570079309,0.04882465736532878,0.11470479563801281,0.1624866739042524,0.04054032698472326,0.07628331096034113,0.0017029128427182665,0.07182207934996541,0.06381986195282399,0.10492937937227687,0.07694594946759764,0.028124409015170757,0.020469999878844552,0.1555627460559608
bin_ppclm,0.7071178044295012,0.6580212812560133,0.4969509091426802,0.8550554232559551,0.5583009725452508,0.2653516574584094,0.26027228455778373,0.7089272368935113,0.4252405455993649,0.6379227950831243,0.28254426697352786,0.5481674099826187,0.22139426465139,0.47282651650704666,0.45976164765989513,0.3895514337756478,0.9706399506991441,0.6274326464169026,0.43705333640387356,0.5065715363996031
bin_prdsw,0.7987045170435275,0.8903347174924334,0.8331700874752095,0.9096138798400477,0.7971201874270818,0.7907875760408739,0.8230759561339259,0.7933230065106294,0.9951132192182781,0.8688450927198422,0.8291786779353107,0.8277115885097847,0.9150462403004308,0.9854812731481194,0.9131652022515722,0.91410332601806,0.7670567114057536,0.7170600244619602,0.8585275446037341,0.9556538852939317
bin_pvsat,0.1747455890656192,0.1897002824103196,0.2912460710951885,0.05310668798366275,0.26919275933462317,0.21466618163780543,0.25625622727579306,0.2663606119898129,0.3105311558838949,0.33625705035500425,0.26507956479690814,0.13280139109739006,0.21327240189370095,0.2636072670745477,0.18566414468985887,0.17244537901367965,0.03866551256401755,0.2563163230577997,0.2967880283167205,0.17486587148798768
bin_wk3,0.6068967482468304,0.8608040604613963,0.7434470157083863,0.7186524823136837,0.7517041941453302,0.7995287762617418,0.585980992028832,0.8248481321492227,0.8711426294537412,0.7941559260326682,0.6429485765062878,0.5942259645445468,0.8338583466771544,0.5813424925092436,0.5844036819681716,0.9568641875575444,0.7138872726840355,0.5745972297476314,0.7783404156896551,0.857977174134963
bin_wk3b,0.3010646917889466,0.3106029636018777,0.717998146591538,0.36305817937759227,0.32722283677882585,0.5678119436672823,0.3490432504069017,0.24811525822819452,0.2679937157333527,0.4184419343751497,0.4480852325295255,0.24125162804050398,0.4126351446455602,0.1301827965144552,0.302118882605691,0.3883329091544654,0.24703393665723972,0.28769452561668607,0.24234765755400584,0.3574328465443505
bin_wketa,0.5763765552043733,0.4135476785546316,0.4668532359379691,0.7563331345722023,0.33360874494065135,0.7046144542465331,0.6276795604128352,0.6737076066635245,0.8144821824096473,0.5333970213837967,0.7830260421868024,0.35452798100297367,0.6879033975815879,0.3865865893432465,0.921746139192532,0.6136690616098743,0.827639390666173,0.7825609680933233,0.17409967898080186,0.9956409275171971
cf,7.214259516792223e-11,1.1626569811800581e-10,8.990607560463662e-11,8.117895776864171e-11,8.527134395087556e-11,8.548240056300578e-11,4.6618194549325023e-11,5.723073582941307e-11,2.5667087842787484e-11,1.2399934385580137e-10,5.0545626996647196e-11,8.405553459006688e-11,5.960017932949945e-11,4.8076519326840545e-11,1.6968923101102692e-11,8.742643339146283e-11,5.647726646253213e-11,7.736605097864065e-11,8.111588370029526e-11,3.9524063048273197e-11
cgdl,1.6678042007341946e-09,2.2715284478817946e-09,4.1301682695662343e-11,3.308671144674077e-09,7.705970753374652e-10,3.1241798019477438e-09,1.7836999613369104e-09,2.613696058145416e-09,1.6604592550298136e-09,3.4428542984452e-09,1.5643113381783842e-09,1.9333238017480507e-09,2.4759732140644166e-09,9.89901231824081e-10,1.98787170445068e-09,2.8170787320599836e-09,1.3882454783327107e-09,1.1182409543753447e-09,1.1617872771278716e-09,2.6855783081033215e-09
cgdo,3.37316175664907e-10,3.9623582033810006e-10,2.682427916526015e-10,3.246379936596268e-10,3.301738853173513e-10,3.4137567057125735e-10,3.377614201261532e-10,3.841064402344227e-10,3.55396347340242e-10,3.7319939548281623e-10,3.0165422916667443e-10,3.929750153196503e-10,3.922751474320127e-10,3.9559928491691563e-10,3.711688266153931e-10,3.696545734656721e-10,3.516904655084048e-10,3.798351155845953e-10,3.9595562118723483e-10,3.425431752136486e-10
ckappas,3.4149059099354,1.6043503473067728,2.4935193695173288,2.4698117913917783,4.968923708239795,2.9672500128025137,2.6423083989942313,4.486776620876688,0.5307452498198607,0.4435327797727123,4.680364039060788,0.6208903682068586,2.3781960812765854,2.860378259213663,2.7514122905736085,1.3599591280207017,3.0685895229661497,3.2337266085974123,3.5804412980928446,2.3572689555386175
clc,7.95414409354417e-08,5.3168875356326374e-08,5.157508248137869e-08,9.373628614326079e-08,5.023213989586091e-08,2.5305998585117027e-08,4.6744828922874576e-09,4.826308405542536e-08,1.1535025991393244e-07,1.5065302293617236e-07,6.363592237996585e-09,9.351636911042566e-08,2.7830995906301154e-08,4.7660500390301624e-08,8.649689656356844e-08,7.681975452858516e-08,1.3241284639552006e-07,6.669759137324395e-08,6.563298023587582e-09,1.1489015823936118e-07
cle,0.4361337084334682,0.5029908616558899,0.2556951708292529,0.4992938371524452,0.40434677776953504,0.2890764288119698,0.33430892354259223,0.3121818666071576,0.30954421540099153,0.48157164434017874,0.2883089050911244,0.4970170334487288,0.33910662699439087,0.44664913318719623,0.3225243265928811,0.41351161127193853,0.5204209676677183,0.317017390152471,0.42477019819384865,0.3365753537126467
dlc,-8.962969557708837e-08,-8.867646265312282e-08,-7.827684792870353e-09,-8.133894243646211e-08,-9.096568237019232e-08,-1.648075569238515e-08,-2.4202175640267434e-08,-9.680434205074633e-08,-5.137051666548108e-08,-4.1241061467327044e-08,-1.6396977268751226e-08,-9.919861993026719e-08,-1.1556862327613039e-08,-8.659825313097452e-08,-6.003419135392054e-08,-4.171433306814189e-08,-8.432907251671494e-08,-5.531568072390309e-08,-8.910584987126624e-08,-5.391015097825453e-08
drout,0.2726182884778751,0.29461588463997546,0.22844394125590003,0.2973744537766987,0.28989480314052063,0.20980219007388412,0.3056121660004819,0.23310728150075077,0.31116690851379625,0.2121777606528613,0.21853311719306534,0.2712305482216704,0.24282038286525653,0.33035104505708823,0.24574387009585677,0.2625099347422818,0.25205553919180024,0.2393479531451808,0.31255034561433637,0.2561507272639314
dsub,0.3725319557273563,0.27010103037831057,0.2320384704615943,0.2768819385849338,0.37400428263106655,0.4233762686869924,0.31298127631904926,0.453918957669215,0.21037639070269953,0.3513730160883265,0.42045721458030016,0.3384942235721684,0.38258473865741605,0.26912830552085587,0.260443158738332,0.33066806911254554,0.446054370977954,0.3761463975988796,0.36405180692006645,0.21759257934986767
