vds,ciss_24_0
0,3.5846
0.05,3.58336
0.1,3.58199
0.15,3.58058
0.2,3.57924
0.25,3.57799
0.3,3.57688
0.35,3.57589
0.4,3.57501
0.45,3.57423
0.5,3.57354
0.55,3.57293
0.6,3.57238
0.65,3.57188
0.7,3.57143
0.75,3.57102
0.8,3.57064
0.85,3.5703
0.9,3.56998
0.95,3.56968
1,3.56941
1.05,3.56915
1.1,3.56891
1.15,3.56868
1.2,3.56847
1.25,3.56827
1.3,3.56808
1.35,3.56791
1.4,3.56774
1.45,3.56757
1.5,3.56742
1.55,3.56728
1.6,3.56714
1.65,3.567
1.7,3.56688
1.75,3.56675
1.8,3.56664
1.85,3.56652
1.9,3.56642
1.95,3.56631
2,3.56621
