v(d_1_4),i(v_s_1_4)
0,0
0.2,0.000232917
0.3,0.000349358
0.4,0.000465787
0.5,0.000582205
0.6,0.000698612
0.7,0.000815007
0.8,0.00093139
0.9,0.00104776
1,0.00116412
1.1,0.00128047
1.2,0.00139681
1.3,0.00151313
1.4,0.00162945
1.5,0.00174575
1.6,0.00186204
