vds,crss_25_0
0,1.80985
0.05,1.80861
0.1,1.80724
0.15,1.80584
0.2,1.80449
0.25,1.80325
0.3,1.80213
0.35,1.80114
0.4,1.80027
0.45,1.79949
0.5,1.7988
0.55,1.79818
0.6,1.79763
0.65,1.79713
0.7,1.79668
0.75,1.79627
0.8,1.7959
0.85,1.79555
0.9,1.79523
0.95,1.79494
1,1.79466
1.05,1.7944
1.1,1.79416
1.15,1.79394
1.2,1.79373
1.25,1.79353
1.3,1.79334
1.35,1.79316
1.4,1.79299
1.45,1.79283
1.5,1.79268
1.55,1.79253
1.6,1.79239
1.65,1.79226
1.7,1.79213
1.75,1.79201
1.8,1.79189
1.85,1.79178
1.9,1.79167
1.95,1.79157
2,1.79147
