 v-sweep         v(g_16_3)       v(g_15_0)       v(g_19_1)       i(v_s_18_3)     i(v_s_15_4)     i(v_s_19_0)     v(g_15_2)       i(v_s_14_4)     i(v_s_19_2)     v(g_19_4)       v(g_17_2)       v(g_15_3)       v(g_19_3)       v(g_11_3)       v(g_11_2)       v(g_17_0)       v(g_16_0)       i(v_s_15_0)     i(v_s_16_2)     v(g_13_4)       i(v_s_18_1)     i(v_s_17_3)     v(g_18_2)       v(g_16_2)       v(g_18_3)       v(g_18_4)       v(g_11_0)       v(g_19_0)       i(v_s_13_0)     v(g_12_4)       v(g_17_1)       i(v_s_12_0)     i(v_s_14_1)     v(g_11_1)       i(v_s_17_1)     v(g_10_3)       i(v_s_11_4)     v(g_13_2)       i(v_s_10_0)     v(g_12_0)       i(v_s_16_4)     i(v_s_19_3)     v(g_12_3)       i(v_s_14_3)     i(v_s_11_1)     i(v_s_11_2)     i(v_s_13_3)     i(v_s_19_1)     i(v_s_11_3)     v(g_13_1)       i(v_s_12_1)     v(g_10_2)       i(v_s_18_2)     v(g_10_0)       v(g_13_0)       i(v_s_16_1)     v(g_11_4)       v(g_16_1)       v(g_17_4)       i(v_s_12_2)     i(v_s_13_4)     i(v_s_15_2)     i(v_s_17_2)     v(g_15_1)       i(v_s_16_0)     v(g_14_1)       i(v_s_12_3)     i(v_s_10_4)     i(v_s_13_2)     v(g_14_4)       v(g_16_4)       v(g_18_1)       i(v_s_10_1)     i(v_s_14_2)     v(g_17_3)       v(g_14_3)       i(v_s_10_3)     i(v_s_15_1)     i(v_s_14_0)     v(g_18_0)       v(g_10_1)       i(v_s_17_4)     v(g_12_1)       v(g_14_0)       v(g_19_2)       v(g_14_2)       i(v_s_13_1)     i(v_s_17_0)     v(g_15_4)       i(v_s_15_3)     i(v_s_19_4)     v(g_13_3)       i(v_s_18_4)     i(v_s_18_0)     i(v_s_11_0)     v(g_12_2)       i(v_s_16_3)     v(g_10_4)       i(v_s_10_2)     i(v_s_12_4)    
 5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  2.27454276e-08  5.74748609e-09  3.25353577e-07  5.00000000e-01  1.79608906e-10  5.12820998e-07  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  3.75668857e-09  3.12513428e-08  5.00000000e-01  1.24215927e-08  1.41146985e-06  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  2.82194815e-07  5.00000000e-01  5.00000000e-01  8.81767643e-09  1.26264983e-10  5.00000000e-01  7.77540148e-07  5.00000000e-01  1.86010939e-03  5.00000000e-01  1.51169820e-08  5.00000000e-01  7.63283384e-08  7.27828593e-07  5.00000000e-01  1.55500051e-10  6.49377311e-07  6.27830661e-05  4.54875394e-07  3.97502189e-07  2.67852266e-04  5.00000000e-01  1.00389078e-08  5.00000000e-01  1.60257450e-08  5.00000000e-01  5.00000000e-01  2.42982744e-08  5.00000000e-01  5.00000000e-01  5.00000000e-01  1.17214714e-08  5.87680750e-07  4.45630284e-09  1.00001459e-06  5.00000000e-01  1.99276342e-08  5.00000000e-01  1.42147535e-08  5.81729698e-05  3.75099469e-07  5.00000000e-01  5.00000000e-01  5.00000000e-01  2.02949931e-08  1.38774965e-10  5.00000000e-01  5.00000000e-01  8.37242457e-06  4.06373274e-09  1.16427665e-10  5.00000000e-01  5.00000000e-01  2.44227954e-06  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  3.21265967e-07  6.37695745e-07  5.00000000e-01  4.98375493e-09  1.27640477e-06  5.00000000e-01  3.98903021e-08  1.01666002e-08  4.83720357e-07  5.00000000e-01  4.41107589e-08  5.00000000e-01  1.96229631e-06  1.83652491e-08 
 6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  2.27487746e-08  5.74748658e-09  3.25385734e-07  6.00000000e-01  1.79608948e-10  5.12884641e-07  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  3.75668879e-09  3.12550976e-08  6.00000000e-01  1.24229514e-08  1.41167075e-06  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  2.82202756e-07  6.00000000e-01  6.00000000e-01  8.81792459e-09  1.26264998e-10  6.00000000e-01  7.77622498e-07  6.00000000e-01  1.86051677e-03  6.00000000e-01  1.51218649e-08  6.00000000e-01  7.63425601e-08  7.27935695e-07  6.00000000e-01  1.55500062e-10  6.49435430e-07  6.26533933e-05  4.54893369e-07  3.97545666e-07  2.67712970e-04  6.00000000e-01  1.00392178e-08  6.00000000e-01  1.60277339e-08  6.00000000e-01  6.00000000e-01  2.43008479e-08  6.00000000e-01  6.00000000e-01  6.00000000e-01  1.17218755e-08  5.87708540e-07  4.45630315e-09  1.00013474e-06  6.00000000e-01  1.99295415e-08  6.00000000e-01  1.42153152e-08  5.81857310e-05  3.75112401e-07  6.00000000e-01  6.00000000e-01  6.00000000e-01  2.02968095e-08  1.38774974e-10  6.00000000e-01  6.00000000e-01  8.36807066e-06  4.06373299e-09  1.16427679e-10  6.00000000e-01  6.00000000e-01  2.44273457e-06  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  3.21275886e-07  6.37756778e-07  6.00000000e-01  4.98375530e-09  1.27665162e-06  6.00000000e-01  3.98980166e-08  1.01676051e-08  4.83876594e-07  6.00000000e-01  4.41170376e-08  6.00000000e-01  1.95824336e-06  1.83661176e-08 
 7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  2.27520293e-08  5.74748708e-09  3.25417001e-07  7.00000000e-01  1.79608963e-10  5.12946526e-07  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  3.75668898e-09  3.12587486e-08  7.00000000e-01  1.24242725e-08  1.41186611e-06  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  2.82210477e-07  7.00000000e-01  7.00000000e-01  8.81816588e-09  1.26265006e-10  7.00000000e-01  7.77702571e-07  7.00000000e-01  1.86091253e-03  7.00000000e-01  1.51266144e-08  7.00000000e-01  7.63563899e-08  7.28039840e-07  7.00000000e-01  1.55500073e-10  6.49494375e-07  6.25272031e-05  4.54910845e-07  3.97587941e-07  2.67577343e-04  7.00000000e-01  1.00395192e-08  7.00000000e-01  1.60296679e-08  7.00000000e-01  7.00000000e-01  2.43033503e-08  7.00000000e-01  7.00000000e-01  7.00000000e-01  1.17222684e-08  5.87735560e-07  4.45630342e-09  1.00025157e-06  7.00000000e-01  1.99313961e-08  7.00000000e-01  1.42158614e-08  5.81981282e-05  3.75124974e-07  7.00000000e-01  7.00000000e-01  7.00000000e-01  2.02986516e-08  1.38774983e-10  7.00000000e-01  7.00000000e-01  8.36383144e-06  4.06373323e-09  1.16427685e-10  7.00000000e-01  7.00000000e-01  2.44317707e-06  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  3.21285530e-07  6.37816123e-07  7.00000000e-01  4.98375566e-09  1.27689166e-06  7.00000000e-01  3.99055187e-08  1.01685822e-08  4.84028565e-07  7.00000000e-01  4.41231430e-08  7.00000000e-01  1.95429926e-06  1.83669620e-08 
 8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  2.27552018e-08  5.74748752e-09  3.25447476e-07  8.00000000e-01  1.79608978e-10  5.13006846e-07  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  3.75668918e-09  3.12623073e-08  8.00000000e-01  1.24255602e-08  1.41205654e-06  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  2.82218003e-07  8.00000000e-01  8.00000000e-01  8.81840104e-09  1.26265013e-10  8.00000000e-01  7.77780619e-07  8.00000000e-01  1.86129793e-03  8.00000000e-01  1.51312454e-08  8.00000000e-01  7.63698711e-08  7.28141355e-07  8.00000000e-01  1.55500084e-10  6.49554089e-07  6.24041092e-05  4.54927879e-07  3.97629146e-07  2.67444977e-04  8.00000000e-01  1.00398129e-08  8.00000000e-01  1.60315529e-08  8.00000000e-01  8.00000000e-01  2.43057893e-08  8.00000000e-01  8.00000000e-01  8.00000000e-01  1.17226514e-08  5.87761895e-07  4.45630372e-09  1.00036544e-06  8.00000000e-01  1.99332037e-08  8.00000000e-01  1.42163937e-08  5.82102009e-05  3.75137228e-07  8.00000000e-01  8.00000000e-01  8.00000000e-01  2.03005178e-08  1.38775013e-10  8.00000000e-01  8.00000000e-01  8.35969411e-06  4.06373346e-09  1.16427685e-10  8.00000000e-01  8.00000000e-01  2.44360842e-06  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  3.21294929e-07  6.37873965e-07  8.00000000e-01  4.98375601e-09  1.27712566e-06  8.00000000e-01  3.99128317e-08  1.01695346e-08  4.84176742e-07  8.00000000e-01  4.41290942e-08  8.00000000e-01  1.95045193e-06  1.83677850e-08 
 9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  2.27583012e-08  5.74748800e-09  3.25477249e-07  9.00000000e-01  1.79608992e-10  5.13065775e-07  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  3.75668939e-09  3.12657839e-08  9.00000000e-01  1.24268182e-08  1.41224257e-06  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  2.82225353e-07  9.00000000e-01  9.00000000e-01  8.81863075e-09  1.26265012e-10  9.00000000e-01  7.77856864e-07  9.00000000e-01  1.86167411e-03  9.00000000e-01  1.51357709e-08  9.00000000e-01  7.63830423e-08  7.28240531e-07  9.00000000e-01  1.55500095e-10  6.49614537e-07  6.22837644e-05  4.54944518e-07  3.97669400e-07  2.67315501e-04  9.00000000e-01  1.00400998e-08  9.00000000e-01  1.60333945e-08  9.00000000e-01  9.00000000e-01  2.43081721e-08  9.00000000e-01  9.00000000e-01  9.00000000e-01  1.17230255e-08  5.87787621e-07  4.45630399e-09  1.00047669e-06  9.00000000e-01  1.99349696e-08  9.00000000e-01  1.42169136e-08  5.82219848e-05  3.75149198e-07  9.00000000e-01  9.00000000e-01  9.00000000e-01  2.03024070e-08  1.38775021e-10  9.00000000e-01  9.00000000e-01  8.35564714e-06  4.06373370e-09  1.16427691e-10  9.00000000e-01  9.00000000e-01  2.44402984e-06  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  3.21304111e-07  6.37930472e-07  9.00000000e-01  4.98375637e-09  1.27735428e-06  9.00000000e-01  3.99199766e-08  1.01704650e-08  4.84321546e-07  9.00000000e-01  4.41349082e-08  9.00000000e-01  1.94669053e-06  1.83685889e-08 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  2.27613359e-08  5.74748844e-09  3.25506397e-07  1.00000000e+00  1.79609006e-10  5.13123471e-07  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  3.75668958e-09  3.12691879e-08  1.00000000e+00  1.24280498e-08  1.41242472e-06  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  2.82232550e-07  1.00000000e+00  1.00000000e+00  8.81885564e-09  1.26265027e-10  1.00000000e+00  7.77931514e-07  1.00000000e+00  1.86204210e-03  1.00000000e+00  1.51402032e-08  1.00000000e+00  7.63959391e-08  7.28337637e-07  1.00000000e+00  1.55500105e-10  6.49675705e-07  6.21658494e-05  4.54960808e-07  3.97708812e-07  2.67188577e-04  1.00000000e+00  1.00403807e-08  1.00000000e+00  1.60351976e-08  1.00000000e+00  1.00000000e+00  2.43105050e-08  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.17233917e-08  5.87812807e-07  4.45630424e-09  1.00058561e-06  1.00000000e+00  1.99366985e-08  1.00000000e+00  1.42174227e-08  5.82335123e-05  3.75160917e-07  1.00000000e+00  1.00000000e+00  1.00000000e+00  2.03043186e-08  1.38775029e-10  1.00000000e+00  1.00000000e+00  8.35167994e-06  4.06373392e-09  1.16427697e-10  1.00000000e+00  1.00000000e+00  2.44444249e-06  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  3.21313099e-07  6.37985796e-07  1.00000000e+00  4.98375670e-09  1.27757813e-06  1.00000000e+00  3.99269726e-08  1.01713759e-08  4.84463367e-07  1.00000000e+00  4.41406008e-08  1.00000000e+00  1.94300507e-06  1.83693760e-08 
 1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  2.27643137e-08  5.74748885e-09  3.25534998e-07  1.10000000e+00  1.79609019e-10  5.13180085e-07  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  3.75668976e-09  3.12725279e-08  1.10000000e+00  1.24292584e-08  1.41260346e-06  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  2.82239611e-07  1.10000000e+00  1.10000000e+00  8.81907630e-09  1.26265026e-10  1.10000000e+00  7.78004762e-07  1.10000000e+00  1.86240288e-03  1.10000000e+00  1.51445536e-08  1.10000000e+00  7.64085948e-08  7.28432922e-07  1.10000000e+00  1.55500092e-10  6.49737598e-07  6.20500641e-05  4.54976791e-07  3.97747484e-07  2.67063885e-04  1.10000000e+00  1.00406563e-08  1.10000000e+00  1.60369668e-08  1.10000000e+00  1.10000000e+00  2.43127941e-08  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.17237510e-08  5.87837519e-07  4.45630452e-09  1.00069248e-06  1.10000000e+00  1.99383950e-08  1.10000000e+00  1.42179222e-08  5.82448138e-05  3.75172415e-07  1.10000000e+00  1.10000000e+00  1.10000000e+00  2.03062529e-08  1.38775017e-10  1.10000000e+00  1.10000000e+00  8.34778252e-06  4.06373414e-09  1.16427702e-10  1.10000000e+00  1.10000000e+00  2.44484742e-06  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  3.21321919e-07  6.38040080e-07  1.10000000e+00  4.98375703e-09  1.27779781e-06  1.10000000e+00  3.99338380e-08  1.01722697e-08  4.84602568e-07  1.10000000e+00  4.41461866e-08  1.10000000e+00  1.93938618e-06  1.83701482e-08 
 1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  2.27672421e-08  5.74748930e-09  3.25563124e-07  1.20000000e+00  1.79609006e-10  5.13235760e-07  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  3.75668995e-09  3.12758125e-08  1.20000000e+00  1.24304468e-08  1.41277924e-06  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  2.82246554e-07  1.20000000e+00  1.20000000e+00  8.81929327e-09  1.26265033e-10  1.20000000e+00  7.78076794e-07  1.20000000e+00  1.86275737e-03  1.20000000e+00  1.51488331e-08  1.20000000e+00  7.64210414e-08  7.28526629e-07  1.20000000e+00  1.55500102e-10  6.49800240e-07  6.19361193e-05  4.54992508e-07  3.97785514e-07  2.66941118e-04  1.20000000e+00  1.00409273e-08  1.20000000e+00  1.60387067e-08  1.20000000e+00  1.20000000e+00  2.43150452e-08  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.17241043e-08  5.87861820e-07  4.45630478e-09  1.00079759e-06  1.20000000e+00  1.99400632e-08  1.20000000e+00  1.42184133e-08  5.82559185e-05  3.75183722e-07  1.20000000e+00  1.20000000e+00  1.20000000e+00  2.03082106e-08  1.38775046e-10  1.20000000e+00  1.20000000e+00  8.34394524e-06  4.06373435e-09  1.16427708e-10  1.20000000e+00  1.20000000e+00  2.44524566e-06  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  3.21330591e-07  6.38093463e-07  1.20000000e+00  4.98375735e-09  1.27801385e-06  1.20000000e+00  3.99405899e-08  1.01731487e-08  4.84739500e-07  1.20000000e+00  4.41516800e-08  1.20000000e+00  1.93582481e-06  1.83709076e-08 
 1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  2.27701287e-08  5.74748972e-09  3.25590847e-07  1.30000000e+00  1.79609019e-10  5.13290637e-07  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  3.75669011e-09  3.12790501e-08  1.30000000e+00  1.24316183e-08  1.41295249e-06  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  2.82253397e-07  1.30000000e+00  1.30000000e+00  8.81950711e-09  1.26265039e-10  1.30000000e+00  7.78147792e-07  1.30000000e+00  1.86310650e-03  1.30000000e+00  1.51530526e-08  1.30000000e+00  7.64333106e-08  7.28618995e-07  1.30000000e+00  1.55500112e-10  6.49863678e-07  6.18237289e-05  4.55007998e-07  3.97822999e-07  2.66819970e-04  1.30000000e+00  1.00411944e-08  1.30000000e+00  1.60404217e-08  1.30000000e+00  1.30000000e+00  2.43172639e-08  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.17244526e-08  5.87885770e-07  4.45630503e-09  1.00090118e-06  1.30000000e+00  1.99417075e-08  1.30000000e+00  1.42188974e-08  5.82668551e-05  3.75194866e-07  1.30000000e+00  1.30000000e+00  1.30000000e+00  2.03101932e-08  1.38775054e-10  1.30000000e+00  1.30000000e+00  8.34015855e-06  4.06373456e-09  1.16427714e-10  1.30000000e+00  1.30000000e+00  2.44563823e-06  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  3.21339138e-07  6.38146079e-07  1.30000000e+00  4.98375767e-09  1.27822682e-06  1.30000000e+00  3.99472457e-08  1.01740150e-08  4.84874510e-07  1.30000000e+00  4.41570947e-08  1.30000000e+00  1.93231202e-06  1.83716561e-08 
 1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  2.27729810e-08  5.74749014e-09  3.25618238e-07  1.40000000e+00  1.79609059e-10  5.13344861e-07  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  3.75669029e-09  3.12822490e-08  1.40000000e+00  1.24327757e-08  1.41312369e-06  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  2.82260158e-07  1.40000000e+00  1.40000000e+00  8.81971839e-09  1.26265054e-10  1.40000000e+00  7.78217943e-07  1.40000000e+00  1.86345118e-03  1.40000000e+00  1.51572229e-08  1.40000000e+00  7.64454343e-08  7.28710263e-07  1.40000000e+00  1.55500145e-10  6.49927982e-07  6.17126019e-05  4.55023303e-07  3.97860036e-07  2.66700128e-04  1.40000000e+00  1.00414583e-08  1.40000000e+00  1.60421162e-08  1.40000000e+00  1.40000000e+00  2.43194562e-08  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.17247966e-08  5.87909434e-07  4.45630528e-09  1.00100355e-06  1.40000000e+00  1.99433322e-08  1.40000000e+00  1.42193757e-08  5.82776525e-05  3.75205876e-07  1.40000000e+00  1.40000000e+00  1.40000000e+00  2.03122029e-08  1.38775041e-10  1.40000000e+00  1.40000000e+00  8.33641273e-06  4.06373477e-09  1.16427719e-10  1.40000000e+00  1.40000000e+00  2.44602614e-06  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  3.21347583e-07  6.38198066e-07  1.40000000e+00  4.98375798e-09  1.27843727e-06  1.40000000e+00  3.99538226e-08  1.01748710e-08  4.85007948e-07  1.40000000e+00  4.41624450e-08  1.40000000e+00  1.92883873e-06  1.83723956e-08 
 1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  2.27758068e-08  5.74749055e-09  3.25645374e-07  1.50000000e+00  1.79609045e-10  5.13398579e-07  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  3.75669047e-09  3.12854182e-08  1.50000000e+00  1.24339224e-08  1.41329330e-06  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  2.82266855e-07  1.50000000e+00  1.50000000e+00  8.81992769e-09  1.26265052e-10  1.50000000e+00  7.78287441e-07  1.50000000e+00  1.86379238e-03  1.50000000e+00  1.51613556e-08  1.50000000e+00  7.64574461e-08  7.28800684e-07  1.50000000e+00  1.55500155e-10  6.49993252e-07  6.16024347e-05  4.55038464e-07  3.97896728e-07  2.66581268e-04  1.50000000e+00  1.00417197e-08  1.50000000e+00  1.60437950e-08  1.50000000e+00  1.50000000e+00  2.43216281e-08  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.17251375e-08  5.87932875e-07  4.45630551e-09  1.00110496e-06  1.50000000e+00  1.99449417e-08  1.50000000e+00  1.42198495e-08  5.82883408e-05  3.75216782e-07  1.50000000e+00  1.50000000e+00  1.50000000e+00  2.03142427e-08  1.38775048e-10  1.50000000e+00  1.50000000e+00  8.33269757e-06  4.06373498e-09  1.16427732e-10  1.50000000e+00  1.50000000e+00  2.44641047e-06  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  3.21355948e-07  6.38249569e-07  1.50000000e+00  4.98375829e-09  1.27864577e-06  1.50000000e+00  3.99603388e-08  1.01757190e-08  4.85140183e-07  1.50000000e+00  4.41677456e-08  1.50000000e+00  1.92539543e-06  1.83731282e-08 
 1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  2.27786144e-08  5.74749096e-09  3.25672335e-07  1.60000000e+00  1.79609085e-10  5.13451953e-07  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  3.75669066e-09  3.12885670e-08  1.60000000e+00  1.24350616e-08  1.41346182e-06  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  2.82273509e-07  1.60000000e+00  1.60000000e+00  8.82013562e-09  1.26265059e-10  1.60000000e+00  7.78356490e-07  1.60000000e+00  1.86413111e-03  1.60000000e+00  1.51654629e-08  1.60000000e+00  7.64693816e-08  7.28890526e-07  1.60000000e+00  1.55500165e-10  6.50059618e-07  6.14929014e-05  4.55053527e-07  3.97933184e-07  2.66463039e-04  1.60000000e+00  1.00419795e-08  1.60000000e+00  1.60454630e-08  1.60000000e+00  1.60000000e+00  2.43237860e-08  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.17254761e-08  5.87956165e-07  4.45630578e-09  1.00120571e-06  1.60000000e+00  1.99465408e-08  1.60000000e+00  1.42203202e-08  5.82989518e-05  3.75227618e-07  1.60000000e+00  1.60000000e+00  1.60000000e+00  2.03163168e-08  1.38775077e-10  1.60000000e+00  1.60000000e+00  8.32900215e-06  4.06373518e-09  1.16427737e-10  1.60000000e+00  1.60000000e+00  2.44679236e-06  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  3.21364259e-07  6.38300739e-07  1.60000000e+00  4.98375860e-09  1.27885295e-06  1.60000000e+00  3.99668136e-08  1.01765616e-08  4.85271604e-07  1.60000000e+00  4.41730123e-08  1.60000000e+00  1.92197194e-06  1.83738560e-08 
