vgs,cgg_23_0
-2,0.000404926
-1.95,0.000404938
-1.9,0.00040495
-1.85,0.000404963
-1.8,0.000404976
-1.75,0.000404989
-1.7,0.000405004
-1.65,0.000405018
-1.6,0.000405034
-1.55,0.00040505
-1.5,0.000405066
-1.45,0.000405084
-1.4,0.000405102
-1.35,0.000405121
-1.3,0.000405141
-1.25,0.000405162
-1.2,0.000405185
-1.15,0.000405208
-1.1,0.000405233
-1.05,0.000405259
-1,0.000405288
-0.95,0.000405318
-0.9,0.00040535
-0.85,0.000405384
-0.8,0.000405421
-0.75,0.000405462
-0.7,0.000405506
-0.65,0.000405553
-0.6,0.000405606
-0.55,0.000405664
-0.5,0.000405728
-0.45,0.0004058
-0.4,0.000405881
-0.35,0.000405972
-0.3,0.000406074
-0.25,0.000406188
-0.2,0.0003995
-0.15,0.000387792
-0.1,0.000377149
-0.05,0.000367416
1.20737E-15,0.000358466
0.05,0.000350194
0.1,0.000342517
0.15,0.000335367
0.2,0.000328692
0.25,0.000322449
0.3,0.000316599
0.35,0.000311109
0.4,0.00030595
0.45,0.000301095
0.5,0.000296523
0.55,0.000292213
0.6,0.000288147
0.65,0.000284311
0.7,0.00028069
0.75,0.000277274
0.8,0.000274052
0.85,0.000271015
0.9,0.000268156
0.95,0.000265469
1,0.00026295
1.05,0.000260594
1.1,0.000258398
1.15,0.000256361
1.2,0.000254483
1.25,0.000252763
1.3,0.000251204
1.35,0.000249807
1.4,0.000248578
1.45,0.000247521
1.5,0.000246642
1.55,0.000245948
1.6,0.00024545
1.65,0.000245157
1.7,0.000245081
1.75,0.000245236
1.8,0.000245636
1.85,0.000246297
1.9,0.000247237
1.95,0.000248474
2,0.000250026
