name,min,default,max
pump1_h,10,60,220
pump1_f,5,100,200
pump2_h,10,40,200
pump2_f,5,50,150
pump3_h,10,40,200
pump3_f,5,50,100
P1,100,500,800
P2,100,500,800
P3,100,500,800
P4,100,400,800
P5,100,300,800
P6,100,300,800
P7,100,300,800
P8,100,400,800
P9,100,300,800
P10,100,300,800
P11,100,300,800
P12,100,400,800
P13,100,300,800
P14,100,300,800
P15,100,300,800
