name,value
P1,430.4019901483656
P10,350.0677657567968
P11,169.93355797742987
P12,285.31135811803966
P13,246.8480296519173
P14,213.04155573115065
P15,223.75665255927322
P2,338.14449054537374
P3,479.9289329757315
P4,145.27793384359956
P5,159.28343345952024
P6,125.49302465036865
P7,178.74571140466503
P8,298.2653621020788
P9,229.3542607937488
pump1_f,216.53218183446936
pump1_h,22.844683472750262
pump2_f,39.94795899867075
pump2_h,16.045908692503097
pump3_f,100.62315860432449
pump3_h,11.036123847273913
