i(v_s_1_4),v(d_1_4)
0,0
5.36863E-05,0.2
7.89346E-05,0.3
0.000103121,0.4
0.000126245,0.5
0.000148308,0.6
0.000169311,0.7
0.000189254,0.8
0.000208138,0.9
0.000225963,1
0.00024273,1.1
0.000258439,1.2
0.00027309,1.3
0.000286683,1.4
0.000299218,1.5
0.000310695,1.6
