vds,crss_25_0
0,1.11058
0.05,1.10008
0.1,1.08771
0.15,1.07399
0.2,1.0593
0.25,1.0438
0.3,1.02742
0.35,1.00993
0.4,0.991009
0.45,0.970266
0.5,0.947283
0.55,0.921608
0.6,0.892753
0.65,0.860203
0.7,0.823423
0.75,0.781874
0.8,0.73506
0.85,0.682608
0.9,0.624404
0.95,0.56082
1,0.493001
1.05,0.423157
1.1,0.354607
1.15,0.291287
1.2,0.236647
1.25,0.192533
1.3,0.158828
1.35,0.134024
1.4,0.116106
1.45,0.103196
1.5,0.0938068
1.55,0.0868627
1.6,0.0816167
1.65,0.0775607
1.7,0.07435
1.75,0.0717495
1.8,0.0695976
1.85,0.0677812
1.9,0.0662202
1.95,0.0648573
2,0.0636502
