vds,ciss_24_0
0,2.05633
0.05,2.04666
0.1,2.03546
0.15,2.02329
0.2,2.0106
0.25,1.99759
0.3,1.98427
0.35,1.97048
0.4,1.95597
0.45,1.94047
0.5,1.92367
0.55,1.90522
0.6,1.8848
0.65,1.86203
0.7,1.83654
0.75,1.80795
0.8,1.77593
0.85,1.74022
0.9,1.70073
0.95,1.6577
1,1.6119
1.05,1.56478
1.1,1.51857
1.15,1.47587
1.2,1.43898
1.25,1.40915
1.3,1.38627
1.35,1.36935
1.4,1.35704
1.45,1.34809
1.5,1.3415
1.55,1.33655
1.6,1.33276
1.65,1.32977
1.7,1.32735
1.75,1.32535
1.8,1.32367
1.85,1.32221
1.9,1.32094
1.95,1.31981
2,1.31879
