vds,ciss_24_0
0,2.1971
0.05,2.1883
0.1,2.17391
0.15,2.15226
0.2,2.12119
0.25,2.07813
0.3,2.02044
0.35,1.9464
0.4,1.8575
0.45,1.76148
0.5,1.67222
0.55,1.60232
0.6,1.555
0.65,1.52561
0.7,1.50786
0.75,1.49703
0.8,1.49023
0.85,1.48581
0.9,1.48282
0.95,1.48074
1,1.47924
1.05,1.47812
1.1,1.47728
1.15,1.47662
1.2,1.4761
1.25,1.47569
1.3,1.47534
1.35,1.47506
1.4,1.47482
1.45,1.47461
1.5,1.47443
1.55,1.47428
1.6,1.47414
1.65,1.47402
1.7,1.47392
1.75,1.47382
1.8,1.47373
1.85,1.47366
1.9,1.47358
1.95,1.47352
2,1.47346
