i(v_s_1_4),v(d_1_4)
0,0
7.10469E-05,0.2
0.00010481,0.3
0.000137401,0.4
0.000168821,0.5
0.000199071,0.6
0.000228152,0.7
0.000256065,0.8
0.000282811,0.9
0.000308391,1
0.000332806,1.1
0.000356057,1.2
0.000378144,1.3
0.00039907,1.4
0.000418834,1.5
0.000437438,1.6
