vds,crss_25_0
0,1.10418
0.05,1.09115
0.1,1.06977
0.15,1.03749
0.2,0.991062
0.25,0.926654
0.3,0.840276
0.35,0.729352
0.4,0.596125
0.45,0.452199
0.5,0.318414
0.55,0.213645
0.6,0.142736
0.65,0.0987239
0.7,0.0721656
0.75,0.0559804
0.8,0.0458319
0.85,0.0392416
0.9,0.034807
0.95,0.0317213
1,0.0295078
1.05,0.0278759
1.1,0.0266429
1.15,0.0256908
1.2,0.0249411
1.25,0.0243405
1.3,0.0238515
1.35,0.0234479
1.4,0.0231104
1.45,0.0228248
1.5,0.0225807
1.55,0.0223699
1.6,0.0221863
1.65,0.0220251
1.7,0.0218826
1.75,0.0217556
1.8,0.0216418
1.85,0.0215392
1.9,0.0214462
1.95,0.0213615
2,0.021284
