vgs,cgg_23_0
-2,7.26527E-05
-1.95,7.09057E-05
-1.9,6.92736E-05
-1.85,6.7746E-05
-1.8,6.63137E-05
-1.75,6.4968E-05
-1.7,6.37016E-05
-1.65,6.25075E-05
-1.6,6.13797E-05
-1.55,6.03127E-05
-1.5,5.93015E-05
-1.45,5.83418E-05
-1.4,5.74296E-05
-1.35,5.65613E-05
-1.3,5.57337E-05
-1.25,5.4944E-05
-1.2,5.41897E-05
-1.15,5.34696E-05
-1.1,5.2795E-05
-1.05,5.22981E-05
-1,5.32647E-05
-0.95,6.63592E-05
-0.9,0.000131326
-0.85,0.000192156
-0.8,0.000206315
-0.75,0.00021028
-0.7,0.00021269
-0.65,0.000214634
-0.6,0.000216299
-0.55,0.000217755
-0.5,0.000219045
-0.45,0.000220199
-0.4,0.000221241
-0.35,0.00022219
-0.3,0.00022306
-0.25,0.000223862
-0.2,0.000223448
-0.15,0.000222697
-0.1,0.000221918
-0.05,0.000221116
1.20737E-15,0.000220292
0.05,0.000219448
0.1,0.000218588
0.15,0.000217716
0.2,0.000216834
0.25,0.000215947
0.3,0.000215057
0.35,0.000214167
0.4,0.000213278
0.45,0.000212393
0.5,0.000211512
0.55,0.000210637
0.6,0.000209767
0.65,0.000208905
0.7,0.00020805
0.75,0.000207203
0.8,0.000206364
0.85,0.000205534
0.9,0.000204713
0.95,0.000203902
1,0.0002031
1.05,0.000202308
1.1,0.000201525
1.15,0.000200753
1.2,0.000199992
1.25,0.00019924
1.3,0.0001985
1.35,0.00019777
1.4,0.00019705
1.45,0.000196342
1.5,0.000195644
1.55,0.000194958
1.6,0.000194283
1.65,0.000193619
1.7,0.000192966
1.75,0.000192325
1.8,0.000191696
1.85,0.000191079
1.9,0.000190474
1.95,0.00018988
2,0.0001893
