 v-sweep         i(v_meas_0_0)   v(p_0_0)       
-2.00000000e-01 -2.00000002e-13 -2.00000000e-01 
-1.00000000e-01 -1.00000002e-13 -1.00000000e-01 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.00000933e-13  1.00000000e-01 
 2.00000000e-01  2.00043782e-13  2.00000000e-01 
 3.00000000e-01  3.02020399e-13  3.00000000e-01 
 4.00000000e-01  4.90336558e-13  4.00000000e-01 
 5.00000000e-01  3.87662843e-12  5.00000000e-01 
 6.00000000e-01  6.84575484e-11  6.00000000e-01 
 7.00000000e-01  6.44417432e-10  7.00000000e-01 
 8.00000000e-01  4.56500107e-09  8.00000000e-01 
 9.00000000e-01  3.01517804e-08  9.00000000e-01 
 1.00000000e+00  1.97534063e-07  1.00000000e+00 
 1.10000000e+00  1.44256739e-06  1.10000000e+00 
 1.20000000e+00  1.05319874e-05  1.20000000e+00 
 1.30000000e+00  7.55097902e-05  1.30000000e+00 
 1.40000000e+00  5.34041729e-04  1.40000000e+00 
 1.50000000e+00  3.65695297e-03  1.50000000e+00 
 1.60000000e+00  2.15892797e-02  1.60000000e+00 
 1.70000000e+00  8.29716432e-02  1.70000000e+00 
 1.80000000e+00  1.94774754e-01  1.80000000e+00 
 1.90000000e+00  3.37421897e-01  1.90000000e+00 
 2.00000000e+00  4.96779717e-01  2.00000000e+00 
 2.10000000e+00  6.65322680e-01  2.10000000e+00 
 2.20000000e+00  8.40476674e-01  2.20000000e+00 
 2.30000000e+00  1.01968369e+00  2.30000000e+00 
 2.40000000e+00  1.20175285e+00  2.40000000e+00 
 2.50000000e+00  1.38600817e+00  2.50000000e+00 
 2.60000000e+00  1.57196652e+00  2.60000000e+00 
 2.70000000e+00  1.75928166e+00  2.70000000e+00 
 2.80000000e+00  1.94770144e+00  2.80000000e+00 
 2.90000000e+00  2.13703690e+00  2.90000000e+00 
 3.00000000e+00  2.32714299e+00  3.00000000e+00 
 3.10000000e+00  2.51790615e+00  3.10000000e+00 
 3.20000000e+00  2.70923588e+00  3.20000000e+00 
 3.30000000e+00  2.90105895e+00  3.30000000e+00 
 3.40000000e+00  3.09331535e+00  3.40000000e+00 
 3.50000000e+00  3.28595524e+00  3.50000000e+00 
