vds,ciss_24_0
0,0.0538825
0.05,0.0525899
0.1,0.0511603
0.15,0.0496985
0.2,0.0482936
0.25,0.0469987
0.3,0.0458346
0.35,0.0448006
0.4,0.0438861
0.45,0.0430767
0.5,0.0423578
0.55,0.0417164
0.6,0.041141
0.65,0.0406221
0.7,0.0401517
0.75,0.039723
0.8,0.0393307
0.85,0.0389699
0.9,0.0386369
0.95,0.0383284
1,0.0380415
1.05,0.0377739
1.1,0.0375236
1.15,0.0372888
1.2,0.037068
1.25,0.0368599
1.3,0.0366633
1.35,0.0364771
1.4,0.0363006
1.45,0.0361329
1.5,0.0359734
1.55,0.0358212
1.6,0.035676
1.65,0.0355372
1.7,0.0354044
1.75,0.0352771
1.8,0.0351549
1.85,0.0350376
1.9,0.0349248
1.95,0.0348162
2,0.0347116
