i(v_s_1_4),v(d_1_4)
0,0
2.50362E-06,0.2
2.52161E-06,0.3
2.52669E-06,0.4
2.52898E-06,0.5
2.53031E-06,0.6
2.53118E-06,0.7
2.53183E-06,0.8
2.53233E-06,0.9
2.53275E-06,1
2.53311E-06,1.1
2.53342E-06,1.2
2.53371E-06,1.3
2.53397E-06,1.4
2.53421E-06,1.5
2.53444E-06,1.6
