vds,crss_25_0
0,0.042097
0.05,0.0408044
0.1,0.0393748
0.15,0.037913
0.2,0.0365081
0.25,0.0352132
0.3,0.0340491
0.35,0.0330151
0.4,0.0321006
0.45,0.0312912
0.5,0.0305723
0.55,0.0299309
0.6,0.0293555
0.65,0.0288366
0.7,0.0283662
0.75,0.0279375
0.8,0.0275452
0.85,0.0271844
0.9,0.0268514
0.95,0.0265429
1,0.026256
1.05,0.0259884
1.1,0.0257381
1.15,0.0255033
1.2,0.0252825
1.25,0.0250744
1.3,0.0248778
1.35,0.0246916
1.4,0.0245151
1.45,0.0243474
1.5,0.0241879
1.55,0.0240357
1.6,0.0238905
1.65,0.0237517
1.7,0.0236189
1.75,0.0234916
1.8,0.0233694
1.85,0.0232521
1.9,0.0231393
1.95,0.0230307
2,0.0229261
