C11,3.0018671304650276e-09
C12,1.057736281853098e-09
C21,2.3486621358866348e-09
C22,1.627741170351751e-10
C31,1.1962036756719407e-09
C32,5.116946935308763e-10
C41,9.864348551323088e-09
R11,64225.44006928852
R12,78723.95352441109
R13,43417.648384239284
R14,26086.69434506015
R15,3220.472368295263
R16,23881.560118342055
R21,22515.45581740505
R22,39451.06116706447
R23,22604.260872539122
R24,40230.641948117845
R25,19871.22681716666
R26,9553.010935302811
R31,99105.51177339404
R32,25442.46608746319
R33,72149.74351904007
R34,116854.59026089315
R35,7112.112084060809
R36,2346.5443322361507
R41,93866.68322161393
R42,91737.65352544846
gain,15.578409326470512
