freq,magnitude,phase
1.0,14.80670432980271,179.82563546577273
1.02329299,14.806702434900295,179.8215740195858
1.04712855,14.806700455600543,179.8174179723277
1.07151931,14.806698380319963,179.81316512004094
1.0964782,14.806696213466255,179.80881320907534
1.12201845,14.80669394386223,179.80435993124823
1.14815362,14.806691560547947,179.79980292520946
1.17489755,14.80668906858482,179.79513977472882
1.20226443,14.806686457478197,179.79036800901733
1.23026877,14.806683716984129,179.78548509786438
1.25892541,14.806680852913903,179.78048845203557
1.28824955,14.806677855558096,179.77537542354239
1.31825674,14.806674715495722,179.7701432997625
1.34896288,14.80667142360383,179.7647893086475
1.38038426,14.806667986868531,179.75931061186597
1.41253754,14.806664381018644,179.7537043035098
1.44543977,14.806660597919885,179.74796741240738
1.47910839,14.80665664559272,179.74209689800543
1.51356125,14.806652516643595,179.73608964633735
1.54881662,14.80664817248454,179.72994247468637
1.58489319,14.806643638119311,179.7236521230246
1.6218101,14.806638891603203,179.71721525689196
1.65958691,14.806633911445426,179.71062846463178
1.69824365,14.806628708219254,179.70388825429646
1.73780083,14.806623245614997,179.6969910520554
1.77827941,14.806617535224277,179.6899332033036
1.81970086,14.80661154180655,179.6827109641806
1.86208714,14.80660527806962,179.67532051012196
1.90546072,14.806598725738077,179.66775792053605
1.9498446,14.806591851367081,179.66001918657625
1.99526231,14.806584653754795,179.65210020775336
2.04173794,14.80657713238819,179.64399678661357
2.08929613,14.806569240093133,179.63570462675042
2.13796209,14.806560977829754,179.6272193335142
2.18776162,14.806552331553945,179.6185364093795
2.23872114,14.806543288047669,179.6096512524899
2.29086765,14.80653380337168,179.60055915207607
2.34422882,14.806523866078576,179.59125529021375
2.39883292,14.80651348146369,179.58173473705713
2.45470892,14.806502592641992,179.57199244494905
2.51188643,14.806491191149584,179.56202325050774
2.57039578,14.806479253815725,179.55182187162958
2.63026799,14.806466758611494,179.54138290197355
2.6915348,14.806453668907949,179.53070080905854
2.7542287,14.806439965122134,179.519769930694
2.81838293,14.806425613181364,179.50858447640752
2.8840315,14.806410580387475,179.49713851783017
2.95120923,14.80639485126964,179.48542599066172
3.01995172,14.806378364479313,179.4734406867708
3.09029543,14.806361107620024,179.46117625764853
3.16227766,14.806343038358225,179.4486262034651
3.23593657,14.806324131874845,179.43578387694956
3.31131121,14.806304317778043,179.42264247200063
3.38844156,14.806283574946768,179.4091950276712
3.4673685,14.806261852653279,179.3954344188517
3.54813389,14.806239118034037,179.38135335729504
3.63078055,14.806215293017232,179.36694438087022
3.71535229,14.80619034918095,179.35219985917004
3.80189396,14.80616424468806,179.33711198385828
3.89045145,14.806136892815056,179.32167275979634
3.98107171,14.806108272616054,179.3058740134267
4.07380278,14.806078286907685,179.2897073754448
4.16869383,14.806046888748627,179.27316428435648
4.26579519,14.806014018393903,179.25623598044012
4.36515832,14.805979603436516,179.23891350035396
4.46683592,14.805943558957825,179.22118767069088
4.5708819,14.805905803469697,179.20304910713924
4.67735141,14.805866290672093,179.18448820802496
4.78630092,14.805824899052961,179.1654951460712
4.89778819,14.805781574221854,179.1460598689575
5.01187234,14.805736202731431,179.12617208934466
5.12861384,14.80568867546105,179.10582127809926
5.2480746,14.805638935180118,179.0849966723407
5.37031796,14.8055868346378,179.0636872470849
5.49540874,14.805532278915388,179.0418817286508
5.62341325,14.80547516248588,179.01956858179022
5.75439937,14.805415353661836,178.99673600237864
5.88843655,14.805352726442859,178.9733719123126
6.02559586,14.805287144963263,178.94946396062957
6.16595002,14.805218463866204,178.92499948256025
6.30957344,14.805146559966303,178.89996557404015
6.45654229,14.805071269655423,178.87434897946068
6.60693448,14.804992436382328,178.84813616797865
6.76082975,14.804909879563699,178.82131326658782
6.91830971,14.80482344210204,178.7938661285757
7.07945784,14.804732927879414,178.76578022046684
7.2443596,14.804638149168712,178.73704073216788
7.41310241,14.804538895757037,178.70763246791165
7.58577575,14.804434982588738,178.67753989442244
7.76247117,14.804326171168844,178.64674713911177
7.94328235,14.804212233423472,178.61523792589577
8.12830516,14.804092920305951,178.5829956427344
8.31763771,14.803967994156846,178.55000326272932
8.51138038,14.80383719746108,178.5162433801419
8.7096359,14.803700221811733,178.48169819356903
8.91250938,14.803556803332487,178.446349490076
9.12010839,14.80340662848581,178.41017862816838
9.33254301,14.803249397792989,178.3731665583934
9.54992586,14.803084747705386,178.335293755748
9.77237221,14.80291234578937,178.29654028823543
10.0,14.802731812705364,178.2568857384284
10.2329299,14.80254280169487,178.21630925946775
10.4712855,14.8023448891509,178.17478946837565
10.7151931,14.802137638227585,178.1323045297904
10.964782,14.801920647217482,178.08883212337108
11.2201845,14.801693440053896,178.0443493770352
11.4815362,14.801455545900646,177.99883293419347
11.7489755,14.801206437162515,177.95225888565787
12.0226443,14.800945609421682,177.90460278583873
12.3026877,14.800672519330323,177.85583962593915
12.5892541,14.800386554016585,177.80594383379304
12.8824955,14.80008714297365,177.75488925713904
13.1825674,14.799773648600583,177.7026491442816
13.4896288,14.799445398985466,177.64919614877627
13.8038426,14.799101705074303,177.59450230990603
14.1253754,14.79874184645552,177.53853900384664
14.4543977,14.798365056469041,177.48127700870756
14.7910839,14.797970555891048,177.42268640576063
15.1356125,14.797557490919178,177.36273660928353
15.4881662,14.797124997886852,177.30139638081218
15.8489319,14.79667217380991,177.2386337428047
16.218101,14.796198046134057,177.17441601580995
16.5958691,14.795701637894666,177.1087098022365
16.9824365,14.79518190646694,177.0414809505489
17.3780083,14.794637729612488,176.97269455370724
17.7827941,14.794067986691658,176.90231493870522
18.1970086,14.793471481792327,176.8303056332704
18.6208714,14.792846945907694,176.7566293579319
19.0546072,14.792193070785887,176.68124802981882
19.498446,14.791508479975173,176.60412271180448
19.9526231,14.790791746900531,176.52521363071818
20.4173794,14.79004136582648,176.44448015580937
20.8929613,14.789255755007922,176.36188073622634
21.3796209,14.788433274574244,176.2773729698448
21.8776162,14.78757219851563,176.19091350592763
22.3872114,14.786670717284592,176.10245807422848
22.9086765,14.785726956910715,176.01196145831972
23.4422882,14.784738934755117,175.91937747091666
23.9883292,14.783704594343057,175.8246589636154
24.5470892,14.78262176158057,175.72775777832157
25.1188643,14.78148819588319,175.6286247426169
25.7039578,14.780301514375086,175.52720966499678
26.3026799,14.779059259175572,175.42346132593156
26.915348,14.777758838523614,175.3173274043729
27.542287,14.776397561400325,175.2087545657764
28.1838293,14.774972563765356,175.09768832233374
28.840315,14.773480922807941,174.98407313124156
29.5120923,14.771919534785667,174.86785232905098
30.1995172,14.77028515178786,174.7489680880193
30.9029543,14.768574401316798,174.6273614785444
31.6227766,14.766783760190647,174.5029723870152
32.3593657,14.764909511201294,174.375739533968
33.1131121,14.762947795680157,174.24560047658517
33.8844156,14.760894586957061,174.1124915810112
34.673685,14.758745648173782,173.9763479791744
35.4813389,14.756496568193832,173.83710363804545
36.3078055,14.754142736099345,173.69469127979687
37.1535229,14.751679345563662,173.54904243500687
38.0189396,14.749101353115815,173.40008738464692
38.9045145,14.746403499181131,173.24775517542022
39.8107171,14.743580296862124,173.0919736507118
40.7380278,14.740626022272306,172.93266939391776
41.6869383,14.737534654883273,172.76976777348318
42.6579519,14.734299947519546,172.60319290877607
43.6515832,14.730915382097455,172.43286774120443
44.6683592,14.727374128114041,172.25871395063214
45.708819,14.723669077384647,172.0806520702776
46.7735141,14.719792786691164,171.8986013773309
47.8630092,14.71573752720355,171.71248005479387
48.9778819,14.711495194887949,171.52220505924586
50.1187234,14.707057375526563,171.32769227614483
51.2861384,14.702415253117351,171.1288564434039
52.480746,14.697559674737292,170.92561127506664
53.7031796,14.69248107390296,170.7178693936813
54.9540874,14.687169469973632,170.5055424367113
56.2341325,14.681614500093458,170.28854112985894
57.5439937,14.675805339816,170.06677524161336
58.8843655,14.669730716229841,169.84015369314713
60.2559586,14.663378904459904,169.6085846443148
61.6595002,14.656737677089783,169.37197547178724
63.0957344,14.649794328740102,169.13023293534178
64.5654229,14.642535621368665,168.88326320749596
66.0693448,14.634947807658417,168.63097198019403
67.6082975,14.627016573243788,168.3732644918755
69.1830971,14.618727055806724,168.11004566642998
70.7945784,14.610063789866835,167.841220449608
72.443596,14.601010711460612,167.56669323679014
74.1310241,14.591551154329789,167.28636902648424
75.8577575,14.58166782608453,167.00015257610542
77.6247117,14.571342758242146,166.70794925487158
79.4328235,14.56055732752683,166.40966468375652
81.2830516,14.549292229944397,166.10520517621103
83.1763771,14.537527474152526,165.79447798625912
85.1138038,14.525242296288233,165.4773913100365
87.096359,14.512415300942145,165.15385443900968
89.1250938,14.499024253961823,164.82377810291902
91.2010839,14.485046237980583,164.48707487708398
93.3254301,14.470457497062094,164.14365882373792
95.4992586,14.455233566678029,163.79344631849926
97.7237221,14.439349153449248,163.4363562084706
100.0,14.42277814337495,163.07230964100995
102.329299,14.40549369394927,162.70123098372196
104.712855,14.387468063497128,162.32304755644282
107.151931,14.368672767410944,161.93769037715396
109.64782,14.349078468962377,161.54509416332783
112.201845,14.328655031945543,161.14519780540908
114.815362,14.307371508058264,160.73794461986225
117.489755,14.285196158712079,160.32328282940557
120.226443,14.26209644252054,159.90116589042628
123.026877,14.238039037964153,159.4715527089632
125.892541,14.212989862667985,159.03440813588773
128.824955,14.186914105493253,158.58970343734325
131.825674,14.159776183469873,158.13741639475472
134.896288,14.131539912153649,157.67753202442458
138.038426,14.102168332157586,157.21004283975577
141.253754,14.07162395539723,156.73494909272245
144.543977,14.039868654980904,156.2522593651274
147.910839,14.006863774839635,155.76199112517656
151.356125,13.972570165161567,155.26417043041596
154.881662,13.936948244814927,154.75883318792688
158.489319,13.899958054949728,154.24602487885682
162.18101,13.86155930498308,153.72580099267986
165.958691,13.82171148397502,153.19822793456467
169.824365,13.780373889193978,152.66338224023883
173.780083,13.737505716629164,152.12135219585076
177.827941,13.69306619265119,151.5722369937855
181.970086,13.647014611120131,151.01614752797747
186.208714,13.59931040439256,150.45320664514713
190.546072,13.549913297363844,149.88354886859452
194.98446,13.498783383060193,149.30732105265963
199.526231,13.445881255737401,148.72468213513298
204.173794,13.391168036917325,148.13580341113905
208.929613,13.33460557859322,147.5408683311855
213.796209,13.276156504974242,146.94007273924882
218.776162,13.215784398180936,146.33362416746684
223.872114,13.153453873563333,145.72174263649455
229.086765,13.089130614663063,145.10465967428462
234.422882,13.022781638777808,144.4826181860023
239.883292,12.95437534186818,143.8558724083896
245.470892,12.883881560454942,143.22468759021615
251.188643,12.811271732317218,142.58933893907584
257.039578,12.736519009341091,141.95011184172526
263.026799,12.659598337549738,141.30730099395328
269.15348,12.58048658133129,140.6612097317031
275.42287,12.499162534593466,140.012149766218
281.838293,12.415607116251286,139.36043994507108
288.40315,12.32980334729717,138.70640600203765
295.120923,12.24173650308183,138.05037938728887
301.995172,12.151394094882402,137.39269679059163
309.029543,12.058766006086737,136.73369910769526
316.227766,11.963844445990976,136.07373063106414
323.593657,11.866624047326706,135.413138134712
331.131121,11.767101880221347,134.75226979229268
