C11,7.617379112525516e-09
C12,1.7055500984446865e-10
C21,7.606002060032613e-10
C22,1.379800161467305e-10
C31,8.347912683268763e-10
C32,8.469884098968315e-10
C41,9.939403871027412e-09
R11,30402.103334426134
R12,23214.11052285898
R13,15197.56045557108
R14,45919.66357778336
R15,29528.98951617257
R16,64827.56109772805
R21,32671.37956171369
R22,21318.164148872987
R23,17751.221298534187
R24,50954.038102358056
R25,2384.4689576491874
R26,42015.88456294589
R31,95006.44732398173
R32,39788.78818882967
R33,29852.340940714734
R34,84477.49124239506
R35,5389.872995970691
R36,15517.897307831441
R41,98585.1892960817
R42,96185.00329868011
gain,9.626280807087587
