vds,ciss_24_0
0,0.0588376
0.05,0.0570723
0.1,0.0551199
0.15,0.0531236
0.2,0.0512048
0.25,0.0494364
0.3,0.0478466
0.35,0.0464345
0.4,0.0451856
0.45,0.0440801
0.5,0.0430984
0.55,0.0422223
0.6,0.0414365
0.65,0.0407279
0.7,0.0400854
0.75,0.0395
0.8,0.0389642
0.85,0.0384715
0.9,0.0380167
0.95,0.0375954
1,0.0372036
1.05,0.0368381
1.1,0.0364963
1.15,0.0361756
1.2,0.0358741
1.25,0.0355898
1.3,0.0353213
1.35,0.0350671
1.4,0.0348261
1.45,0.0345971
1.5,0.0343791
1.55,0.0341714
1.6,0.0339731
1.65,0.0337835
1.7,0.0336021
1.75,0.0334282
1.8,0.0332614
1.85,0.0331012
1.9,0.0329471
1.95,0.0327988
2,0.032656
