i(v_s_1_4),v(d_1_4)
0,0
7.69571E-44,0.2
7.88116E-44,0.3
8.05691E-44,0.4
8.23025E-44,0.5
8.40274E-44,0.6
8.57486E-44,0.7
8.7468E-44,0.8
8.91865E-44,0.9
9.09045E-44,1
9.26223E-44,1.1
9.43401E-44,1.2
9.60578E-44,1.3
9.77756E-44,1.4
9.94935E-44,1.5
1.01211E-43,1.6
