vds,crss_25_0
0,0.0481048
0.05,0.0463395
0.1,0.044387
0.15,0.0423907
0.2,0.0404719
0.25,0.0387036
0.3,0.0371137
0.35,0.0357016
0.4,0.0344527
0.45,0.0333472
0.5,0.0323655
0.55,0.0314895
0.6,0.0307037
0.65,0.029995
0.7,0.0293526
0.75,0.0287672
0.8,0.0282313
0.85,0.0277387
0.9,0.0272839
0.95,0.0268625
1,0.0264707
1.05,0.0261053
1.1,0.0257634
1.15,0.0254428
1.2,0.0251412
1.25,0.024857
1.3,0.0245884
1.35,0.0243343
1.4,0.0240932
1.45,0.0238642
1.5,0.0236462
1.55,0.0234385
1.6,0.0232402
1.65,0.0230506
1.7,0.0228692
1.75,0.0226954
1.8,0.0225285
1.85,0.0223683
1.9,0.0222143
1.95,0.022066
2,0.0219231
