vgs,cgs_21_0,cgs_21_2
-2,9.68873E-07,9.68873E-07
-1.95,9.70802E-07,9.70802E-07
-1.9,9.7276E-07,9.7276E-07
-1.85,9.74748E-07,9.74748E-07
-1.8,9.76767E-07,9.76767E-07
-1.75,9.78818E-07,9.78818E-07
-1.7,9.80901E-07,9.80901E-07
-1.65,9.83017E-07,9.83017E-07
-1.6,9.85168E-07,9.85168E-07
-1.55,9.87354E-07,9.87354E-07
-1.5,9.89576E-07,9.89576E-07
-1.45,9.91835E-07,9.91835E-07
-1.4,9.94132E-07,9.94132E-07
-1.35,9.96468E-07,9.96468E-07
-1.3,9.98845E-07,9.98845E-07
-1.25,1.00126E-06,1.00126E-06
-1.2,1.00372E-06,1.00372E-06
-1.15,1.00623E-06,1.00623E-06
-1.1,1.00878E-06,1.00878E-06
-1.05,1.01137E-06,1.01137E-06
-1,1.01402E-06,1.01402E-06
-0.95,1.01671E-06,1.01671E-06
-0.9,1.01945E-06,1.01945E-06
-0.85,1.02225E-06,1.02225E-06
-0.8,1.02509E-06,1.02509E-06
-0.75,1.028E-06,1.028E-06
-0.7,1.03095E-06,1.03095E-06
-0.65,1.03397E-06,1.03397E-06
-0.6,1.03704E-06,1.03704E-06
-0.55,1.04016E-06,1.04016E-06
-0.5,1.04334E-06,1.04334E-06
-0.45,1.04657E-06,1.04657E-06
-0.4,1.04985E-06,1.04985E-06
-0.35,1.05315E-06,1.05315E-06
-0.3,1.05647E-06,1.05647E-06
-0.25,1.05977E-06,1.05977E-06
-0.2,1.06299E-06,1.06299E-06
-0.15,1.06606E-06,1.06606E-06
-0.1,1.06888E-06,1.06888E-06
-0.05,1.07131E-06,1.07131E-06
1.20737E-15,1.07329E-06,1.07329E-06
0.05,1.07478E-06,1.07478E-06
0.1,1.07583E-06,1.07583E-06
0.15,1.07655E-06,1.07655E-06
0.2,1.07703E-06,1.07703E-06
0.25,1.07735E-06,1.07735E-06
0.3,1.07756E-06,1.07756E-06
0.35,1.0777E-06,1.0777E-06
0.4,1.0778E-06,1.0778E-06
0.45,1.07787E-06,1.07787E-06
0.5,1.07792E-06,1.07792E-06
0.55,1.07796E-06,1.07796E-06
0.6,1.07798E-06,1.07798E-06
0.65,1.07801E-06,1.07801E-06
0.7,1.07802E-06,1.07802E-06
0.75,1.07803E-06,1.07803E-06
0.8,1.07804E-06,1.07804E-06
0.85,1.07805E-06,1.07805E-06
0.9,1.07806E-06,1.07806E-06
0.95,1.07806E-06,1.07806E-06
1,1.07807E-06,1.07807E-06
1.05,1.07807E-06,1.07807E-06
1.1,1.07807E-06,1.07807E-06
1.15,1.07808E-06,1.07808E-06
1.2,1.07808E-06,1.07808E-06
1.25,1.07808E-06,1.07808E-06
1.3,1.07808E-06,1.07808E-06
1.35,1.07808E-06,1.07808E-06
1.4,1.07809E-06,1.07809E-06
1.45,1.07809E-06,1.07809E-06
1.5,1.07809E-06,1.07809E-06
1.55,1.07809E-06,1.07809E-06
1.6,1.07809E-06,1.07809E-06
1.65,1.07809E-06,1.07809E-06
1.7,1.07809E-06,1.07809E-06
1.75,1.07809E-06,1.07809E-06
1.8,1.07809E-06,1.07809E-06
1.85,1.07809E-06,1.07809E-06
1.9,1.07809E-06,1.07809E-06
1.95,1.07809E-06,1.07809E-06
2,1.07809E-06,1.07809E-06
