 v-sweep         i(v_s_17_2)     v(g_17_4)       v(g_17_0)       i(v_s_16_4)     i(v_s_17_3)     i(v_s_13_3)     v(g_11_4)       i(v_s_10_3)     v(g_16_1)       i(v_s_18_2)     v(g_11_3)       i(v_s_12_0)     i(v_s_15_1)     i(v_s_15_2)     i(v_s_10_0)     v(g_11_2)       i(v_s_19_1)     v(g_13_3)       v(g_16_4)       i(v_s_15_0)     v(g_12_1)       v(g_10_1)       v(g_15_2)       i(v_s_13_0)     i(v_s_18_4)     v(g_18_2)       i(v_s_17_4)     i(v_s_13_2)     v(g_12_4)       v(g_18_4)       i(v_s_11_1)     v(g_10_3)       i(v_s_14_0)     i(v_s_10_4)     i(v_s_14_1)     v(g_19_4)       i(v_s_19_0)     i(v_s_14_4)     i(v_s_18_3)     v(g_18_1)       v(g_15_0)       v(g_15_4)       i(v_s_19_2)     v(g_13_4)       v(g_19_0)       v(g_12_0)       v(g_18_0)       i(v_s_11_0)     i(v_s_11_3)     i(v_s_17_1)     i(v_s_12_1)     v(g_12_3)       v(g_15_3)       v(g_10_2)       v(g_12_2)       v(g_16_0)       i(v_s_19_3)     i(v_s_16_1)     i(v_s_13_4)     v(g_17_2)       v(g_16_2)       i(v_s_14_3)     i(v_s_15_3)     v(g_13_1)       v(g_15_1)       v(g_16_3)       i(v_s_12_2)     i(v_s_18_1)     v(g_11_0)       i(v_s_12_3)     v(g_19_3)       v(g_17_3)       i(v_s_14_2)     v(g_14_2)       i(v_s_16_3)     v(g_13_0)       i(v_s_10_1)     v(g_14_3)       i(v_s_16_0)     i(v_s_12_4)     v(g_14_1)       v(g_14_4)       v(g_11_1)       v(g_14_0)       i(v_s_19_4)     i(v_s_11_2)     i(v_s_17_0)     v(g_19_1)       i(v_s_18_0)     v(g_13_2)       i(v_s_13_1)     v(g_10_4)       i(v_s_10_2)     v(g_18_3)       v(g_19_2)       v(g_10_0)       i(v_s_11_4)     v(g_17_1)       i(v_s_16_2)     i(v_s_15_4)    
 5.00000000e-01  3.21254011e-06  5.00000000e-01  5.00000000e-01  2.14965984e-06  3.91800398e-06  1.67252689e-06  5.00000000e-01  9.45292216e-07  5.00000000e-01  3.61637508e-07  5.00000000e-01  5.11357874e-07  2.30994757e-07  3.19369723e-07  6.12648775e-07  5.00000000e-01  5.63588915e-07  5.00000000e-01  5.00000000e-01  1.69939419e-07  5.00000000e-01  5.00000000e-01  5.00000000e-01  8.86805455e-07  5.02474418e-07  5.00000000e-01  4.81425627e-06  1.34643504e-06  5.00000000e-01  5.00000000e-01  1.37104064e-06  5.00000000e-01  1.32188703e-07  1.10014439e-06  1.74884659e-07  5.00000000e-01  4.58281963e-07  4.25072153e-07  4.25462984e-07  5.00000000e-01  5.00000000e-01  5.00000000e-01  6.96148363e-07  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  1.13647083e-06  2.02503350e-06  2.64972299e-06  6.00184921e-07  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  8.64365075e-07  1.37714328e-06  2.09244449e-06  5.00000000e-01  5.00000000e-01  3.13823119e-07  4.49581008e-07  5.00000000e-01  5.00000000e-01  5.00000000e-01  7.05170946e-07  3.07934564e-07  5.00000000e-01  8.30229379e-07  5.00000000e-01  5.00000000e-01  2.33367229e-07  5.00000000e-01  1.84519594e-06  5.00000000e-01  7.06560627e-07  5.00000000e-01  1.19359793e-06  9.81462172e-07  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  1.08039421e-06  1.66164168e-06  2.19637266e-06  5.00000000e-01  2.62398200e-07  5.00000000e-01  1.09007030e-06  5.00000000e-01  8.16147609e-07  5.00000000e-01  5.00000000e-01  5.00000000e-01  2.48550371e-06  5.00000000e-01  1.59176184e-06  6.45058098e-07 
 6.00000000e-01  9.12894670e-06  6.00000000e-01  6.00000000e-01  3.73275850e-06  1.02704596e-05  4.65606686e-06  6.00000000e-01  1.73865813e-06  6.00000000e-01  7.50476861e-07  6.00000000e-01  1.24069876e-06  1.34891073e-06  1.65353421e-06  1.36819982e-06  6.00000000e-01  1.87549158e-06  6.00000000e-01  6.00000000e-01  1.10480766e-06  6.00000000e-01  6.00000000e-01  6.00000000e-01  3.23670287e-06  9.03478965e-07  6.00000000e-01  1.16359469e-05  4.10363224e-06  6.00000000e-01  6.00000000e-01  4.20639077e-06  6.00000000e-01  6.13380391e-07  1.90274784e-06  7.14004691e-07  6.00000000e-01  1.67085725e-06  1.13352500e-06  8.20952018e-07  6.00000000e-01  6.00000000e-01  6.00000000e-01  2.11432385e-06  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  3.78103468e-06  5.28369466e-06  8.16039053e-06  1.34837178e-06  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  2.39642883e-06  2.89130913e-06  5.31904611e-06  6.00000000e-01  6.00000000e-01  9.69318647e-07  2.03652695e-06  6.00000000e-01  6.00000000e-01  6.00000000e-01  1.46985235e-06  6.88916831e-07  6.00000000e-01  1.60897322e-06  6.00000000e-01  6.00000000e-01  8.31408476e-07  6.00000000e-01  3.40882523e-06  6.00000000e-01  1.47651841e-06  6.00000000e-01  2.67755720e-06  1.77189655e-06  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  2.73464836e-06  4.70113875e-06  7.32854462e-06  6.00000000e-01  6.34324454e-07  6.00000000e-01  3.63647235e-06  6.00000000e-01  1.59869335e-06  6.00000000e-01  6.00000000e-01  6.00000000e-01  5.98002315e-06  6.00000000e-01  3.13248712e-06  2.52329783e-06 
 7.00000000e-01  1.80435791e-05  7.00000000e-01  7.00000000e-01  5.29765482e-06  1.95589872e-05  9.11089250e-06  7.00000000e-01  2.52694647e-06  7.00000000e-01  1.14279598e-06  7.00000000e-01  2.00813640e-06  4.04429488e-06  4.57257309e-06  2.14442867e-06  7.00000000e-01  3.96357950e-06  7.00000000e-01  7.00000000e-01  3.58888133e-06  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.16015885e-06  1.29935755e-06  7.00000000e-01  2.13297990e-05  8.36801673e-06  7.00000000e-01  7.00000000e-01  8.58185242e-06  7.00000000e-01  1.35228437e-06  2.69493033e-06  1.46952414e-06  7.00000000e-01  3.67621857e-06  1.91724168e-06  1.21509150e-06  7.00000000e-01  7.00000000e-01  7.00000000e-01  4.29143314e-06  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.99521033e-06  1.00230438e-05  1.67299448e-05  2.12006337e-06  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  4.66985171e-06  4.43412282e-06  9.97944120e-06  7.00000000e-01  7.00000000e-01  1.74756719e-06  5.19146360e-06  7.00000000e-01  7.00000000e-01  7.00000000e-01  2.24540107e-06  1.07929051e-06  7.00000000e-01  2.38801050e-06  7.00000000e-01  7.00000000e-01  1.60014543e-06  7.00000000e-01  4.96671348e-06  7.00000000e-01  2.25690515e-06  7.00000000e-01  4.21212494e-06  2.55410367e-06  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  5.11246125e-06  9.25096684e-06  1.55781442e-05  7.00000000e-01  1.02260120e-06  7.00000000e-01  7.72432504e-06  7.00000000e-01  2.38308171e-06  7.00000000e-01  7.00000000e-01  7.00000000e-01  1.09257179e-05  7.00000000e-01  4.68305365e-06  5.92520260e-06 
 8.00000000e-01  2.98242173e-05  8.00000000e-01  8.00000000e-01  6.82760323e-06  3.16939286e-05  1.49736473e-05  8.00000000e-01  3.29945848e-06  8.00000000e-01  1.52599722e-06  8.00000000e-01  2.75878008e-06  8.22825028e-06  8.93237716e-06  2.90555631e-06  8.00000000e-01  6.77792869e-06  8.00000000e-01  8.00000000e-01  7.60430511e-06  8.00000000e-01  8.00000000e-01  8.00000000e-01  1.25307733e-05  1.68591402e-06  8.00000000e-01  3.38517896e-05  1.40529206e-05  8.00000000e-01  8.00000000e-01  1.44221484e-05  8.00000000e-01  2.10740828e-06  3.47139637e-06  2.22452508e-06  8.00000000e-01  6.41347657e-06  2.66312043e-06  1.59996577e-06  8.00000000e-01  8.00000000e-01  8.00000000e-01  7.18959701e-06  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  1.36827457e-05  1.62128843e-05  2.81862327e-05  2.87370965e-06  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  7.65958187e-06  5.94434298e-06  1.60356114e-05  8.00000000e-01  8.00000000e-01  2.49817933e-06  9.73441295e-06  8.00000000e-01  8.00000000e-01  8.00000000e-01  3.00196013e-06  1.46081384e-06  8.00000000e-01  3.14738250e-06  8.00000000e-01  8.00000000e-01  2.35370146e-06  8.00000000e-01  6.49012455e-06  8.00000000e-01  3.02178367e-06  8.00000000e-01  5.71564990e-06  3.31618647e-06  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.20233976e-06  1.52579615e-05  2.67362406e-05  8.00000000e-01  1.40243747e-06  8.00000000e-01  1.32457692e-05  8.00000000e-01  3.15174785e-06  8.00000000e-01  8.00000000e-01  8.00000000e-01  1.73164666e-05  8.00000000e-01  6.19990094e-06  1.06568727e-05 
 9.00000000e-01  4.44374591e-05  9.00000000e-01  9.00000000e-01  8.32244204e-06  4.66609393e-05  2.22283908e-05  9.00000000e-01  4.05657764e-06  9.00000000e-01  1.89991930e-06  9.00000000e-01  3.48830544e-06  1.36843909e-05  1.45316058e-05  3.65027771e-06  9.00000000e-01  1.03080485e-05  9.00000000e-01  9.00000000e-01  1.29234259e-05  9.00000000e-01  9.00000000e-01  9.00000000e-01  1.93030079e-05  2.06351313e-06  9.00000000e-01  4.92104775e-05  2.11319903e-05  9.00000000e-01  9.00000000e-01  2.17169325e-05  9.00000000e-01  2.81457964e-06  4.23280056e-06  2.92912263e-06  9.00000000e-01  9.86738021e-06  3.35421234e-06  1.97572356e-06  9.00000000e-01  9.00000000e-01  9.00000000e-01  1.08031719e-05  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  2.08250120e-05  2.38610367e-05  4.24785281e-05  3.60642265e-06  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  1.13651770e-05  7.41798688e-06  2.34837664e-05  9.00000000e-01  9.00000000e-01  3.19498488e-06  1.54823979e-05  9.00000000e-01  9.00000000e-01  9.00000000e-01  3.73779288e-06  1.83289746e-06  9.00000000e-01  3.88625049e-06  9.00000000e-01  9.00000000e-01  3.05490838e-06  9.00000000e-01  7.97793058e-06  9.00000000e-01  3.77058946e-06  9.00000000e-01  7.18214888e-06  4.05799333e-06  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  1.20099567e-05  2.27204068e-05  4.07355021e-05  9.00000000e-01  1.77267951e-06  9.00000000e-01  2.01647463e-05  9.00000000e-01  3.90468110e-06  9.00000000e-01  9.00000000e-01  9.00000000e-01  2.51716792e-05  9.00000000e-01  7.68064907e-06  1.65569537e-05 
 1.00000000e+00  6.18566715e-05  1.00000000e+00  1.00000000e+00  9.78234491e-06  6.44477907e-05  3.08619557e-05  1.00000000e+00  4.79844068e-06  1.00000000e+00  2.26470725e-06  1.00000000e+00  4.19670815e-06  2.02548163e-05  2.12233665e-05  4.37880983e-06  1.00000000e+00  1.45469278e-05  1.00000000e+00  1.00000000e+00  1.93777282e-05  1.00000000e+00  1.00000000e+00  1.00000000e+00  2.74456141e-05  2.43227581e-06  1.00000000e+00  6.74132140e-05  2.95848269e-05  1.00000000e+00  1.00000000e+00  3.04593842e-05  1.00000000e+00  3.46712294e-06  4.97925849e-06  3.57910153e-06  1.00000000e+00  1.40284074e-05  3.99151649e-06  2.34249675e-06  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.51281166e-05  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  2.94102410e-05  3.29741174e-05  5.95686878e-05  4.31826832e-06  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.57863290e-05  8.85505889e-06  3.23204831e-05  1.00000000e+00  1.00000000e+00  3.83757669e-06  2.23002606e-05  1.00000000e+00  1.00000000e+00  1.00000000e+00  4.45301819e-06  2.19569736e-06  1.00000000e+00  4.60477462e-06  1.00000000e+00  1.00000000e+00  3.70163111e-06  1.00000000e+00  9.43025179e-06  1.00000000e+00  4.50351576e-06  1.00000000e+00  8.61154303e-06  4.77972194e-06  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.65401113e-05  3.16374045e-05  5.75280406e-05  1.00000000e+00  2.13348893e-06  1.00000000e+00  2.84550164e-05  1.00000000e+00  4.64204636e-06  1.00000000e+00  1.00000000e+00  1.00000000e+00  3.45083249e-05  1.00000000e+00  9.12536592e-06  2.35034879e-05 
 1.10000000e+00  8.20519574e-05  1.10000000e+00  1.10000000e+00  1.12075702e-05  8.50390456e-05  4.08594930e-05  1.10000000e+00  5.52504843e-06  1.10000000e+00  2.62040813e-06  1.10000000e+00  4.88422520e-06  2.78104698e-05  2.88852257e-05  5.09120575e-06  1.10000000e+00  1.94860302e-05  1.10000000e+00  1.10000000e+00  2.68320910e-05  1.10000000e+00  1.10000000e+00  1.10000000e+00  3.69264807e-05  2.79223636e-06  1.10000000e+00  8.84646589e-05  3.93894538e-05  1.10000000e+00  1.10000000e+00  4.06397075e-05  1.10000000e+00  4.06768073e-06  5.71076391e-06  4.17744413e-06  1.10000000e+00  1.88856014e-05  4.57870123e-06  2.70032436e-06  1.10000000e+00  1.10000000e+00  1.10000000e+00  2.01588637e-05  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  3.94237055e-05  4.35562268e-05  7.94155606e-05  5.00947496e-06  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  2.09213071e-05  1.02558336e-05  4.25407909e-05  1.10000000e+00  1.10000000e+00  4.42944733e-06  3.00731143e-05  1.10000000e+00  1.10000000e+00  1.10000000e+00  5.14785798e-06  2.54927117e-06  1.10000000e+00  5.30317369e-06  1.10000000e+00  1.10000000e+00  4.29713434e-06  1.10000000e+00  1.08473439e-05  1.10000000e+00  5.22059415e-06  1.10000000e+00  1.00041245e-05  5.48159264e-06  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  2.17964339e-05  4.20052156e-05  7.70634742e-05  1.10000000e+00  2.48493595e-06  1.10000000e+00  3.80890408e-05  1.10000000e+00  5.36385751e-06  1.10000000e+00  1.10000000e+00  1.10000000e+00  4.53414769e-05  1.10000000e+00  1.05343134e-05  3.13907767e-05 
 1.20000000e+00  1.04992551e-04  1.20000000e+00  1.20000000e+00  1.25986108e-05  1.08418672e-04  5.22057922e-05  1.20000000e+00  6.23648904e-06  1.20000000e+00  2.96710422e-06  1.20000000e+00  5.55122778e-06  3.62366088e-05  3.74074916e-05  5.78758686e-06  1.20000000e+00  2.51162202e-05  1.20000000e+00  1.20000000e+00  3.51673219e-05  1.20000000e+00  1.20000000e+00  1.20000000e+00  4.77130121e-05  3.14346826e-06  1.20000000e+00  1.12369498e-04  5.05234319e-05  1.20000000e+00  1.20000000e+00  5.22470795e-05  1.20000000e+00  4.62015199e-06  6.42739797e-06  4.72806930e-06  1.20000000e+00  2.44273370e-05  5.11966268e-06  3.04928366e-06  1.20000000e+00  1.20000000e+00  1.20000000e+00  2.58893455e-05  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  5.08494962e-05  5.56109944e-05  1.01977010e-04  5.68040206e-06  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  2.67680323e-05  1.16208546e-05  5.41396131e-05  1.20000000e+00  1.20000000e+00  4.97451577e-06  3.86972432e-05  1.20000000e+00  1.20000000e+00  1.20000000e+00  5.82266152e-06  2.89370725e-06  1.20000000e+00  5.98178835e-06  1.20000000e+00  1.20000000e+00  4.84534394e-06  1.20000000e+00  1.22297134e-05  1.20000000e+00  5.92193310e-06  1.20000000e+00  1.13604599e-05  6.16393932e-06  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  2.77824696e-05  5.38192943e-05  9.92904053e-05  1.20000000e+00  2.82711598e-06  1.20000000e+00  4.90387882e-05  1.20000000e+00  6.07021190e-06  1.20000000e+00  1.20000000e+00  1.20000000e+00  5.76863210e-05  1.20000000e+00  1.19080151e-05  4.01226583e-05 
 1.30000000e+00  1.30647675e-04  1.30000000e+00  1.30000000e+00  1.39561417e-05  1.34570725e-04  6.48857614e-05  1.30000000e+00  6.93294703e-06  1.30000000e+00  3.30492850e-06  1.30000000e+00  6.19819882e-06  4.54287248e-05  4.66898760e-05  6.46817805e-06  1.30000000e+00  3.14282950e-05  1.30000000e+00  1.30000000e+00  4.42752425e-05  1.30000000e+00  1.30000000e+00  1.30000000e+00  5.97728428e-05  3.48609161e-06  1.30000000e+00  1.39132956e-04  6.29644284e-05  1.30000000e+00  1.30000000e+00  6.52705240e-05  1.30000000e+00  5.12839030e-06  7.12933340e-06  5.23479654e-06  1.30000000e+00  3.06419112e-05  5.61807167e-06  3.38950098e-06  1.30000000e+00  1.30000000e+00  1.30000000e+00  3.23134621e-05  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  6.36715099e-05  6.91422103e-05  1.27210933e-04  6.33151737e-06  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  3.33244791e-05  1.29508786e-05  6.71121579e-05  1.30000000e+00  1.30000000e+00  5.47651198e-06  4.80774219e-05  1.30000000e+00  1.30000000e+00  1.30000000e+00  6.47788194e-06  3.22914566e-06  1.30000000e+00  6.64105774e-06  1.30000000e+00  1.30000000e+00  5.35003869e-06  1.30000000e+00  1.35780612e-05  1.30000000e+00  6.60774329e-06  1.30000000e+00  1.26813355e-05  6.82718774e-06  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  3.45020214e-05  6.70750398e-05  1.24157582e-04  1.30000000e+00  3.16017653e-06  1.30000000e+00  6.12763822e-05  1.30000000e+00  6.76130669e-06  1.30000000e+00  1.30000000e+00  1.30000000e+00  7.15586815e-05  1.30000000e+00  1.32471990e-05  4.96104062e-05 
 1.40000000e+00  1.58985360e-04  1.40000000e+00  1.40000000e+00  1.52809429e-05  1.63477997e-04  7.88838860e-05  1.40000000e+00  7.61467005e-06  1.40000000e+00  3.63404792e-06  1.40000000e+00  6.82568533e-06  5.52906358e-05  5.66397777e-05  7.13327453e-06  1.40000000e+00  3.84128709e-05  1.40000000e+00  1.40000000e+00  5.40565752e-05  1.40000000e+00  1.40000000e+00  1.40000000e+00  7.30735125e-05  3.82025726e-06  1.40000000e+00  1.68759230e-04  7.66897597e-05  1.40000000e+00  1.40000000e+00  7.96985297e-05  1.40000000e+00  5.59595360e-06  7.81680280e-06  5.70114089e-06  1.40000000e+00  3.75174706e-05  6.07727695e-06  3.72113513e-06  1.40000000e+00  1.40000000e+00  1.40000000e+00  3.94249242e-05  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  7.78731436e-05  8.41532637e-05  1.55074219e-04  6.96335037e-06  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  4.05884707e-05  1.42467846e-05  8.14532768e-05  1.40000000e+00  1.40000000e+00  5.93884808e-06  5.81253764e-05  1.40000000e+00  1.40000000e+00  1.40000000e+00  7.11403136e-06  3.55576168e-06  1.40000000e+00  7.28147682e-06  1.40000000e+00  1.40000000e+00  5.81468545e-06  1.40000000e+00  1.48931998e-05  1.40000000e+00  7.27830365e-06  1.40000000e+00  1.39676645e-05  7.47181589e-06  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  4.19588920e-05  8.17673313e-05  1.51612971e-04  1.40000000e+00  3.48430139e-06  1.40000000e+00  7.47737148e-05  1.40000000e+00  7.43740500e-06  1.40000000e+00  1.40000000e+00  1.40000000e+00  8.69743509e-05  1.40000000e+00  1.45527108e-05  5.97713626e-05 
 1.50000000e+00  1.89968689e-04  1.50000000e+00  1.50000000e+00  1.65738460e-05  1.95117910e-04  9.41824455e-05  1.50000000e+00  8.28194163e-06  1.50000000e+00  3.95464815e-06  1.50000000e+00  7.43426238e-06  6.57328331e-05  6.71707091e-05  7.78321050e-06  1.50000000e+00  4.60596305e-05  1.50000000e+00  1.50000000e+00  6.44192079e-05  1.50000000e+00  1.50000000e+00  1.50000000e+00  8.75810221e-05  4.14613330e-06  1.50000000e+00  2.01246842e-04  9.16747626e-05  1.50000000e+00  1.50000000e+00  9.55172828e-05  1.50000000e+00  6.02605921e-06  8.49007323e-06  6.13027810e-06  1.50000000e+00  4.50413052e-05  6.50029656e-06  4.04436294e-06  1.50000000e+00  1.50000000e+00  1.50000000e+00  4.72164353e-05  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  9.34356292e-05  1.00645023e-04  1.85519238e-04  7.57645778e-06  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  4.85567694e-05  1.55095097e-05  9.71554449e-05  1.50000000e+00  1.50000000e+00  6.36460161e-06  6.87582898e-05  1.50000000e+00  1.50000000e+00  1.50000000e+00  7.73164818e-06  3.87374988e-06  1.50000000e+00  7.90356570e-06  1.50000000e+00  1.50000000e+00  6.24241373e-06  1.50000000e+00  1.61759958e-05  1.50000000e+00  7.93393132e-06  1.50000000e+00  1.52204193e-05  8.09832558e-06  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  5.01558391e-05  9.78886153e-05  1.81600419e-04  1.50000000e+00  3.79969409e-06  1.50000000e+00  8.95009265e-05  1.50000000e+00  8.09880703e-06  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.03946653e-04  1.50000000e+00  1.58254521e-05  7.05275215e-05 
 1.60000000e+00  2.23546235e-04  1.60000000e+00  1.60000000e+00  1.78357023e-05  2.29451898e-04  1.10756927e-04  1.60000000e+00  8.93506401e-06  1.60000000e+00  4.26692376e-06  1.60000000e+00  8.02451149e-06  7.66706009e-05  7.82004598e-05  8.41833926e-06  1.60000000e+00  5.43551931e-05  1.60000000e+00  1.60000000e+00  7.52762649e-05  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.03256184e-04  4.46389646e-06  1.60000000e+00  2.36576261e-04  1.07888661e-04  1.60000000e+00  1.60000000e+00  1.12705679e-04  1.60000000e+00  6.42159360e-06  9.14943013e-06  6.52505691e-06  1.60000000e+00  5.31978477e-05  6.88983705e-06  4.35937004e-06  1.60000000e+00  1.60000000e+00  1.60000000e+00  5.56773711e-05  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.10333345e-04  1.18609704e-04  2.18484943e-04  8.17140301e-06  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  5.72224609e-05  1.67400102e-05  1.14203425e-04  1.60000000e+00  1.60000000e+00  6.75653261e-06  7.98970019e-05  1.60000000e+00  1.60000000e+00  1.60000000e+00  8.33127761e-06  4.18331380e-06  1.60000000e+00  8.50785128e-06  1.60000000e+00  1.60000000e+00  6.63603049e-06  1.60000000e+00  1.74273354e-05  1.60000000e+00  8.57496249e-06  1.60000000e+00  1.64405911e-05  8.70722533e-06  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  5.90914662e-05  1.15423473e-04  2.14051198e-04  1.60000000e+00  4.10656718e-06  1.60000000e+00  1.05422562e-04  1.60000000e+00  8.74583195e-06  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.22479144e-04  1.60000000e+00  1.70663443e-05  8.18037483e-05 
