i(v_s_1_4),v(d_1_4)
0,0
1.75158E-05,0.2
2.38733E-05,0.3
2.86358E-05,0.4
3.18259E-05,0.5
3.35487E-05,0.6
3.41933E-05,0.7
3.43774E-05,0.8
3.44377E-05,0.9
3.44641E-05,1
3.44785E-05,1.1
3.44879E-05,1.2
3.44946E-05,1.3
3.45E-05,1.4
3.45044E-05,1.5
3.45083E-05,1.6
