 v-sweep         i(v_meas_0_1)   v(p_0_1)       
-2.00000000e-01 -2.00000353e-13 -2.00000000e-01 
-1.00000000e-01 -1.00000343e-13 -1.00000000e-01 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.00007710e-13  1.00000000e-01 
 2.00000000e-01  2.00235005e-13  2.00000000e-01 
 3.00000000e-01  3.08570143e-13  3.00000000e-01 
 4.00000000e-01  7.20852329e-13  4.00000000e-01 
 5.00000000e-01  1.07838846e-11  5.00000000e-01 
 6.00000000e-01  1.89030499e-10  6.00000000e-01 
 7.00000000e-01  1.69478053e-09  7.00000000e-01 
 8.00000000e-01  1.12046684e-08  8.00000000e-01 
 9.00000000e-01  6.83058397e-08  9.00000000e-01 
 1.00000000e+00  4.16914695e-07  1.00000000e+00 
 1.10000000e+00  2.83056601e-06  1.10000000e+00 
 1.20000000e+00  1.90252113e-05  1.20000000e+00 
 1.30000000e+00  1.25640936e-04  1.30000000e+00 
 1.40000000e+00  8.16965129e-04  1.40000000e+00 
 1.50000000e+00  5.07985944e-03  1.50000000e+00 
 1.60000000e+00  2.62669096e-02  1.60000000e+00 
 1.70000000e+00  8.77168752e-02  1.70000000e+00 
 1.80000000e+00  1.89570565e-01  1.80000000e+00 
 1.90000000e+00  3.15814274e-01  1.90000000e+00 
 2.00000000e+00  4.55358404e-01  2.00000000e+00 
 2.10000000e+00  6.02532410e-01  2.10000000e+00 
 2.20000000e+00  7.55227029e-01  2.20000000e+00 
 2.30000000e+00  9.11391339e-01  2.30000000e+00 
 2.40000000e+00  1.07003933e+00  2.40000000e+00 
 2.50000000e+00  1.23059183e+00  2.50000000e+00 
 2.60000000e+00  1.39263514e+00  2.60000000e+00 
 2.70000000e+00  1.55587160e+00  2.70000000e+00 
 2.80000000e+00  1.72008306e+00  2.80000000e+00 
 2.90000000e+00  1.88510518e+00  2.90000000e+00 
 3.00000000e+00  2.05081128e+00  3.00000000e+00 
 3.10000000e+00  2.21710183e+00  3.10000000e+00 
 3.20000000e+00  2.38389727e+00  3.20000000e+00 
 3.30000000e+00  2.55113306e+00  3.30000000e+00 
 3.40000000e+00  2.71875615e+00  3.40000000e+00 
 3.50000000e+00  2.88672245e+00  3.50000000e+00 
