 v-sweep         i(v_meas_0_2)   v(p_0_2)       
-2.00000000e-01 -2.00052844e-13 -2.00000000e-01 
-1.00000000e-01 -1.00049732e-13 -1.00000000e-01 
 0.00000000e+00  5.92409920e-32  0.00000000e+00 
 1.00000000e-01  1.20438182e-13  1.00000000e-01 
 2.00000000e-01  5.83838498e-13  2.00000000e-01 
 3.00000000e-01  6.49343210e-12  3.00000000e-01 
 4.00000000e-01  7.35491399e-11  4.00000000e-01 
 5.00000000e-01  5.28259208e-10  5.00000000e-01 
 6.00000000e-01  2.67475432e-09  6.00000000e-01 
 7.00000000e-01  1.18039433e-08  7.00000000e-01 
 8.00000000e-01  4.94378964e-08  8.00000000e-01 
 9.00000000e-01  2.02804098e-07  9.00000000e-01 
 1.00000000e+00  9.36551459e-07  1.00000000e+00 
 1.10000000e+00  4.34787186e-06  1.10000000e+00 
 1.20000000e+00  1.97687409e-05  1.20000000e+00 
 1.30000000e+00  8.87278896e-05  1.30000000e+00 
 1.40000000e+00  3.91878893e-04  1.40000000e+00 
 1.50000000e+00  1.65465620e-03  1.50000000e+00 
 1.60000000e+00  6.10515682e-03  1.60000000e+00 
 1.70000000e+00  1.70885274e-02  1.70000000e+00 
 1.80000000e+00  3.53018086e-02  1.80000000e+00 
 1.90000000e+00  5.87008124e-02  1.90000000e+00 
 2.00000000e+00  8.53102511e-02  2.00000000e+00 
 2.10000000e+00  1.13866882e-01  2.10000000e+00 
 2.20000000e+00  1.43856119e-01  2.20000000e+00 
 2.30000000e+00  1.74767450e-01  2.30000000e+00 
 2.40000000e+00  2.06343450e-01  2.40000000e+00 
 2.50000000e+00  2.38429471e-01  2.50000000e+00 
 2.60000000e+00  2.70915114e-01  2.60000000e+00 
 2.70000000e+00  3.03720703e-01  2.70000000e+00 
 2.80000000e+00  3.36787659e-01  2.80000000e+00 
 2.90000000e+00  3.70071792e-01  2.90000000e+00 
 3.00000000e+00  4.03539017e-01  3.00000000e+00 
 3.10000000e+00  4.37162545e-01  3.10000000e+00 
 3.20000000e+00  4.70920967e-01  3.20000000e+00 
 3.30000000e+00  5.04796922e-01  3.30000000e+00 
 3.40000000e+00  5.38776153e-01  3.40000000e+00 
 3.50000000e+00  5.72846811e-01  3.50000000e+00 
