 v-sweep         i(v_meas_0_0)   v(p_0_0)       
-2.00000000e-01 -2.00000122e-13 -2.00000000e-01 
-1.00000000e-01 -1.00000119e-13 -1.00000000e-01 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.00001861e-13  1.00000000e-01 
 2.00000000e-01  2.00052687e-13  2.00000000e-01 
 3.00000000e-01  3.02102768e-13  3.00000000e-01 
 4.00000000e-01  4.92632944e-13  4.00000000e-01 
 5.00000000e-01  4.25268686e-12  5.00000000e-01 
 6.00000000e-01  9.68073089e-11  6.00000000e-01 
 7.00000000e-01  1.10226431e-09  7.00000000e-01 
 8.00000000e-01  8.18973495e-09  8.00000000e-01 
 9.00000000e-01  5.45219641e-08  9.00000000e-01 
 1.00000000e+00  3.57629216e-07  1.00000000e+00 
 1.10000000e+00  2.61219700e-06  1.10000000e+00 
 1.20000000e+00  1.90703809e-05  1.20000000e+00 
 1.30000000e+00  1.36654771e-04  1.30000000e+00 
 1.40000000e+00  9.62926670e-04  1.40000000e+00 
 1.50000000e+00  6.43621180e-03  1.50000000e+00 
 1.60000000e+00  3.43920939e-02  1.60000000e+00 
 1.70000000e+00  1.12097811e-01  1.70000000e+00 
 1.80000000e+00  2.34447617e-01  1.80000000e+00 
 1.90000000e+00  3.82374828e-01  1.90000000e+00 
 2.00000000e+00  5.43977020e-01  2.00000000e+00 
 2.10000000e+00  7.13467216e-01  2.10000000e+00 
 2.20000000e+00  8.88663056e-01  2.20000000e+00 
 2.30000000e+00  1.06747543e+00  2.30000000e+00 
 2.40000000e+00  1.24889193e+00  2.40000000e+00 
 2.50000000e+00  1.43231002e+00  2.50000000e+00 
 2.60000000e+00  1.61729908e+00  2.60000000e+00 
 2.70000000e+00  1.80354872e+00  2.70000000e+00 
 2.80000000e+00  1.99083072e+00  2.80000000e+00 
 2.90000000e+00  2.17897273e+00  2.90000000e+00 
 3.00000000e+00  2.36784160e+00  3.00000000e+00 
 3.10000000e+00  2.55733247e+00  3.10000000e+00 
 3.20000000e+00  2.74736137e+00  3.20000000e+00 
 3.30000000e+00  2.93786009e+00  3.30000000e+00 
 3.40000000e+00  3.12877246e+00  3.40000000e+00 
 3.50000000e+00  3.32005174e+00  3.50000000e+00 
