name,value
bv,51743686299435.16
ibv,0.000391071983944822
ikf,6.186270885167417e-05
ikr,6.447239734677527e-07
is,3.1732842490317225e-12
jsw,4.018176888062335e-12
n,1.7535456326367431
nbv,1.9956061066550472
rs,1.036088744047728e-06
trs1,0.0028738529874769137
trs2,0.0004914079744832459
