name,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,member_11,member_12,member_13,member_14,member_15,member_16,member_17,member_18,member_19,member_20,member_21,member_22,member_23,member_24,member_25,member_26,member_27,member_28,member_29,member_30,member_31,member_32,member_33,member_34,member_35,member_36,member_37,member_38,member_39,member_40,member_41,member_42,member_43,member_44,member_45,member_46,member_47,member_48,member_49,member_50,member_51,member_52,member_53,member_54,member_55,member_56,member_57,member_58,member_59,member_60,member_61,member_62,member_63,member_64,member_65,member_66,member_67,member_68,member_69,member_70,member_71,member_72,member_73,member_74,member_75,member_76,member_77,member_78,member_79,member_80,member_81,member_82,member_83,member_84,member_85,member_86,member_87,member_88,member_89,member_90,member_91,member_92,member_93,member_94,member_95,member_96,member_97,member_98,member_99,member_100
bv,1270125221.910337,2.132101461570379e+16,225863.75302942653,7142439004467.451,30813455.48678273,2.047703186355723e+18,812423468655859.6,5.3026674050731046e+17,1.4931262829295886e+19,21018249.362863492,430179292922.0311,3092844.8256603433,3.114069528321655e+17,1.431843390067853e+17,42870307271.49336,6.050169464375668e+17,18327384591159.113,2.9690089719350748e+16,5394752690053.3,5.77381558439325e+19,11984249355319.64,547295075.2775013,91147979840.07594,15699767102036.268,2007227231268.4302,1367420.6264082808,2.491635616977266e+17,3.939434005171603e+17,5.552282312686497e+19,36055501471.84053,20924328796723.797,466116927.53315,9.412451416602882e+16,71202702209.45955,236664447693.58508,15352618.429553129,9174798612861688.0,28434561829194.723,3.0883183649443144e+19,1.582101726070078e+16,264653.33955121646,2427149571394.5493,60666257.1856551,172307072719037.53,3.1222777935470355e+17,2.946342715840127e+18,124124980042.67516,1484868.5797632455,13269109661287.117,1.3392526234079522e+16,3260217107044.4897,44766412973245.195,10229319472.071745,1727009677091272.2,7.860865688617044e+19,4497584041218195.0,40394050108.3204,42485198195.09129,50813789.865092985,1.8278238154326572e+16,2.059376938264582e+18,6.645357070016728e+19,93321797.10011761,4442183966496.56,51743686299435.16,8.475483265000982e+16,103090797720.9279,78245129295.14566,1.6484933879804483e+18,2.299635690206394e+18,1746678.1419832618,1.0717575220340908e+19,8397674561.752032,12324911620350.805,107298.7374871262,837805006130838.1,1963834413041590.2,22326889022364.7,1.78908710351434e+16,3210201472133583.0,33010456920605.832,440201517891.32184,21034071249314.04,9854785991854432.0,65456948013.42391,18346031.023396146,3.1525150859638796e+16,79597871.3039458,4.283386609513682e+19,4.523903386605388e+19,4199378296021.0835,69198477660101.17,1853143455650.321,272600429489882.72,1693393.5073513938,4.374889486720933e+17,71784944121317.61,1.3132693456333957e+19,2.2256810168797956e+16,1.4166161070180494e+17
ibv,2.0834768241400737e-06,0.0035167093766101908,1.5492075916943278e-05,1.6638270972085277e-05,0.0032363823932486484,5.5501289968862936e-05,0.023052267711279474,0.0052126251043347034,0.00490609592077153,0.00010531552027688877,3.4162654430254626e-05,4.743290767511709e-05,4.7124754172769055e-06,0.0009162446208688117,0.000943514623439678,0.025973402688822717,0.04971332254293209,0.00939221208452854,3.191345756720853e-06,0.025598224431796195,0.005423205008166677,1.285026638562879e-05,0.00014208069475614397,3.942981378136469e-05,0.0014953942055189661,1.3812699448694284e-05,9.94486904080805e-05,0.0005293272738537049,0.06077498122338047,0.0012073924035730218,0.03809442990314307,6.0551414133154504e-05,0.02980944480698057,0.001094652632024732,4.344783982618796e-06,0.00022396555462858648,0.003557396232186402,0.0023735648093936687,0.0664777368691643,0.020182558940558072,2.375300172886921e-05,0.00020834768241400739,0.04645747197157384,0.018896200873563758,0.0035497169264416357,0.0021502487364464602,9.106757501073429e-06,0.0006446495046771772,0.0002769345564395821,0.04031209617862962,3.3836532745627518e-06,0.019068946706144032,0.00015185074726331953,0.026813939380508377,0.015831123342389192,0.00023246803811596264,0.004014602423542681,0.0003244973297348205,0.00011279410953025852,0.08157986784915391,8.550153240378132e-05,0.0009185989826872727,0.004094568108672044,0.00038939790635500964,0.000391071983944822,0.012193586053444207,4.185200026295423e-06,4.381891221680876e-05,5.142496837306203e-05,4.240632614780274e-06,0.0006440194146400744,0.00013598579270291102,4.2256171532071164e-05,0.003644230725959213,5.979918264106269e-05,0.0030405913169685365,0.03449091589540174,0.04802069219929269,3.855258742544325e-06,0.0002593777429548886,1.0652467854810802e-06,2.1096595691902458e-05,0.009106544330420683,0.0007471186071521409,0.013432602203579343,4.3920205894371586e-05,0.00013645703454661447,1.2998989513044926e-06,4.591964801422056e-05,0.00036940069296911274,0.056205213677717775,0.0008169806930281357,0.0032217295863443767,0.0013386946127310843,0.004804749109722381,0.04161023768011621,6.313499572013975e-05,0.009446961386871988,0.0005384658273221163,0.089591643206723
ikf,0.0002720571243271321,8.321203042784814e-05,4.3118148430661775e-06,1.8600473414188525e-05,1.3020824357060975e-05,4.807894106460299e-08,3.6008515532906964e-07,0.00013390995222094417,0.0015210056200029645,1.679036368506475e-05,7.84280648243579e-06,9.22942732929301e-07,0.0051962885402247515,0.0010477156257738473,0.02721967750789307,0.0002479517549779668,0.0598675907962473,5.8050799736655624e-09,1.0983483531967004e-05,1.018133519348741e-06,0.08879511473345762,0.0033811162516623654,0.06465560363639407,0.03932421874172063,1.5576412941357277e-07,2.3185577808550784e-06,0.004641372007182956,0.02742066254017145,1.5677163541865172e-08,4.861138578031646e-06,6.727940606632819e-06,2.6218255005486552e-08,0.06868449437819749,1.7213930630739323e-10,2.0774955548347165e-10,4.108701665248985e-08,2.0500009415213407e-07,3.543461947026132e-08,0.00033916073329347555,0.0715939664696649,6.379818440824326e-07,1.119592816275975e-09,4.572314964997607e-09,1.526223314568076e-05,5.795592888203567e-05,4.870611303152961e-09,8.259802350995884e-07,3.230686811699964e-08,0.0007860679751004914,6.009867754529409e-05,0.011374009864397126,1.8120879252534344e-07,0.07037032115510454,0.0008938367701229707,2.488277106641921e-06,0.0010015294166319734,0.0002543210311545261,1.7828828655328666e-06,0.0716521302962139,7.255294544638716e-08,2.814191892595982e-08,1.6260570528140845e-06,0.0032871805366013513,2.1666068066914741e-07,6.186270885167417e-05,0.00225861926906386,3.432094317975475e-08,2.9247159201327057e-09,0.0020317772969170897,2.5743056105264613e-07,4.881694882804199e-05,0.07348459870921384,2.759719455532076e-07,0.0037012700987427523,0.0003932569439680331,1.9735697558472957e-09,2.5721820501892046e-05,0.0016652455759139102,2.5766168142458087e-05,1.7991861662976777e-06,1.0827023095980137e-07,2.63345916084768e-06,3.0983865342898324e-07,4.891755258479321e-07,0.00019621567702213065,3.653062786302101e-06,0.0030221690163088526,0.06578957666492101,4.985176609819227e-10,3.459092069299266e-05,3.627733135183459e-05,0.028985453738444956,1.917167698764633e-05,9.159442975985909e-07,2.567053743319427e-09,8.21502526081369e-08,0.01060663211345417,0.06139975102454123,1.2969273081310837e-05,0.05692827410083324
ikr,0.00024117756652272497,0.00016057396424469574,0.0034374009062690322,3.167664160166869e-10,0.07134619101184721,1.4574199907140806e-05,5.068311190172435e-08,1.0349397756169538e-07,1.436206688404934e-09,1.4115096369503957e-07,6.396880800143609e-08,0.0006783724034768525,2.2101039998995427e-10,8.247702540406536e-10,1.072097453510584e-05,9.833802300276765e-09,0.0019473723466213082,8.16979719730792e-09,3.0645042813935665e-08,9.384122640572126e-05,0.0032638146723545356,2.4208593715869537e-06,0.0012025706519500066,0.00025441521977865374,0.00021420455361076556,1.7003649987728522e-07,1.1614768936867653e-09,3.0870927080971875e-08,9.145208193162801e-10,5.49974053404244e-07,8.266092591249079e-08,3.2772137631555605e-08,2.1755963988456175e-05,2.5994292170666153e-07,3.69325925766909e-07,0.02007304507532792,1.241148621580955e-08,0.0004648449468089638,4.791859285173968e-09,0.03562697701112317,0.002798771648677821,5.311217072895556e-10,5.6501057377496134e-08,5.275681877331727e-09,0.009964485783746644,1.2658410269202932e-10,1.9201447725309384e-07,3.051142239312032e-08,1.1220114362368633e-10,1.074637059268978e-08,5.993516132358424e-09,4.752759835993808e-10,3.2835375191238924e-06,0.002729556387143967,2.1785312499448925e-07,2.55768836119731e-05,5.11925356128144e-08,0.025697447797797226,0.0005620426921583651,1.0072102830334606e-07,5.753683345845651e-09,6.55005564973884e-06,3.8913673221231725e-09,6.346171961270495e-07,6.447239734677527e-07,0.004766136025735564,0.0011522352913139321,2.4708598609333146e-09,2.0123939458812625e-09,0.03632281296443781,8.638732542859692e-10,7.05051170610959e-08,4.006816406154779e-10,4.886335989438111e-10,1.3378899596541143e-07,1.0650924578886098e-10,4.515335473303474e-07,1.3524613729082093e-06,8.07407192736732e-09,2.62890540392049e-08,1.1659138390864354e-05,0.005165024573786387,7.454458718179761e-09,1.0946153715140804e-07,4.372391515483554e-10,0.0001496157748922477,1.8638832750156322e-08,0.06240579699628777,1.1212944915045984e-09,4.312503784278405e-05,0.00014936761614289337,5.767343077680175e-08,1.419110485969277e-06,4.540172900343075e-10,0.02850119706628015,1.569222899130609e-10,0.0024542403031678197,5.448997781039181e-09,0.00022463281621081844,2.010279697541149e-10
is,3.5075033935374116e-11,4.841805685677628e-12,6.2171757045808e-11,2.7548902079432953e-11,8.360245613612216e-15,1.5834656530368274e-18,1.0706956726903308e-12,4.271869081929123e-14,1.2346177764881259e-13,1.6830368028292546e-14,2.5223711422828554e-16,4.012273389871258e-12,9.978043268991739e-11,9.899543149167744e-12,8.570555788784424e-13,1.1311371739313573e-14,1.335776812651292e-12,4.732699182216337e-11,7.606482509582292e-11,2.4967958246200646e-18,5.987098963181016e-15,1.46161439172423e-17,7.517526450894204e-14,5.723367364060917e-12,1.535749610813304e-14,1.6080393671035278e-12,3.0320527711192537e-13,4.3052909007734e-11,9.46823470465504e-17,1.3772428187399975e-11,6.114030264345902e-14,3.0501212792111434e-14,1.1837378350449854e-15,1.379696258676038e-14,2.5574550969731283e-12,2.6935737251842058e-16,5.944139717148885e-16,1.3294969225168008e-12,2.6613673088939975e-12,4.311240115978324e-16,1.4573888469654023e-11,3.154527582768026e-13,3.6837809236852765e-13,3.8480979347223585e-11,1.6219553117246963e-12,5.411557082952519e-13,2.289021071358229e-11,5.948052402942162e-11,1.9921046511958154e-15,1.2301557787545575e-15,2.11248918067683e-13,4.278349454744315e-12,7.795901511082592e-14,7.219976482101688e-11,3.3703391492922435e-17,2.578958661801649e-15,3.343671461354128e-12,3.296674601146892e-14,1.0259207229139852e-16,6.037827679767266e-14,2.0071243788326056e-13,6.08495253584906e-15,1.2325786174690619e-11,2.2642034888710502e-12,3.1732842490317225e-12,9.026371086656177e-12,4.2720859397820597e-13,7.102450433695672e-13,5.339262251083443e-15,3.643569227558933e-13,5.785720108823118e-16,3.032271698977093e-14,1.803154639945085e-15,5.804275821906559e-16,2.971232198436042e-11,6.762186818916279e-16,2.312626713305672e-11,1.7073342748740188e-13,7.402644196961819e-12,9.801196395118184e-13,1.6496347245702272e-12,1.0103975276670757e-12,8.698942534046626e-16,9.60543993428109e-11,5.537890315859241e-14,7.954936648413599e-11,7.70279333079329e-14,7.222976971131302e-11,3.1251623413559056e-15,2.234053036829612e-11,1.0804731863238222e-14,1.6795307830261416e-18,1.9078107428652142e-19,3.932356365784667e-13,5.688813033126048e-14,1.0255147613650673e-11,8.258457275349252e-16,1.0155983248443572e-13,4.808264469052085e-12,6.370268027906564e-16
jsw,3.5566969451846604e-12,2.626534081169392e-12,1.6403306680056097e-14,7.039704573669907e-17,3.2571210039530417e-19,3.011195871093849e-16,5.5676263002446074e-18,1.576087080081421e-13,4.329311508206822e-11,1.280147108690102e-13,3.5090873993044147e-11,1.3457596417817693e-16,1.3322098990213869e-17,2.134981409356301e-17,8.018327381110458e-19,1.0473596940576598e-12,2.0544238204621582e-11,4.666283509637577e-12,6.4855546387088664e-15,1.9646512665699762e-12,2.6040756299542887e-11,9.480884902389608e-11,1.298439196928945e-12,4.6722720127150915e-11,1.1857144330887443e-14,3.614147412435299e-11,8.929184190370455e-15,2.3840740161307243e-11,6.8764263035902594e-12,5.159831514405515e-13,4.7333198924172475e-15,1.8304202270256421e-16,3.2527633473658848e-15,6.115086183471769e-14,3.5323785344699105e-13,3.0529240378325707e-13,2.575675252197197e-16,5.1838947706597476e-18,3.4492077111543867e-16,2.438782289472834e-13,2.0148421083479939e-16,4.73486081333694e-13,1.9588423340137357e-11,2.474677999100246e-11,2.7185407342986438e-11,1.823081971310958e-11,4.550663081660693e-15,8.900303653188141e-17,5.461355009051135e-14,5.8128339413010915e-15,1.0964405192873431e-14,1.4368911138278611e-13,2.5352948600778494e-11,5.163968284336611e-12,1.7749090594094477e-13,1.946247084850137e-20,2.199888085140428e-16,1.7627507182560937e-13,1.3349228004633317e-12,2.3427419297982787e-18,2.383551169745022e-12,4.6930741959806465e-14,9.550984419508481e-14,9.326760920025737e-15,4.018176888062335e-12,8.826293523871682e-11,3.644338493533455e-12,1.1855575386442373e-16,1.4810300092845524e-18,9.485983499358183e-20,7.990466470862635e-18,9.255963746483967e-15,4.030839578963591e-17,2.2332238035562847e-13,9.986769389177703e-20,2.1144873153267353e-12,3.6831146248429124e-11,1.9997684843811726e-15,1.900220244578742e-13,6.657402034041601e-18,4.334854891760835e-19,5.822368732701578e-12,2.5631519828222113e-16,3.6665703285708513e-13,3.611830366759815e-14,6.684557761078044e-11,3.9530698710451065e-17,2.4252174297952244e-16,3.245178274621364e-13,6.328354151205373e-11,3.5215432729740544e-13,8.902791915178503e-16,2.783158796077913e-20,9.048188645959491e-11,1.517489486905284e-14,1.6359452135039303e-19,1.3703947257289912e-12,3.026464445078482e-19,6.230966361650921e-13,1.361626391494833e-11
n,1.8075454547114997,0.848898871583636,1.672067901417066,0.6959070617165282,1.782346381163996,1.553427807652676,0.6651104531254408,1.740171978838877,1.5837475665511989,0.660486631182088,1.1998989606973958,1.5087008733819736,0.9506873232236104,1.0198498675882415,1.344743007574691,1.1016631017703231,1.8706596415627113,0.677276739315459,0.7253662713977431,1.2216717299765418,0.888332515028126,1.5040160429467937,1.8140888705319966,1.3227429031096167,1.340832651943334,1.5315478818653099,1.2370335946060222,1.7635316138810497,0.669988828302944,0.8836385861292166,0.8681633852082594,1.184043063071826,0.7258367126755036,0.9157995898379727,1.2503136208014647,1.1805552373486639,1.507638835673121,0.742861318469865,1.091204432510227,1.5530754482175195,0.7789830084329707,1.8386873232236105,1.3090976145801834,1.5418015100748212,1.2545487480916777,0.9653037354572973,1.1420647211492772,1.3879261617012393,1.7261281536734376,1.5560730969749699,1.0445183713628694,1.135726253324611,0.5488460788525581,1.0842256400111432,0.9019570389592932,1.8969399113184868,1.1350837104877227,1.0430153998259195,1.5571157218003702,0.5576029274631831,0.6729765614074676,0.6849121452014548,1.930454013713566,1.0479960291832104,1.7535456326367431,1.7646009826801705,0.7402862922862037,1.4926198925831318,0.7274624097288006,1.6829779806630567,0.7587045302058232,1.8509986526209017,0.5022560380185279,0.8451083423968945,1.4718175340521618,1.0253441312645273,1.1465107001071002,1.948539794213305,0.5147250071850632,0.7613447626699765,0.697632651943333,0.9531394338136688,1.0647445959047812,1.437304745208982,0.721377695795545,0.8430741204842064,1.1560937307585322,1.8132308942466486,0.7960103292074356,1.28623392784064,1.3591512110117043,0.9140478768568281,1.9788257315281088,1.3698288724375447,0.5534001259917759,0.9200022021163439,0.9104249755982382,1.4255719100166055,1.62126371020969,1.559280221281632
nbv,0.7150042893675171,1.7034005981045615,1.356333929256714,0.820267447262254,1.561098472193002,0.8116425165143316,1.0703330767711998,0.9776529153217519,0.8673972596514421,0.9632037353508968,0.514955964302807,0.7817511132149368,1.565700796113046,0.3523998568619589,0.5351739540914534,0.08342534199909607,1.5359934971800835,1.5664819458678076,1.6435361453231958,1.558783043959453,1.1510277467732206,0.6817632921375999,1.8330628982631205,0.31727081592204015,0.5815970871514506,1.827450534112282,1.3980159114784254,0.6479713909451817,1.8723586786623092,1.1920148824378527,1.4032982307320299,1.1905874155855714,1.9592918351900765,1.141768062557421,1.1852535968467413,1.2550895298942204,1.999210122384481,0.9926502225977848,0.8486259325059629,1.3282767216125115,1.129479028175268,0.8036469486472956,1.0177342872782913,1.6724957196942116,1.356056628020361,1.4809063740394535,1.7241851916378073,1.2291818827331418,0.7908292258138554,0.6763204201176916,1.9046539751147664,1.0547768702976004,1.938342627021298,1.5942068989799154,1.7145098284312839,0.6494361165181298,1.007187553277739,1.456585403453204,1.3504782411919019,0.2933753954549352,1.9046400341550718,0.6499761164787385,1.5553988962896497,1.7100181397830296,1.9956061066550472,1.9720382409577977,1.723365056990957,1.3949456631899086,0.0016397656820826738,0.2884114915835834,1.9481716811451721,1.018782815664803,0.7345090373601544,0.5947976445045484,1.4112573201632226,1.5585990491407093,1.322573422820181,0.6651795066789432,1.9051228092585686,0.6482826663803423,1.8734018857023884,1.3800443843975643,0.17626642441573467,1.1652791786250611,1.9995595079831558,1.6952749695990212,1.2605752601386737,1.1129988942751736,1.857131483068054,1.407525548311647,0.7385593249946559,0.47980798035939,0.4269156467082372,0.7311801184695863,1.249253596846741,1.9966427223477028,1.9784285263164656,1.0082387180642463,0.6853168408464669,1.279601767942912
rs,9.606240418703044e-07,2.3475437476800713e-06,7.346954105240853e-07,1.4649354209960408e-06,7.639148369016484e-07,6.471921661305754e-07,5.026012264262747e-06,1.2050709759461144e-06,9.155069683922522e-07,1.2824621909679245e-06,1.1215830505095142e-06,1.4708830123540485e-06,2.8429520620535787e-06,1.3576073299864691e-06,1.3623313343282003e-06,1.1983942444893757e-06,4.562397656533879e-06,9.744899572171185e-07,2.360815824405632e-06,1.000221783705575e-06,1.608006604076295e-06,1.2560287387136039e-06,1.7547258293935848e-06,1.0851343426751501e-06,1.873312204170451e-06,1.497078481079825e-06,1.1903976741727974e-06,1.404958641534534e-06,2.2240046057406243e-06,1.2005671472847146e-06,1.4084234563935366e-05,7.595853785754189e-07,5.512125601299932e-06,7.203291853423128e-07,0.0001108430483768698,1.991787935236041e-06,9.069231022360119e-07,1.5273260651819988e-06,2.576550267600369e-06,3.1341052868965006e-06,4.0443121183546574e-06,1.1119097020870175e-06,8.324605769581888e-07,5.555795712897012e-06,1.0467579288161236e-06,1.0351922087543914e-06,1.0015715501718225e-06,9.540663280168265e-07,1.0851343426751501e-06,7.676480434211561e-07,1.211893892515169e-06,6.106876358439858e-06,2.249193073910157e-06,8.876898254500879e-07,1.1151188030515248e-06,4.343844951874174e-05,1.0470937992940532e-06,8.242137024711545e-07,1.1280131569653492e-06,7.2542660582071974e-06,2.0943620043079427e-06,9.42785009443726e-07,6.442635519824508e-07,1.3742085799487968e-06,1.036088744047728e-06,1.544328483215521e-06,3.6778226371253304e-06,6.83624012762991e-07,1.542797555903833e-06,6.27044341640721e-07,2.747802806286987e-06,1.6221691257640477e-06,2.54679451209902e-06,8.562026520135013e-07,1.0688903764183156e-06,1.8525833969689053e-06,1.0086151201052713e-06,3.2474666498564446e-06,5.255349522563552e-06,6.374577012453599e-06,6.171957571922102e-06,1.2608031151734427e-06,6.439511494927325e-07,8.213939230483829e-07,0.00010403628402455141,1.4196114406314255e-06,1.2934368711559364e-06,1.7598719734403302e-06,8.021484911853225e-07,9.452864759621464e-07,1.0629987330134407e-06,1.244896311732838e-06,8.00125969830051e-07,2.1603523955204847e-06,1.8916664743338296e-06,9.803917232228162e-07,1.407958968642861e-06,4.593834868461681e-06,8.004123769109983e-07,1.681812779763655e-06
trs1,0.005884489643034896,0.009065146273836474,0.0018175478578032471,0.0027841448154486896,0.0029879008967411635,0.004127196428475088,0.0008894752784926149,0.008953175847068328,0.004219748474726064,0.007124627574069379,0.006060009896085769,0.007354751939312273,0.005112699435972527,0.0008763875677002987,0.0014513770158558494,0.003482082340223924,0.001087567078499154,0.0038340465790732536,0.004502674737407039,0.003206762697561614,0.0015736132713106373,0.0048409805638041856,0.0006001588446331884,0.0062289724016555865,0.001980585795671011,0.004663338556216048,0.005556136705642603,0.0031974276868784266,0.0038381276711054527,0.0018244807768979278,0.0034084339616077645,0.0014426935804468426,0.00427615303139489,0.005397200486755638,0.009285436429418049,0.004418419680520613,0.0018045576693294985,0.003485434148346627,0.0022034308443612213,0.0006889537767267366,0.004509031448098492,0.007005840415924314,0.003439393151646664,0.00481328085707809,0.006611911404423956,0.001799010954794804,0.0022678482716861023,0.007450138493708263,0.00012546399403092124,0.009617610468356994,0.006634559750697901,0.003401287100972542,0.003833333885023254,0.0009880033814253194,0.00396006594614075,0.005479271423854043,0.0055703189677186755,0.007188330349911375,0.0015636123712047627,0.0003448191019247691,0.0007102462021176851,0.0019218647820364795,0.0028639863178574875,0.006066341207310843,0.0028738529874769137,0.0044229827793570925,0.003612706834830713,0.0005751989063339301,0.004856185320046754,0.0036156549224641474,0.0020546759095197483,0.0013024536672524593,0.001943418871119998,0.0010616077277238243,0.0013458823941668255,0.004584602019604329,0.002629139074564873,0.002635682307831771,0.00023736657612503985,0.0033612574791699744,0.0012656174768142336,0.005358234963855834,0.007338586298153168,0.0011328943938239946,0.004028587934522578,0.0024333121883212453,0.003448875877390777,0.005715865589021435,0.0030464983449937774,0.002065255476564686,0.0040135017555358084,0.00011535352878449593,0.009091742912951662,0.0025352068495808774,0.005694998306087813,0.007108756572960211,0.0028780762962890938,0.00020270302144012343,0.000435560909706955,0.002810360605155095
