vgs,cgs_21_1
-2,8.10974E-07
-1.95,8.21371E-07
-1.8,8.59106E-07
-1.75,8.74346E-07
-1.7,8.91214E-07
-1.65,9.09931E-07
-1.6,9.30754E-07
-1.55,9.53979E-07
-1.5,9.7995E-07
-1.45,1.00906E-06
-1.4,1.04178E-06
-1.35,1.07863E-06
-1.3,1.12023E-06
-1.25,1.16728E-06
-1.2,1.2206E-06
-1.15,1.28113E-06
-1.1,1.34995E-06
-1.05,1.4283E-06
-1,1.51762E-06
-0.95,1.61955E-06
-0.9,1.73597E-06
-0.85,1.86904E-06
-0.8,2.02122E-06
-0.75,2.19532E-06
-0.7,2.39453E-06
-0.65,2.62246E-06
-0.6,2.88318E-06
-0.55,3.18124E-06
-0.5,3.52169E-06
-0.45,3.9101E-06
-0.4,4.35255E-06
-0.35,4.85558E-06
-0.3,5.4261E-06
-0.25,6.07133E-06
-0.2,6.79862E-06
-0.15,7.61527E-06
-0.1,8.52825E-06
-0.05,9.49464E-06
1.20737E-15,1.05474E-05
0.05,1.16907E-05
0.1,1.29247E-05
0.15,1.42476E-05
0.2,1.56559E-05
0.25,1.71442E-05
0.3,1.87053E-05
0.35,2.03299E-05
0.4,2.20072E-05
0.45,2.3725E-05
0.5,2.547E-05
0.55,2.7228E-05
0.6,2.8985E-05
0.65,3.07266E-05
0.7,3.24393E-05
0.75,3.41106E-05
0.8,3.5729E-05
0.85,3.72846E-05
0.9,3.87692E-05
0.95,4.01763E-05
1,4.15011E-05
1.05,4.27405E-05
1.1,4.38928E-05
1.15,4.4958E-05
1.2,4.5937E-05
1.25,4.68318E-05
1.3,4.76454E-05
1.35,4.83813E-05
1.4,4.90433E-05
1.45,4.96359E-05
1.5,5.01634E-05
1.55,5.06304E-05
1.6,5.10415E-05
1.65,5.14011E-05
1.7,5.17134E-05
1.75,5.19826E-05
1.8,5.22126E-05
1.85,5.24071E-05
1.9,5.25694E-05
1.95,5.27027E-05
2,5.28101E-05
