 v-sweep         v(g_15_0)       i(v_s_15_0)     i(v_s_12_0)     i(v_s_10_4)     v(g_14_3)       v(g_16_4)       i(v_s_11_2)     v(g_18_1)       i(v_s_10_0)     v(g_12_1)       i(v_s_19_0)     i(v_s_14_0)     v(g_19_0)       i(v_s_16_4)     i(v_s_16_0)     i(v_s_13_1)     v(g_10_3)       v(g_18_0)       v(g_12_3)       v(g_17_3)       i(v_s_15_3)     i(v_s_19_1)     i(v_s_11_1)     v(g_11_2)       i(v_s_14_3)     v(g_12_0)       i(v_s_10_2)     v(g_18_2)       v(g_17_4)       v(g_10_2)       v(g_11_1)       i(v_s_12_2)     i(v_s_14_2)     i(v_s_12_3)     v(g_15_4)       i(v_s_11_0)     i(v_s_15_1)     v(g_11_0)       i(v_s_13_4)     v(g_16_1)       v(g_13_0)       i(v_s_17_3)     v(g_18_4)       i(v_s_11_4)     v(g_17_2)       i(v_s_19_3)     v(g_19_2)       i(v_s_19_4)     i(v_s_17_0)     i(v_s_18_0)     v(g_13_4)       v(g_13_3)       v(g_16_3)       v(g_17_0)       i(v_s_11_3)     v(g_10_0)       v(g_10_4)       v(g_19_1)       v(g_14_0)       i(v_s_15_4)     v(g_10_1)       v(g_11_3)       i(v_s_18_2)     i(v_s_18_4)     i(v_s_16_1)     i(v_s_14_4)     v(g_16_0)       i(v_s_19_2)     v(g_12_2)       v(g_12_4)       i(v_s_18_3)     v(g_13_2)       v(g_19_3)       v(g_17_1)       i(v_s_10_3)     v(g_13_1)       i(v_s_13_3)     i(v_s_13_2)     i(v_s_10_1)     v(g_14_2)       i(v_s_14_1)     v(g_18_3)       i(v_s_18_1)     v(g_15_3)       i(v_s_12_1)     i(v_s_12_4)     i(v_s_17_4)     v(g_19_4)       v(g_14_4)       i(v_s_17_2)     i(v_s_13_0)     i(v_s_17_1)     i(v_s_15_2)     v(g_11_4)       i(v_s_16_3)     v(g_16_2)       v(g_14_1)       v(g_15_2)       i(v_s_16_2)     v(g_15_1)      
-5.00000000e-01 -5.00000000e-01  1.78572412e-07 -1.00010050e-12  8.53695463e-22 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -5.00000000e-01 -1.00010100e-12 -5.00000000e-01 -1.00010050e-12  5.59979842e-09 -5.00000000e-01  1.70087922e-21 -1.00010100e-12 -7.50100500e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  2.43100755e-07 -7.50100500e-13 -7.50101000e-13 -5.00000000e-01  7.64544280e-09 -5.00000000e-01 -5.00101000e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00100500e-13  6.77702629e-09 -2.50100494e-13 -5.00000000e-01 -1.00010100e-12  1.95017461e-07 -5.00000000e-01  2.47197021e-21 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01  1.14187069e-21 -5.00000000e-01 -2.50100494e-13 -5.00000000e-01  4.44841097e-22 -1.00010100e-12 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  2.81435193e-07 -5.00000000e-01 -5.00000000e-01 -5.00100500e-13  3.32630516e-22 -7.50101000e-13  8.86886906e-09 -5.00000000e-01 -5.00100500e-13 -5.00000000e-01 -5.00000000e-01 -2.50100494e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -2.50100494e-13 -5.00100500e-13 -7.50101000e-13 -5.00000000e-01  6.11970081e-09 -5.00000000e-01 -7.50100500e-13 -5.00000000e-01 -7.50100500e-13  1.84754026e-21  2.27605144e-21 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -1.00010050e-12 -7.50101000e-13  2.15767275e-07 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -5.00000000e-01 
-4.00000000e-01 -4.00000000e-01  1.79330257e-07 -1.00010050e-12  2.75855104e-21 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -4.00000000e-01 -1.00010100e-12 -4.00000000e-01 -1.00010050e-12  5.62361233e-09 -4.00000000e-01  5.49606075e-21 -1.00010100e-12 -7.50100500e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  2.44484799e-07 -7.50100500e-13 -7.50101000e-13 -4.00000000e-01  7.68912526e-09 -4.00000000e-01 -5.00101000e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -5.00100500e-13  6.81156859e-09 -2.50100493e-13 -4.00000000e-01 -1.00010100e-12  1.95917632e-07 -4.00000000e-01  7.98769125e-21 -4.00000000e-01 -4.00000000e-01 -2.50100993e-13 -4.00000000e-01  3.68973331e-21 -4.00000000e-01 -2.50100494e-13 -4.00000000e-01  1.43741760e-21 -1.00010100e-12 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  2.83276594e-07 -4.00000000e-01 -4.00000000e-01 -5.00100500e-13  1.07483090e-21 -7.50101000e-13  8.92717175e-09 -4.00000000e-01 -5.00100500e-13 -4.00000000e-01 -4.00000000e-01 -2.50100494e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -2.50100493e-13 -5.00100500e-13 -7.50101000e-13 -4.00000000e-01  6.14801542e-09 -4.00000000e-01 -7.50100500e-13 -4.00000000e-01 -7.50100500e-13  5.96996725e-21  7.35461803e-21 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -1.00010050e-12 -7.50101000e-13  2.16863921e-07 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -4.00000000e-01 
-3.00000000e-01 -3.00000000e-01  1.80095230e-07 -1.00010050e-12  7.40269826e-20 -3.00000000e-01 -3.00000000e-01 -5.00100999e-13 -3.00000000e-01 -1.00010100e-12 -3.00000000e-01 -1.00010050e-12  5.64765103e-09 -3.00000000e-01  1.47489301e-19 -1.00010100e-12 -7.50100499e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  2.45886366e-07 -7.50100500e-13 -7.50101000e-13 -3.00000000e-01  7.73336430e-09 -3.00000000e-01 -5.00100999e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -5.00100496e-13  6.84650277e-09 -2.50100472e-13 -3.00000000e-01 -1.00010100e-12  1.96827019e-07 -3.00000000e-01  2.14353205e-19 -3.00000000e-01 -3.00000000e-01 -2.50100974e-13 -3.00000000e-01  9.90156859e-20 -3.00000000e-01 -2.50100490e-13 -3.00000000e-01  3.85737669e-20 -1.00010100e-12 -1.00010050e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100984e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  2.85144828e-07 -3.00000000e-01 -3.00000000e-01 -5.00100500e-13  2.88435849e-20 -7.50101000e-13  8.98633134e-09 -3.00000000e-01 -5.00100500e-13 -3.00000000e-01 -3.00000000e-01 -2.50100491e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100987e-13 -3.00000000e-01 -2.50100464e-13 -5.00100494e-13 -7.50101000e-13 -3.00000000e-01  6.17662118e-09 -3.00000000e-01 -7.50100500e-13 -3.00000000e-01 -7.50100499e-13  1.60206695e-19  1.97364534e-19 -3.00000000e-01 -3.00000000e-01 -5.00100997e-13 -1.00010050e-12 -7.50101000e-13  2.17972946e-07 -3.00000000e-01 -2.50100979e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -5.00100998e-13 -3.00000000e-01 
-2.00000000e-01 -2.00000000e-01  1.80862016e-07 -1.00010050e-12  6.89338375e-19 -2.00000000e-01 -2.00000000e-01 -5.00100985e-13 -2.00000000e-01 -1.00010100e-12 -2.00000000e-01 -1.00010050e-12  5.67174692e-09 -2.00000000e-01  1.37341836e-18 -1.00010100e-12 -7.50100484e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  2.47292418e-07 -7.50100499e-13 -7.50100997e-13 -2.00000000e-01  7.77774584e-09 -2.00000000e-01 -5.00100989e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -5.00100453e-13  6.88153702e-09 -2.50100264e-13 -2.00000000e-01 -1.00010100e-12  1.97738756e-07 -2.00000000e-01  1.99605105e-18 -2.00000000e-01 -2.00000000e-01 -2.50100789e-13 -2.00000000e-01  9.22032880e-19 -2.00000000e-01 -2.50100455e-13 -2.00000000e-01  3.59198594e-19 -1.00010100e-12 -1.00010050e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100893e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  2.87019955e-07 -2.00000000e-01 -2.00000000e-01 -5.00100496e-13  2.68591221e-19 -7.50100996e-13  9.04571112e-09 -2.00000000e-01 -5.00100494e-13 -2.00000000e-01 -2.00000000e-01 -2.50100465e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100920e-13 -2.00000000e-01 -2.50100183e-13 -5.00100435e-13 -7.50100998e-13 -2.00000000e-01  6.20530114e-09 -2.00000000e-01 -7.50100499e-13 -2.00000000e-01 -7.50100488e-13  1.49184026e-18  1.83785586e-18 -2.00000000e-01 -2.00000000e-01 -5.00100970e-13 -1.00010050e-12 -7.50100994e-13  2.19085132e-07 -2.00000000e-01 -2.50100843e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -5.00100978e-13 -2.00000000e-01 
-1.00000000e-01 -1.00000000e-01  1.81632417e-07 -1.00010045e-12  6.41906696e-18 -1.00000000e-01 -1.00000000e-01 -5.00100834e-13 -1.00000000e-01 -1.00010100e-12 -1.00000000e-01 -1.00010050e-12  5.69595678e-09 -1.00000000e-01  1.27891615e-17 -1.00010099e-12 -7.50100298e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  2.48707395e-07 -7.50100488e-13 -7.50100968e-13 -1.00000000e-01  7.82241092e-09 -1.00000000e-01 -5.00100879e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -5.00099962e-13  6.91677050e-09 -2.50098093e-13 -1.00000000e-01 -1.00010099e-12  1.98655172e-07 -1.00000000e-01  1.85869796e-17 -1.00000000e-01 -1.00000000e-01 -2.50098849e-13 -1.00000000e-01  8.58590065e-18 -1.00000000e-01 -2.50100087e-13 -1.00000000e-01  3.34483418e-18 -1.00010098e-12 -1.00010050e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50099941e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  2.88908789e-07 -1.00000000e-01 -1.00000000e-01 -5.00100453e-13  2.50110416e-18 -7.50100951e-13  9.10552867e-09 -1.00000000e-01 -5.00100436e-13 -1.00000000e-01 -1.00000000e-01 -2.50100193e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50100217e-13 -1.00000000e-01 -2.50097241e-13 -5.00099762e-13 -7.50100977e-13 -1.00000000e-01  6.23412889e-09 -1.00000000e-01 -7.50100491e-13 -1.00000000e-01 -7.50100354e-13  1.38918313e-17  1.71139661e-17 -1.00000000e-01 -1.00000000e-01 -5.00100653e-13 -1.00010044e-12 -7.50100932e-13  2.20203609e-07 -1.00000000e-01 -2.50099411e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -5.00100747e-13 -1.00000000e-01 
-2.77555756e-17 -2.77555756e-17  1.82402270e-07 -1.00009991e-12  5.90580181e-17 -2.77555756e-17 -2.77555756e-17 -5.00099123e-13 -2.77555756e-17 -1.00010094e-12 -2.77555756e-17 -1.00010046e-12  5.72014984e-09 -2.77555756e-17  1.17665281e-16 -1.00010086e-12 -7.50098044e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  2.50123668e-07 -7.50100351e-13 -7.50100616e-13 -2.77555756e-17  7.86711875e-09 -2.77555756e-17 -5.00099631e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -5.00094429e-13  6.95201308e-09 -2.50075729e-13 -2.77555756e-17 -1.00010091e-12  1.99571318e-07 -2.77555756e-17  1.71005040e-16 -2.77555756e-17 -2.77555756e-17 -2.50078869e-13 -2.77555756e-17  7.89937664e-17 -2.77555756e-17 -2.50096295e-13 -2.77555756e-17  3.07739404e-17 -1.00010080e-12 -1.00010047e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.50090133e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  2.90801160e-07 -2.77555756e-17 -2.77555756e-17 -5.00099971e-13  2.30112544e-17 -7.50100406e-13  9.16546207e-09 -2.77555756e-17 -5.00099775e-13 -2.77555756e-17 -2.77555756e-17 -2.50097393e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.50092976e-13 -2.77555756e-17 -2.50066938e-13 -5.00092173e-13 -7.50100723e-13 -2.77555756e-17  6.26294879e-09 -2.77555756e-17 -7.50100393e-13 -2.77555756e-17 -7.50098731e-13  1.27808456e-16  1.57455174e-16 -2.77555756e-17 -2.77555756e-17 -5.00097080e-13 -1.00009967e-12 -7.50100175e-13  2.21322344e-07 -2.77555756e-17 -2.50084668e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -5.00098143e-13 -2.77555756e-17 
 1.00000000e-01  1.00000000e-01  1.83166949e-07 -1.00009307e-12  5.29822516e-16  1.00000000e-01  1.00000000e-01 -5.00080386e-13  1.00000000e-01 -1.00010020e-12  1.00000000e-01 -1.00010006e-12  5.74418071e-09  1.00000000e-01  1.05559618e-15 -1.00009922e-12 -7.50071505e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  2.51532700e-07 -7.50098742e-13 -7.50096462e-13  1.00000000e-01  7.91159980e-09  1.00000000e-01 -5.00085968e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -5.00033841e-13  6.98705257e-09 -2.49851703e-13  1.00000000e-01 -1.00009987e-12  2.00481684e-07  1.00000000e-01  1.53405168e-15  1.00000000e-01  1.00000000e-01 -2.49878725e-13  1.00000000e-01  7.08670514e-16  1.00000000e-01 -2.50058304e-13  1.00000000e-01  2.76082752e-16 -1.00009850e-12 -1.00010019e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.49991883e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  2.92685647e-07  1.00000000e-01  1.00000000e-01 -5.00094695e-13  2.06441241e-16 -7.50093986e-13  9.22514952e-09  1.00000000e-01 -5.00092542e-13  1.00000000e-01  1.00000000e-01 -2.50069343e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.50020445e-13  1.00000000e-01 -2.49763394e-13 -5.00009069e-13 -7.50097730e-13  1.00000000e-01  6.29158748e-09  1.00000000e-01 -7.50099233e-13  1.00000000e-01 -7.50079613e-13  1.14654385e-15  1.41255839e-15  1.00000000e-01  1.00000000e-01 -5.00057958e-13 -1.00009007e-12 -7.50091262e-13  2.22434599e-07  1.00000000e-01 -2.49936975e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -5.00069624e-13  1.00000000e-01 
 2.00000000e-01  2.00000000e-01  1.83926659e-07 -1.00000984e-12  4.63824408e-15  2.00000000e-01  2.00000000e-01 -4.99880582e-13  2.00000000e-01 -1.00009118e-12  2.00000000e-01 -1.00009512e-12  5.76805578e-09  2.00000000e-01  9.24091377e-15 -1.00007928e-12 -7.49767390e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.52934820e-07 -7.50080307e-13 -7.50048863e-13  2.00000000e-01  7.95586447e-09  2.00000000e-01 -4.99940266e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -4.99387803e-13  7.02189758e-09 -2.47664561e-13  2.00000000e-01 -1.00008720e-12  2.01386504e-07  2.00000000e-01  1.34277437e-14  2.00000000e-01  2.00000000e-01 -2.47924544e-13  2.00000000e-01  6.20393947e-15  2.00000000e-01 -2.49687366e-13  2.00000000e-01  2.41699672e-15 -1.00007049e-12 -1.00009667e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -2.49032580e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.94562661e-07  2.00000000e-01  2.00000000e-01 -5.00038435e-13  1.80731248e-15 -7.50020411e-13  9.28460401e-09  2.00000000e-01 -5.00015404e-13  2.00000000e-01  2.00000000e-01 -2.49795456e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -2.49312254e-13  2.00000000e-01 -2.46799927e-13 -4.99122946e-13 -7.50063435e-13  2.00000000e-01  6.32005232e-09  2.00000000e-01 -7.50085948e-13  2.00000000e-01 -7.49860533e-13  1.00358398e-14  1.23658369e-14  2.00000000e-01  2.00000000e-01 -4.99640775e-13 -9.99973165e-13 -7.49989112e-13  2.23540649e-07  2.00000000e-01 -2.48494924e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -4.99765517e-13  2.00000000e-01 
 3.00000000e-01  3.00000000e-01  1.84681597e-07 -9.99023767e-13  3.96431816e-14  3.00000000e-01  3.00000000e-01 -4.97804084e-13  3.00000000e-01 -9.99984301e-13  3.00000000e-01 -1.00003656e-12  5.79178132e-09  3.00000000e-01  7.89790960e-14 -9.99843011e-13 -7.46373821e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.54330352e-07 -7.49874557e-13 -7.49517624e-13  3.00000000e-01  7.99992296e-09  3.00000000e-01 -4.98426033e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -4.92675288e-13  7.05655660e-09 -2.26841746e-13  3.00000000e-01 -9.99937100e-13  2.02286009e-07  3.00000000e-01  1.14721134e-13  3.00000000e-01  3.00000000e-01 -2.29314101e-13  3.00000000e-01  5.30252176e-14  3.00000000e-01 -2.46154497e-13  3.00000000e-01  2.06600057e-14 -9.99738571e-13 -1.00005497e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -2.39896491e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.96432608e-07  3.00000000e-01  3.00000000e-01 -4.99453725e-13  1.54485463e-14 -7.49199276e-13  9.34383832e-09  3.00000000e-01 -4.99213722e-13  3.00000000e-01  3.00000000e-01 -2.47186926e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01 -2.42567683e-13  3.00000000e-01 -2.18586056e-13 -4.89915890e-13 -7.49680677e-13  3.00000000e-01  6.34835052e-09  3.00000000e-01 -7.49937678e-13  3.00000000e-01 -7.47415861e-13  8.57420972e-14  1.05686803e-13  3.00000000e-01  3.00000000e-01 -4.95305203e-13 -9.98588135e-13 -7.48849078e-13  2.24640764e-07  3.00000000e-01 -2.34761701e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01 -4.96605078e-13  3.00000000e-01 
 4.00000000e-01  4.00000000e-01  1.85431956e-07 -9.87646469e-13  3.30759479e-13  4.00000000e-01  4.00000000e-01 -4.76759845e-13  4.00000000e-01 -9.98750713e-13  4.00000000e-01 -9.99360697e-13  5.81536330e-09  4.00000000e-01  6.58878510e-13 -9.97115959e-13 -7.09480654e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.55719608e-07 -7.47636451e-13 -7.43739166e-13  4.00000000e-01  8.04378505e-09  4.00000000e-01 -4.83080060e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -4.24697576e-13  7.09103773e-09 -3.35467563e-14  4.00000000e-01 -9.98204569e-13  2.03180417e-07  4.00000000e-01  9.56066642e-13  4.00000000e-01  4.00000000e-01 -5.63998958e-14  4.00000000e-01  4.42411386e-13  4.00000000e-01 -2.13322162e-13  4.00000000e-01  1.72419855e-13 -9.95907542e-13 -9.99573649e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -1.55003704e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.98295875e-07  4.00000000e-01  4.00000000e-01 -4.93527528e-13  1.28927163e-13 -7.40267832e-13  9.40286472e-09  4.00000000e-01 -4.91088458e-13  4.00000000e-01  4.00000000e-01 -2.22944824e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01 -1.79896941e-13  4.00000000e-01  4.33189860e-14 -3.96675930e-13 -7.45517286e-13  4.00000000e-01  6.37648899e-09  4.00000000e-01 -7.48324821e-13  4.00000000e-01 -7.20838628e-13  7.14560095e-13  8.81686076e-13  4.00000000e-01  4.00000000e-01 -4.51368794e-13 -9.82607739e-13 -7.36448974e-13  2.25735202e-07  4.00000000e-01 -1.07162952e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01 -4.64577400e-13  4.00000000e-01 
