vds,crss_25_0
0,0.238927
0.05,0.225472
0.1,0.214015
0.15,0.202535
0.2,0.191551
0.25,0.181444
0.3,0.172363
0.35,0.164301
0.4,0.157171
0.45,0.150862
0.5,0.145259
0.55,0.14026
0.6,0.135776
0.65,0.131732
0.7,0.128066
0.75,0.124726
0.8,0.121668
0.85,0.118857
0.9,0.116263
0.95,0.113858
1,0.111623
1.05,0.109538
1.1,0.107588
1.15,0.105758
1.2,0.104038
1.25,0.102416
1.3,0.100884
1.35,0.0994343
1.4,0.098059
1.45,0.0967524
1.5,0.095509
1.55,0.0943239
1.6,0.0931925
1.65,0.0921112
1.7,0.0910761
1.75,0.0900842
1.8,0.0891326
1.85,0.0882185
1.9,0.0873396
1.95,0.0864937
2,0.0856788
